Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
2;2;0;1S;-2,861679995;None;None;None;1;0;2;[2, 1, 1, 1];[6.717320, 3.290281, 1.993594, 1.394235];[0.000937482170, 0.135912428726, 0.332357440563, 0.980614411357]
3;2;1;1S;-7,236415201;None;None;None;1;0;2;[2, 1, 1, 1];[9.362927, 5.127884, 3.214898, 2.395465];[0.001185110965, 0.096457850235, 0.229817340639, 1.108282116436]
4;2;2;1S;-13,611299431;None;None;None;1;0;2;[2, 1, 1, 1];[12.185980, 6.997799, 4.447317, 3.396094];[0.001182282538, 0.073336448440, 0.176430637238, 1.178721831237]
5;2;3;1S;-21,986234467;None;None;None;1;0;2;[2, 1, 1, 1];[15.024186, 8.898739, 5.704274, 4.397110];[0.001125855417, 0.058130117110, 0.142094380472, 1.224930552280]
6;2;4;1S;-32,361192876;None;None;None;1;0;2;[2, 1, 1, 1];[18.074931, 10.716653, 6.854805, 5.394662];[0.000989100966, 0.050449947517, 0.124600982969, 1.248065954790]
7;2;5;1S;-44,736163965;None;None;None;1;0;2;[2, 1, 1, 1];[21.022688, 12.590171, 8.068341, 6.394382];[0.000905520944, 0.043387647830, 0.108539618120, 1.269766496219]
8;2;6;1S;-59,111142702;None;None;None;1;0;2;[2, 1, 1, 1];[23.690715, 14.630569, 9.485855, 7.398653];[0.000892085915, 0.035556864492, 0.089651947466, 1.295397844245]
9;2;7;1S;-75,486126406;None;None;None;1;0;2;[2, 1, 1, 1];[26.569157, 16.557612, 10.757133, 8.399066];[0.000831133311, 0.031326951727, 0.079702247948, 1.308789739574]
10;2;8;1S;-93,861113519;None;None;None;1;0;2;[2, 1, 1, 1];[29.164007, 18.684774, 12.225788, 9.402209];[0.000825759299, 0.026291078653, 0.069045158806, 1.323823395427]
11;2;9;1S;-114,236103072;None;None;None;1;0;2;[2, 1, 1, 1];[33.002074, 20.010719, 12.812960, 10.391729];[0.000643467171, 0.028462320735, 0.074276759038, 1.316041119615]
12;2;10;1S;-136,611094426;None;None;None;1;0;2;[2, 1, 1, 1];[38.257150, 20.900565, 11.994813, 11.227286];[0.000432890771, 0.034192431247, 0.463585286864, 0.920742407402]
13;2;11;1S;-160,986087169;None;None;None;1;0;2;[2, 1, 1, 1];[38.381563, 24.161996, 15.763953, 12.399384];[0.000619849804, 0.021718784784, 0.055643081140, 1.340620434172]
14;2;12;1S;-187,361080976;None;None;None;1;0;2;[2, 1, 1, 1];[41.432462, 25.931606, 16.818729, 13.396833];[0.000571200858, 0.020850033393, 0.054027907830, 1.342828445807]
15;2;13;1S;-215,736075633;None;None;None;1;0;2;[2, 1, 1, 1];[44.416554, 27.631472, 17.713794, 14.391990];[0.000529340136, 0.020400454901, 0.055075274394, 1.341992787013]
16;2;14;1S;-246,111070977;None;None;None;1;0;2;[2, 1, 1, 1];[47.840099, 29.364973, 18.800517, 15.390571];[0.000477721341, 0.019619384751, 0.053013209599, 1.344641326172]
17;2;15;1S;-278,486066884;None;None;None;1;0;2;[2, 1, 1, 1];[50.831249, 31.226722, 19.995428, 16.390480];[0.000452831183, 0.018498196239, 0.050093989964, 1.348493078231]
18;2;16;1S;-312,861063256;None;None;None;1;0;2;[2, 1, 1, 1];[53.887665, 33.070725, 21.181012, 17.390370];[0.000427941024, 0.017543036399, 0.047501877925, 1.351875877072]
19;2;17;1S;-349,23606002;None;None;None;1;0;2;[2, 1, 1, 1];[56.738036, 35.015468, 22.478032, 18.391366];[0.000413940310, 0.016413645448, 0.044253853636, 1.356099284454]
20;2;18;1S;-387,611057114;None;None;None;1;0;2;[2, 1, 1, 1];[59.890584, 36.795923, 23.565435, 19.390063];[0.000389191572, 0.015823211285, 0.043133372231, 1.357682496538]
21;2;19;1S;-427,986054491;None;None;None;1;0;2;[2, 1, 1, 1];[62.779600, 38.707458, 24.817537, 20.390547];[0.000375756544, 0.014976380204, 0.040770221368, 1.360769441902]
22;2;20;1S;-470,361052111;None;None;None;1;0;2;[2, 1, 1, 1];[66.501777, 40.141932, 25.334152, 21.382158];[0.000337572777, 0.015250454793, 0.045674855424, 1.355501779224]
