Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
1;-1;2;1S;-0,487929734;0,5;1;0;1;0;2;[2, 1, 1, 1, 1, 1];[3.461036, 1.704290, 1.047762, 0.626983, 0.392736, 0.304047];[0.000820668130, 0.106644147682, 0.344790923361, 0.491647243740, 0.474793636453, 0.104819812187]
3;-1;4;2S;-7,428232059;0,1982;2;0;1;0;2;[1, 1, 1, 1, 1, 2, 1, 2, 1];[10.425629, 5.519814, 3.412780, 2.409164, 1.431054, 0.712248, 0.325496, 0.246090, 0.170515];[0.001909471152, -0.074982593027, -0.216947290114, -1.139875788841, -0.006162435598, 0.000359775930, -0.000216798939, 0.000223021479, -0.000205626652]
3;-1;4;2S;-7,428232059;0,1982;2;0;2;0;2;[1, 1, 1, 1, 1, 2, 1, 2, 1];[10.425629, 5.519814, 3.412780, 2.409164, 1.431054, 0.712248, 0.325496, 0.246090, 0.170515];[0.000256821183, -0.006150839047, -0.042240296366, -0.015910609683, -0.299854145995, 0.194360319624, 1.031156848442, 0.228328173758, 0.139701813967]
5;-1;6;1S;-24,519221361;0,3051;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 1];[15.943800, 7.666923, 6.168477, 4.180044, 2.377138, 2.095029, 0.942132, 0.623905, 0.230077];[0.000816284068, 0.318753837464, 0.202224054138, 0.932197112993, -0.000117803990, 0.001462438245, 0.000470650274, 0.000177200959, 0.000007071068]
5;-1;6;1S;-24,519221361;0,3051;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 1];[15.943800, 7.666923, 6.168477, 4.180044, 2.377138, 2.095029, 0.942132, 0.623905, 0.230077];[-0.000166311515, 0.019191019463, 0.049898545649, -0.284659269795, -0.586035392426, 0.139520511788, 1.254936628540, 0.424937800053, 0.002474873734]
5;-1;6;1S;-24,519221361;0,3051;2;1;2;1;2;[3, 2, 3, 2, 2, 2, 2, 2];[12.230333, 5.660905, 2.245340, 1.755314, 1.007474, 0.593488, 0.353591, 0.230077];[0.000057699913, 0.008431258416, -0.074536974333, 0.413856871106, 0.532026435058, 0.485934245212, 0.248283009965, 0.017076063080]
6;-1;7;2P;-37,708843613;0,414;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 1];[18.920161, 9.204405, 7.499563, 5.079154, 3.263494, 2.347924, 1.219231, 0.842734, 0.392560];[-0.000766928015, -0.327316476320, -0.213141075733, -0.909467165512, -0.003160908733, -0.002109016686, -0.000170129892, -0.000440810367, 0.000006081118]
6;-1;7;2P;-37,708843613;0,414;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 1];[18.920161, 9.204405, 7.499563, 5.079154, 3.263494, 2.347924, 1.219231, 0.842734, 0.392560];[-0.000176918117, 0.018167128844, 0.043710371364, -0.271501992497, -0.551311358301, 0.093847777685, 1.042380330115, 0.620478705159, 0.003123007810]
6;-1;7;2P;-37,708843613;0,414;2;1;2;1;3;[3, 2, 3, 2, 2, 2, 2, 2];[14.841621, 6.932628, 2.773007, 2.199863, 1.282317, 0.793656, 0.523330, 0.392560];[0.000082618824, 0.010748241286, -0.133069133418, 0.656187794858, 0.680781184274, 0.522192187462, 0.203314705586, 0.008865328853]
7;-1;8;3P;-54,321958875;0,5346;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1, 1];[21.938661, 10.856681, 8.909576, 6.067777, 4.082589, 2.595892, 1.388357, 0.965463, 0.432913];[-0.000718137647, -0.294284124458, -0.190473777912, -0.949155230662, -0.015527074965, -0.001989374218, -0.000214394776, -0.000423132698, 0.000001414214]
