Z;Q;N;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
3;1;2;1S;-7,236415201;0,1982;1;0;1;0;2;[1, 1, 1, 2, 1];[11.218455, 5.354960, 3.261521, 2.814254, 2.363203];[-0.001234467019, 0.083059873788, 0.411250758354, 0.087553537382, 0.866684518244]
4;1;3;2S;-14,277394812;0,3426;2;0;1;0;2;[1, 2, 1, 2, 1, 2, 2, 1];[12.893979, 7.512987, 5.403531, 4.422860, 3.117200, 1.552788, 1.181205, 1.154250];[-0.003147190862, -0.016819383319, 0.548009311054, 0.281663682628, 0.667197250192, 0.013307891043, 0.006400589162, -0.027496130029]
4;1;3;2S;-14,277394812;0,3426;2;0;2;0;1;[1, 2, 1, 2, 1, 2, 2, 1];[12.893979, 7.512987, 5.403531, 4.422860, 3.117200, 1.552788, 1.181205, 1.154250];[0.000541900000, 0.001915800000, -0.034976300000, 0.006621900000, -0.109945300000, 0.239099200000, 1.174574400000, -0.463015900000]
5;1;4;1S;-24,237575182;0,3051;2;0;1;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[19.552542, 7.836769, 6.239598, 4.180846, 2.454754, 1.925902, 1.356578, 1.321986];[-0.000743734912, 0.305899060446, 0.205233783441, 0.951001486468, -0.004266116632, 0.005769142806, -0.008737435652, 0.001291035561]
5;1;4;1S;-24,237575182;0,3051;2;0;2;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[19.552542, 7.836769, 6.239598, 4.180846, 2.454754, 1.925902, 1.356578, 1.321986];[0.000174655375, 0.009721728292, 0.045574304840, -0.267758993461, -1.374631704661, -0.623185651339, 2.578087423997, 0.519430317701]
6;1;5;2P;-37,29222377;0,414;2;1;1;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[22.454541, 9.614463, 7.721450, 5.166228, 3.178746, 2.397569, 1.425365, 1.345184];[-0.000846265396, 0.261992820503, 0.175875416993, 1.008594485267, 0.003316896489, 0.001286368656, -0.000193464415, 0.000088812612]
6;1;5;2P;-37,29222377;0,414;2;1;2;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[22.454541, 9.614463, 7.721450, 5.166228, 3.178746, 2.397569, 1.425365, 1.345184];[0.000201949697, 0.012260383058, 0.040490348504, -0.254279982577, -1.130736009430, -0.445188065474, 2.660337801942, -0.048209550392]
6;1;5;2P;-37,29222377;0,414;2;1;2;1;1;[3, 2, 2, 2, 2, 2, 3];[14.444276, 6.956407, 4.615855, 3.483233, 2.220195, 1.498940, 1.345184];[0.000085700000, 0.009270500000, -0.012065500000, 0.079012000000, 0.255944100000, 0.680765800000, 0.032388200000]
7;1;6;3P;-53,888005011;0,5346;2;1;1;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[24.925633, 11.494691, 9.276068, 6.161493, 3.876285, 2.839197, 1.638966, 1.490012];[0.001018516608, -0.222994750150, -0.151263716946, -1.058300415030, -0.013195602486, -0.000933380951, -0.000771877762, 0.000044830570]
7;1;6;3P;-53,888005011;0,5346;2;1;2;0;2;[1, 1, 2, 1, 1, 2, 1, 2];[24.925633, 11.494691, 9.276068, 6.161493, 3.876285, 2.839197, 1.638966, 1.490012];[0.000237163614, 0.013530912522, 0.035962036678, -0.247005833697, -0.990689410197, -0.312934065812, 2.375147353532, -0.017258779472]
