# x    rho(x)    rho_2(x,x+dx)    gamma(p)   gamma_2(p,p+dp)
    0.0000      0.1438410566E+02      0.1293140527E+03      0.5058991644E+00      0.1599587279E+00
    0.1000      0.5351465261E+01      0.1790594666E+02      0.4901705567E+00      0.1545356240E+00
    0.2000      0.2034419973E+01      0.2593749543E+01      0.4448362566E+00      0.1358868357E+00
    0.3000      0.7874159457E+00      0.3915621538E+00      0.3767544677E+00      0.1043204410E+00
    0.4000      0.3110761930E+00      0.6241413765E-01      0.2979705624E+00      0.6878522038E-01
    0.5000      0.1282652237E+00      0.1112719187E-01      0.2215277751E+00      0.3940185709E-01
    0.6000      0.5860765184E-01      0.2511356802E-02      0.1565228696E+00      0.2011087039E-01
    0.7000      0.3250448795E-01      0.8333238096E-03      0.1064452821E+00      0.9411332374E-02
    0.8000      0.2283924527E-01      0.4272285163E-03      0.7056324788E-01      0.4149158446E-02
    0.9000      0.1908444437E-01      0.3014081033E-03      0.4614933809E-01      0.1766639462E-02
    1.0000      0.1724513119E-01      0.2465390320E-03      0.3012212427E-01      0.7439760297E-03
    1.1000      0.1589001298E-01      0.2092303564E-03      0.1984504901E-01      0.3176903844E-03
    1.2000      0.1457282025E-01      0.1758370059E-03      0.1334583352E-01      0.1413828567E-03
    1.3000      0.1320580603E-01      0.1443067253E-03      0.9259596538E-02      0.6746712344E-04
    1.4000      0.1181544024E-01      0.1154948941E-03      0.6686433247E-02      0.3532822820E-04
    1.5000      0.1045141522E-01      0.9038500669E-04      0.5051138850E-02      0.2048892542E-04
    1.6000      0.9156330126E-02      0.6940964384E-04      0.3993374750E-02      0.1306411853E-04
    1.7000      0.7958527796E-02      0.5247839161E-04      0.3290342648E-02      0.8994432327E-05
    1.8000      0.6873023866E-02      0.3917559748E-04      0.2805459907E-02      0.6555059269E-05
    1.9000      0.5904650575E-02      0.2894295063E-04      0.2455469975E-02      0.4974479930E-05
    2.0000      0.5051269877E-02      0.2120248956E-04      0.2189816804E-02      0.3884159156E-05
    2.1000      0.4306396326E-02      0.1542458194E-04      0.1977882126E-02      0.3094707418E-05
    2.2000      0.3661133209E-02      0.1115731930E-04      0.1801153171E-02      0.2501535794E-05
    2.3000      0.3105514208E-02      0.8032697408E-05      0.1648440823E-02      0.2043041777E-05
    2.4000      0.2629385609E-02      0.5760653701E-05      0.1512970094E-02      0.1680899084E-05
    2.5000      0.2222954417E-02      0.4117936826E-05      0.1390614509E-02      0.1390131700E-05
    2.6000      0.1877103275E-02      0.2935768447E-05      0.1278827565E-02      0.1153793195E-05
    2.7000      0.1583548021E-02      0.2088299872E-05      0.1175998283E-02      0.9599596577E-06
    2.8000      0.1334892601E-02      0.1482701394E-05      0.1081064443E-02      0.7999577096E-06
    2.9000      0.1124619702E-02      0.1051084333E-05      0.9932821291E-03      0.6672858288E-06
    3.0000      0.9470434004E-03      0.7441409783E-06      0.9120898318E-03      0.5569400287E-06
    3.1000      0.7972414265E-03      0.5262583224E-06      0.8370295235E-03      0.4649819923E-06
    3.2000      0.6709785394E-03      0.3718313085E-06      0.7677018299E-03      0.3882556194E-06
    3.3000      0.5646283000E-03      0.2625190004E-06      0.7037414026E-03      0.3241959697E-06
    3.4000      0.4750976347E-03      0.1852241208E-06      0.6448040804E-03      0.2706966677E-06
    3.5000      0.3997566696E-03      0.1306176718E-06      0.5905607716E-03      0.2260149678E-06
    3.6000      0.3363750495E-03      0.9206876922E-07      0.5406950294E-03      0.1887016059E-06
    3.7000      0.2830651478E-03      0.6487257853E-07      0.4949025385E-03      0.1575473865E-06
    3.8000      0.2382320791E-03      0.4569575156E-07      0.4528914777E-03      0.1315414174E-06
    3.9000      0.2005301302E-03      0.3217951975E-07      0.4143831842E-03      0.1098377188E-06
    4.0000      0.1688250794E-03      0.2265646119E-07      0.3791128109E-03      0.9172805840E-07
    4.1000      0.1421618019E-03      0.1594887821E-07      0.3468298278E-03      0.7661956768E-07
    4.2000      0.1197365558E-03      0.1122556043E-07      0.3172983124E-03      0.6401612782E-07
    4.3000      0.1008733619E-03      0.7900197199E-08      0.2902970192E-03      0.5350280007E-07
    4.4000      0.8500393753E-04      0.5559429880E-08      0.2656192494E-03      0.4473275468E-07
    4.5000      0.7165069037E-04      0.3911955690E-08      0.2430725486E-03      0.3741627676E-07
    4.6000      0.6041233766E-04      0.2752558730E-08      0.2224782686E-03      0.3131151229E-07
    4.7000      0.5095176431E-04      0.1936711064E-08      0.2036710238E-03      0.2621667977E-07
    4.8000      0.4298578624E-04      0.1362649951E-08      0.1864980730E-03      0.2196351925E-07
    4.9000      0.3627652923E-04      0.9587378765E-09      0.1708186509E-03      0.1841178748E-07
    5.0000      0.3062417508E-04      0.6745525434E-09      0.1565032728E-03      0.1544463722E-07
    5.1000      0.2586086256E-04      0.4746086382E-09      0.1434330269E-03      0.1296474324E-07
    5.2000      0.2184556224E-04      0.3339355017E-09      0.1314988700E-03      0.1089105841E-07
    5.3000      0.1845977175E-04      0.2349629401E-09      0.1206009363E-03      0.9156100337E-08
    5.4000      0.1560390133E-04      0.1653287260E-09      0.1106478677E-03      0.7703684361E-08
    5.5000      0.1319423974E-04      0.1163352921E-09      0.1015561706E-03      0.6487031333E-08
    5.6000      0.1116040789E-04      0.8186356017E-10      0.9324960403E-04      0.5467189617E-08
    5.7000      0.9443221914E-05      0.5760859358E-10      0.8565860042E-04      0.4611720195E-08
    5.8000      0.7992900103E-05      0.4054177284E-10      0.7871972178E-04      0.3893601742E-08
    5.9000      0.6767558252E-05      0.2853239001E-10      0.7237515052E-04      0.3290319405E-08
    6.0000      0.5731947058E-05      0.2008142355E-10      0.6657221514E-04      0.2783106814E-08
    6.1000      0.4856392537E-05      0.1413424474E-10      0.6126295003E-04      0.2356315807E-08
    6.2000      0.4115906721E-05      0.9948857261E-11      0.5640368807E-04      0.1996892486E-08
    6.3000      0.3489441163E-05      0.7003205747E-11      0.5195468478E-04      0.1693941748E-08
    6.4000      0.2959260234E-05      0.4929968929E-11      0.4787977219E-04      0.1438365392E-08
    6.5000      0.2510414871E-05      0.3470687625E-11      0.4414604100E-04      0.1222561375E-08
    6.6000      0.2130300604E-05      0.2443494068E-11      0.4072354902E-04      0.1040173873E-08
    6.7000      0.1808286262E-05      0.1720409276E-11      0.3758505432E-04      0.8858855367E-09
    6.8000      0.1535401996E-05      0.1211371197E-11      0.3470577125E-04      0.7552447866E-09
    6.9000      0.1304077067E-05      0.8529977869E-12      0.3206314765E-04      0.6445222051E-09
    7.0000      0.1107919399E-05      0.6006810546E-12      0.2963666172E-04      0.5505910810E-09
    7.1000      0.9415301987E-06      0.4230244589E-12      0.2740763682E-04      0.4708280121E-09
    7.2000      0.8003480128E-06      0.2979289158E-12      0.2535907296E-04      0.4030301639E-09
    7.3000      0.6805175093E-06      0.2098386903E-12      0.2347549340E-04      0.3453463610E-09
    7.4000      0.5787790280E-06      0.1478033563E-12      0.2174280524E-04      0.2962196702E-09
    7.5000      0.4923755837E-06      0.1041139484E-12      0.2014817267E-04      0.2543395338E-09
