Element name;Symbol;clasificacion;Possible hybridization;Z;Q;N;Complete electronic configuration;Special configuration;Config;Energy;Ionization;Valence_n;Valence_l;n;l;mz;N_list;A_list;C_list
Hydrogen;H;Non metal;Likely without hybridisation;1;0;1;1s^1;Half orbital;2S;-0,5;0,5;1;0;1;0;1;[1];[1.000000];[1.000000000000]
Helium;He;Noble gas;Likely without hybridisation;2;0;2;1s^2;Noble gas;1S;-2,861679996;0,9037;1;0;1;0;2;[2, 1, 1, 1, 2];[6.437494, 3.384356, 2.177906, 1.455077, 1.354958];[0.001145937250, 0.112971056318, 0.254786129611, 1.047638800404, 0.038468730217]
Lithium;Li;Alkali metal;Likely without hybridisation;3;0;3;1s^2 2s^1;Half orbital;2S;-7,432726929;0,1982;2;0;1;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[10.335672, 5.553473, 3.453336, 2.416445, 1.555772, 0.889955, 0.637402, 0.626614];[0.002018082754, -0.072792117640, -0.208121324693, -1.146303389482, -0.011000884459, 0.000579544718, -0.000711208001, -0.000380564870]
Lithium;Li;Alkali metal;Likely without hybridisation;3;0;3;1s^2 2s^1;Half orbital;2S;-7,432726929;0,1982;2;0;2;0;1;[1, 1, 1, 1, 1, 1, 2, 1];[10.335672, 5.553473, 3.453336, 2.416445, 1.555772, 0.889955, 0.637402, 0.626614];[0.000272800000, -0.005985800000, -0.040054900000, -0.027361800000, -0.144829700000, -0.605339000000, 0.595582700000, 0.997983100000]
Beryllium;Be;Alkaline earth metal;Likely without hybridisation;4;0;4;1s^2 2s^2;Full orbital;1S;-14,573023167;0,3426;2;0;1;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[12.683501, 8.105927, 5.152556, 3.472467, 2.349757, 1.406429, 0.821620, 0.786473];[-0.003523795933, 0.044408427179, 0.120164877867, 1.228323957723, 0.044668642474, -0.004989911133, -0.000586757207, 0.001739341260]
Beryllium;Be;Alkaline earth metal;Likely without hybridisation;4;0;4;1s^2 2s^2;Full orbital;1S;-14,573023167;0,3426;2;0;2;0;2;[1, 1, 1, 1, 1, 1, 2, 1];[12.683501, 8.105927, 5.152556, 3.472467, 2.349757, 1.406429, 0.821620, 0.786473];[0.000628193664, -0.004382647830, -0.051909557335, 0.019644840595, -0.508836302484, -0.362527848439, 0.344234854588, 1.576988836295]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[16.109305, 7.628062, 6.135799, 4.167618, 2.488602, 1.642523, 0.991698, 0.787218];[-0.000781918679, -0.332356733456, -0.213394078539, -0.908089862924, -0.001627335546, -0.001217779299, 0.000666377431, -0.000328521811]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[16.109305, 7.628062, 6.135799, 4.167618, 2.488602, 1.642523, 0.991698, 0.787218];[-0.000175221060, 0.017287488008, 0.050341335916, -0.281034499014, -0.760700808296, -0.169667160876, 2.033978796790, 0.042321472225]
Boron;B;Metaloid;sp;5;0;5;1s^2 2s^2 2p^1;No special;2P;-24,529060725;0,3051;2;1;2;1;1;[3, 2, 3, 2, 2, 2, 2];[12.135370, 5.508493, 3.930298, 2.034395, 1.301082, 0.919434, 0.787218];[0.000059900000, 0.011375100000, 0.009509600000, 0.164751800000, 0.336786000000, 0.409916200000, 0.132939600000]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;1;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[18.890445, 9.238787, 7.517513, 5.100368, 3.276630, 2.270243, 1.192963, 0.930957];[-0.000776403246, -0.316811556557, -0.206218076081, -0.923709710299, -0.005769849913, -0.001567231470, -0.000287509617, -0.000093055252]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;2;0;2;[2, 1, 2, 1, 1, 2, 1, 1];[18.890445, 9.238787, 7.517513, 5.100368, 3.276630, 2.270243, 1.192963, 0.930957];[-0.000193888679, 0.017695912885, 0.044442651147, -0.268761953719, -0.669122843379, -0.031412935911, 1.822924958854, 0.024963839224]
Carbon;C;Non metal;sp;6;0;6;1s^2 2s^2 2p^2;No special;3P;-37,68861896;0,414;2;1;2;1;2;[3, 2, 3, 2, 2, 2, 2];[15.083626, 6.565676, 4.729110, 2.494494, 1.601933, 1.123315, 0.930957];[0.000078064589, 0.019441335263, 0.023041215886, 0.284503989146, 0.516355251731, 0.539041075749, 0.134622241693]
