EntropicMoment - momento q=0.500
-----------------------------------------------
Z  | Q | q     | EntropicMoment | integration_error | space   
-----------------------------------------------
1  | 0 | 0.500 | 8.88577e+00    | 1.23496e-13       | momentum
2  | 0 | 0.500 | 2.11184e+01    | 2.07097e-09       | momentum
3  | 0 | 0.500 | 3.42378e+01    | 1.65794e-10       | momentum
4  | 0 | 0.500 | 4.79687e+01    | 1.84377e-10       | momentum
5  | 0 | 0.500 | 6.21871e+01    | 4.63046e-09       | momentum
6  | 0 | 0.500 | 7.67804e+01    | 4.57398e-09       | momentum
7  | 0 | 0.500 | 9.17174e+01    | 1.97522e-09       | momentum
8  | 0 | 0.500 | 1.06910e+02    | 6.59219e-10       | momentum
9  | 0 | 0.500 | 1.22420e+02    | 5.00356e-09       | momentum
10 | 0 | 0.500 | 1.38227e+02    | 2.23435e-09       | momentum
11 | 0 | 0.500 | 1.54254e+02    | 4.67818e-09       | momentum
12 | 0 | 0.500 | 1.70487e+02    | 6.61563e-09       | momentum
13 | 0 | 0.500 | 1.86900e+02    | 1.67510e-08       | momentum
14 | 0 | 0.500 | 2.03472e+02    | 9.00716e-09       | momentum
15 | 0 | 0.500 | 2.20192e+02    | 1.18470e-10       | momentum
16 | 0 | 0.500 | 2.37028e+02    | 4.68499e-10       | momentum
17 | 0 | 0.500 | 2.54004e+02    | 3.20196e-08       | momentum
18 | 0 | 0.500 | 2.71112e+02    | 8.11420e-09       | momentum
19 | 0 | 0.500 | 2.88311e+02    | 1.06009e-09       | momentum
20 | 0 | 0.500 | 3.05599e+02    | 1.28375e-09       | momentum
21 | 0 | 0.500 | 3.23030e+02    | 2.19201e-08       | momentum
22 | 0 | 0.500 | 3.40564e+02    | 9.35478e-09       | momentum
23 | 0 | 0.500 | 3.58198e+02    | 3.05097e-08       | momentum
24 | 0 | 0.500 | 3.75952e+02    | 3.03660e-08       | momentum
25 | 0 | 0.500 | 3.93748e+02    | 2.56498e-08       | momentum
