JRD momento - alpha=0.750 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 7.500e-01 | 1.223e-02 | 2.633e-06         | momentum
7.000e+00 | 1.000e+00 | 7.500e-01 | 9.539e-03 | 4.863e-07         | momentum
8.000e+00 | 1.000e+00 | 7.500e-01 | 7.645e-03 | 1.484e-07         | momentum
9.000e+00 | 1.000e+00 | 7.500e-01 | 6.352e-03 | 2.006e-07         | momentum
1.000e+01 | 1.000e+00 | 7.500e-01 | 5.325e-03 | 1.351e-07         | momentum
1.100e+01 | 1.000e+00 | 7.500e-01 | 4.510e-03 | 5.368e-07         | momentum
1.200e+01 | 1.000e+00 | 7.500e-01 | 4.292e-03 | 5.828e-06         | momentum
1.300e+01 | 1.000e+00 | 7.500e-01 | 4.061e-03 | 5.683e-07         | momentum
1.400e+01 | 1.000e+00 | 7.500e-01 | 3.795e-03 | 7.723e-06         | momentum
1.500e+01 | 1.000e+00 | 7.500e-01 | 3.556e-03 | 9.505e-07         | momentum
1.700e+01 | 1.000e+00 | 7.500e-01 | 3.150e-03 | 9.514e-07         | momentum
1.600e+01 | 1.000e+00 | 7.500e-01 | 3.340e-03 | 8.519e-07         | momentum
1.900e+01 | 1.000e+00 | 7.500e-01 | 2.811e-03 | 7.201e-07         | momentum
1.800e+01 | 1.000e+00 | 7.500e-01 | 2.974e-03 | 1.093e-06         | momentum
2.000e+01 | 1.000e+00 | 7.500e-01 | 2.717e-03 | 4.550e-06         | momentum
2.300e+01 | 1.000e+00 | 7.500e-01 | 2.264e-03 | 6.652e-07         | momentum
2.100e+01 | 1.000e+00 | 7.500e-01 | 2.571e-03 | 2.589e-06         | momentum
2.200e+01 | 1.000e+00 | 7.500e-01 | 2.431e-03 | 2.210e-06         | momentum
2.400e+01 | 1.000e+00 | 7.500e-01 | 2.147e-03 | 2.079e-06         | momentum
2.700e+01 | 1.000e+00 | 7.500e-01 | 1.853e-03 | 1.524e-05         | momentum
2.500e+01 | 1.000e+00 | 7.500e-01 | 2.072e-03 | 1.092e-06         | momentum
2.600e+01 | 1.000e+00 | 7.500e-01 | 1.972e-03 | 1.467e-05         | momentum
2.800e+01 | 1.000e+00 | 7.500e-01 | 1.768e-03 | 7.593e-06         | momentum
2.900e+01 | 1.000e+00 | 7.500e-01 | 1.689e-03 | 7.244e-06         | momentum
3.000e+01 | 1.000e+00 | 7.500e-01 | 1.637e-03 | 8.495e-06         | momentum
3.100e+01 | 1.000e+00 | 7.500e-01 | 1.585e-03 | 9.054e-06         | momentum
3.300e+01 | 1.000e+00 | 7.500e-01 | 1.485e-03 | 1.556e-06         | momentum
3.400e+01 | 1.000e+00 | 7.500e-01 | 1.440e-03 | 1.460e-05         | momentum
3.200e+01 | 1.000e+00 | 7.500e-01 | 1.533e-03 | 1.859e-05         | momentum
3.600e+01 | 1.000e+00 | 7.500e-01 | 1.359e-03 | 4.434e-06         | momentum
3.500e+01 | 1.000e+00 | 7.500e-01 | 1.398e-03 | 1.884e-06         | momentum
3.700e+01 | 1.000e+00 | 7.500e-01 | 1.322e-03 | 6.183e-07         | momentum
4.100e+01 | 1.000e+00 | 7.500e-01 | 1.189e-03 | 1.852e-05         | momentum
4.400e+01 | 1.000e+00 | 7.500e-01 | 1.103e-03 | 2.552e-05         | momentum
4.200e+01 | 1.000e+00 | 7.500e-01 | 1.159e-03 | 6.283e-06         | momentum
4.000e+01 | 1.000e+00 | 7.500e-01 | 1.227e-03 | 3.153e-06         | momentum
3.800e+01 | 1.000e+00 | 7.500e-01 | 1.293e-03 | 1.064e-06         | momentum
3.900e+01 | 1.000e+00 | 7.500e-01 | 1.266e-03 | 1.209e-05         | momentum
4.300e+01 | 1.000e+00 | 7.500e-01 | 1.135e-03 | 3.651e-06         | momentum
4.500e+01 | 1.000e+00 | 7.500e-01 | 1.076e-03 | 1.598e-06         | momentum
4.700e+01 | 1.000e+00 | 7.500e-01 | 1.026e-03 | 1.232e-05         | momentum
4.600e+01 | 1.000e+00 | 7.500e-01 | 1.050e-03 | 1.636e-06         | momentum
4.800e+01 | 1.000e+00 | 7.500e-01 | 1.006e-03 | 2.177e-05         | momentum
4.900e+01 | 1.000e+00 | 7.500e-01 | 9.871e-04 | 3.040e-06         | momentum
5.000e+01 | 1.000e+00 | 7.500e-01 | 9.679e-04 | 6.629e-06         | momentum
5.100e+01 | 1.000e+00 | 7.500e-01 | 9.496e-04 | 1.052e-05         | momentum
5.200e+01 | 1.000e+00 | 7.500e-01 | 9.321e-04 | 1.094e-05         | momentum
5.300e+01 | 1.000e+00 | 7.500e-01 | 9.155e-04 | 4.426e-06         | momentum
5.500e+01 | 1.000e+00 | 7.500e-01 | 8.841e-04 | 2.641e-05         | momentum
5.400e+01 | 1.000e+00 | 7.500e-01 | 8.995e-04 | 1.281e-06         | momentum

