JRD momento - alpha=0.750 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 7.500e-01 | 1.504e-02 | 1.175e-06         | momentum
4.000e+00 | 0.000e+00 | 7.500e-01 | 1.826e-02 | 5.180e-07         | momentum
5.000e+00 | 0.000e+00 | 7.500e-01 | 1.430e-02 | 2.541e-06         | momentum
6.000e+00 | 0.000e+00 | 7.500e-01 | 1.114e-02 | 1.389e-06         | momentum
7.000e+00 | 0.000e+00 | 7.500e-01 | 8.835e-03 | 1.693e-07         | momentum
8.000e+00 | 0.000e+00 | 7.500e-01 | 7.280e-03 | 1.340e-07         | momentum
9.000e+00 | 0.000e+00 | 7.500e-01 | 6.043e-03 | 1.961e-06         | momentum
1.000e+01 | 0.000e+00 | 7.500e-01 | 5.070e-03 | 2.726e-07         | momentum
1.100e+01 | 0.000e+00 | 7.500e-01 | 4.733e-03 | 5.488e-07         | momentum
1.200e+01 | 0.000e+00 | 7.500e-01 | 4.411e-03 | 4.158e-06         | momentum
1.300e+01 | 0.000e+00 | 7.500e-01 | 4.102e-03 | 6.350e-07         | momentum
1.400e+01 | 0.000e+00 | 7.500e-01 | 3.822e-03 | 5.701e-06         | momentum
1.500e+01 | 0.000e+00 | 7.500e-01 | 3.569e-03 | 8.475e-07         | momentum
1.600e+01 | 0.000e+00 | 7.500e-01 | 3.352e-03 | 8.357e-07         | momentum
1.700e+01 | 0.000e+00 | 7.500e-01 | 3.152e-03 | 4.270e-06         | momentum
1.800e+01 | 0.000e+00 | 7.500e-01 | 2.969e-03 | 1.010e-06         | momentum
1.900e+01 | 0.000e+00 | 7.500e-01 | 2.860e-03 | 1.814e-06         | momentum
2.000e+01 | 0.000e+00 | 7.500e-01 | 2.756e-03 | 4.093e-06         | momentum
2.100e+01 | 0.000e+00 | 7.500e-01 | 2.602e-03 | 4.512e-06         | momentum
2.200e+01 | 0.000e+00 | 7.500e-01 | 2.456e-03 | 4.629e-07         | momentum
2.300e+01 | 0.000e+00 | 7.500e-01 | 2.322e-03 | 4.471e-07         | momentum
2.400e+01 | 0.000e+00 | 7.500e-01 | 2.167e-03 | 1.053e-06         | momentum
2.500e+01 | 0.000e+00 | 7.500e-01 | 2.085e-03 | 3.237e-06         | momentum
2.600e+01 | 0.000e+00 | 7.500e-01 | 1.982e-03 | 1.108e-05         | momentum
2.700e+01 | 0.000e+00 | 7.500e-01 | 1.887e-03 | 1.139e-05         | momentum
2.800e+01 | 0.000e+00 | 7.500e-01 | 1.799e-03 | 9.949e-06         | momentum
2.900e+01 | 0.000e+00 | 7.500e-01 | 1.698e-03 | 1.209e-05         | momentum
3.000e+01 | 0.000e+00 | 7.500e-01 | 1.640e-03 | 1.669e-05         | momentum
3.300e+01 | 0.000e+00 | 7.500e-01 | 1.484e-03 | 3.095e-06         | momentum
3.100e+01 | 0.000e+00 | 7.500e-01 | 1.584e-03 | 1.043e-05         | momentum
3.200e+01 | 0.000e+00 | 7.500e-01 | 1.533e-03 | 2.019e-05         | momentum
3.400e+01 | 0.000e+00 | 7.500e-01 | 1.440e-03 | 1.004e-05         | momentum
3.500e+01 | 0.000e+00 | 7.500e-01 | 1.398e-03 | 2.184e-05         | momentum
3.600e+01 | 0.000e+00 | 7.500e-01 | 1.358e-03 | 1.699e-05         | momentum
3.700e+01 | 0.000e+00 | 7.500e-01 | 1.328e-03 | 1.412e-06         | momentum
3.800e+01 | 0.000e+00 | 7.500e-01 | 1.299e-03 | 1.325e-05         | momentum
4.000e+01 | 0.000e+00 | 7.500e-01 | 1.231e-03 | 1.742e-05         | momentum
4.100e+01 | 0.000e+00 | 7.500e-01 | 1.193e-03 | 1.908e-05         | momentum
3.900e+01 | 0.000e+00 | 7.500e-01 | 1.265e-03 | 4.629e-06         | momentum
4.200e+01 | 0.000e+00 | 7.500e-01 | 1.162e-03 | 2.662e-05         | momentum
4.300e+01 | 0.000e+00 | 7.500e-01 | 1.138e-03 | 9.824e-06         | momentum
4.400e+01 | 0.000e+00 | 7.500e-01 | 1.105e-03 | 2.381e-06         | momentum
4.600e+01 | 0.000e+00 | 7.500e-01 | 1.048e-03 | 1.497e-06         | momentum
4.500e+01 | 0.000e+00 | 7.500e-01 | 1.078e-03 | 2.663e-06         | momentum
4.700e+01 | 0.000e+00 | 7.500e-01 | 1.027e-03 | 1.518e-06         | momentum
4.800e+01 | 0.000e+00 | 7.500e-01 | 1.007e-03 | 4.071e-06         | momentum
5.000e+01 | 0.000e+00 | 7.500e-01 | 9.680e-04 | 1.887e-05         | momentum
5.100e+01 | 0.000e+00 | 7.500e-01 | 9.497e-04 | 2.572e-05         | momentum
5.200e+01 | 0.000e+00 | 7.500e-01 | 9.324e-04 | 1.393e-05         | momentum
4.900e+01 | 0.000e+00 | 7.500e-01 | 9.872e-04 | 2.753e-06         | momentum
5.300e+01 | 0.000e+00 | 7.500e-01 | 9.157e-04 | 4.353e-06         | momentum
5.400e+01 | 0.000e+00 | 7.500e-01 | 8.995e-04 | 2.803e-06         | momentum

