JRD momento - alpha=2.000 -cat
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD        | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 2.000e+00 | -1.124e-02 | 1.298e-07         | momentum
7.000e+00 | 1.000e+00 | 2.000e+00 | -3.884e-03 | 1.462e-07         | momentum
8.000e+00 | 1.000e+00 | 2.000e+00 | -1.360e-03 | 1.460e-07         | momentum
9.000e+00 | 1.000e+00 | 2.000e+00 | -5.393e-04 | 1.406e-07         | momentum
1.000e+01 | 1.000e+00 | 2.000e+00 | -2.290e-04 | 6.775e-08         | momentum
1.100e+01 | 1.000e+00 | 2.000e+00 | -9.661e-05 | 1.481e-07         | momentum
1.200e+01 | 1.000e+00 | 2.000e+00 | 9.497e-02  | 1.183e-07         | momentum
1.300e+01 | 1.000e+00 | 2.000e+00 | -2.359e-02 | 1.486e-07         | momentum
1.400e+01 | 1.000e+00 | 2.000e+00 | -1.224e-02 | 1.465e-07         | momentum
1.500e+01 | 1.000e+00 | 2.000e+00 | -6.411e-03 | 1.439e-07         | momentum
1.600e+01 | 1.000e+00 | 2.000e+00 | -3.652e-03 | 1.480e-07         | momentum
1.700e+01 | 1.000e+00 | 2.000e+00 | -2.307e-03 | 1.305e-07         | momentum
1.800e+01 | 1.000e+00 | 2.000e+00 | -1.529e-03 | 1.151e-07         | momentum
1.900e+01 | 1.000e+00 | 2.000e+00 | -1.055e-03 | 1.399e-07         | momentum
2.000e+01 | 1.000e+00 | 2.000e+00 | 4.898e-02  | 1.384e-07         | momentum
2.100e+01 | 1.000e+00 | 2.000e+00 | 4.508e-02  | 1.488e-07         | momentum
2.200e+01 | 1.000e+00 | 2.000e+00 | 4.326e-02  | 1.449e-07         | momentum
2.300e+01 | 1.000e+00 | 2.000e+00 | -2.991e-04 | 1.477e-07         | momentum
2.400e+01 | 1.000e+00 | 2.000e+00 | -2.256e-04 | 9.962e-08         | momentum
2.500e+01 | 1.000e+00 | 2.000e+00 | 3.934e-02  | 1.487e-07         | momentum
2.600e+01 | 1.000e+00 | 2.000e+00 | 3.890e-02  | 1.481e-07         | momentum
2.700e+01 | 1.000e+00 | 2.000e+00 | -1.130e-04 | 1.100e-07         | momentum
2.800e+01 | 1.000e+00 | 2.000e+00 | -9.137e-05 | 4.912e-09         | momentum
2.900e+01 | 1.000e+00 | 2.000e+00 | -7.417e-05 | 1.081e-07         | momentum
3.000e+01 | 1.000e+00 | 2.000e+00 | 3.910e-02  | 1.348e-07         | momentum
3.100e+01 | 1.000e+00 | 2.000e+00 | 9.537e-03  | 1.282e-07         | momentum
3.200e+01 | 1.000e+00 | 2.000e+00 | 1.688e-04  | 1.476e-07         | momentum
3.300e+01 | 1.000e+00 | 2.000e+00 | -1.646e-03 | 1.391e-07         | momentum
3.400e+01 | 1.000e+00 | 2.000e+00 | -1.801e-03 | 1.489e-07         | momentum
3.500e+01 | 1.000e+00 | 2.000e+00 | -1.712e-03 | 1.433e-07         | momentum
3.600e+01 | 1.000e+00 | 2.000e+00 | -1.459e-03 | 1.411e-07         | momentum
3.700e+01 | 1.000e+00 | 2.000e+00 | -1.207e-03 | 1.371e-07         | momentum
3.800e+01 | 1.000e+00 | 2.000e+00 | 3.261e-02  | 1.462e-07         | momentum
3.900e+01 | 1.000e+00 | 2.000e+00 | 3.617e-03  | 1.481e-07         | momentum
4.000e+01 | 1.000e+00 | 2.000e+00 | 2.223e-02  | 1.448e-07         | momentum
4.100e+01 | 1.000e+00 | 2.000e+00 | -5.317e-04 | 1.469e-07         | momentum
4.200e+01 | 1.000e+00 | 2.000e+00 | -4.314e-04 | 1.446e-07         | momentum
4.400e+01 | 1.000e+00 | 2.000e+00 | -3.018e-04 | 1.181e-07         | momentum
4.300e+01 | 1.000e+00 | 2.000e+00 | 1.682e-02  | 1.165e-07         | momentum
4.500e+01 | 1.000e+00 | 2.000e+00 | -2.548e-04 | 1.318e-07         | momentum
4.600e+01 | 1.000e+00 | 2.000e+00 | -2.156e-04 | 1.259e-07         | momentum
4.700e+01 | 1.000e+00 | 2.000e+00 | -1.852e-04 | 7.838e-08         | momentum
4.800e+01 | 1.000e+00 | 2.000e+00 | 1.633e-02  | 1.452e-07         | momentum
4.900e+01 | 1.000e+00 | 2.000e+00 | 1.157e-02  | 1.442e-07         | momentum
5.000e+01 | 1.000e+00 | 2.000e+00 | 4.075e-03  | 9.923e-08         | momentum
5.100e+01 | 1.000e+00 | 2.000e+00 | 1.214e-03  | 4.685e-08         | momentum
5.200e+01 | 1.000e+00 | 2.000e+00 | -1.382e-04 | 1.471e-07         | momentum
5.300e+01 | 1.000e+00 | 2.000e+00 | -4.626e-04 | 1.488e-07         | momentum
5.400e+01 | 1.000e+00 | 2.000e+00 | -9.363e-04 | 1.215e-07         | momentum
5.500e+01 | 1.000e+00 | 2.000e+00 | -7.139e-04 | 1.393e-07         | momentum

