JRD momento - alpha=2.000 -neu
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD        | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.000e+00 | -1.816e-01 | 1.363e-07         | momentum
4.000e+00 | 0.000e+00 | 2.000e+00 | -3.517e-02 | 1.409e-07         | momentum
5.000e+00 | 0.000e+00 | 2.000e+00 | -1.059e-02 | 1.464e-07         | momentum
6.000e+00 | 0.000e+00 | 2.000e+00 | -3.909e-03 | 1.485e-07         | momentum
7.000e+00 | 0.000e+00 | 2.000e+00 | -1.591e-03 | 1.458e-07         | momentum
8.000e+00 | 0.000e+00 | 2.000e+00 | -7.437e-04 | 2.180e-08         | momentum
9.000e+00 | 0.000e+00 | 2.000e+00 | -3.865e-04 | 1.478e-07         | momentum
1.000e+01 | 0.000e+00 | 2.000e+00 | -2.133e-04 | 1.233e-07         | momentum
1.100e+01 | 0.000e+00 | 2.000e+00 | 1.052e-01  | 1.487e-07         | momentum
1.200e+01 | 0.000e+00 | 2.000e+00 | -4.316e-02 | 1.443e-07         | momentum
1.300e+01 | 0.000e+00 | 2.000e+00 | -1.676e-02 | 1.480e-07         | momentum
1.400e+01 | 0.000e+00 | 2.000e+00 | -8.049e-03 | 1.456e-07         | momentum
1.500e+01 | 0.000e+00 | 2.000e+00 | -4.400e-03 | 1.474e-07         | momentum
1.600e+01 | 0.000e+00 | 2.000e+00 | -2.686e-03 | 1.475e-07         | momentum
1.700e+01 | 0.000e+00 | 2.000e+00 | -1.742e-03 | 1.446e-07         | momentum
1.800e+01 | 0.000e+00 | 2.000e+00 | -1.184e-03 | 1.416e-07         | momentum
1.900e+01 | 0.000e+00 | 2.000e+00 | 9.294e-02  | 1.481e-07         | momentum
2.000e+01 | 0.000e+00 | 2.000e+00 | -1.663e-02 | 1.367e-07         | momentum
2.100e+01 | 0.000e+00 | 2.000e+00 | -1.215e-02 | 1.449e-07         | momentum
2.200e+01 | 0.000e+00 | 2.000e+00 | -1.009e-02 | 1.413e-07         | momentum
2.300e+01 | 0.000e+00 | 2.000e+00 | -8.561e-03 | 1.421e-07         | momentum
2.400e+01 | 0.000e+00 | 2.000e+00 | 6.751e-02  | 1.481e-07         | momentum
2.500e+01 | 0.000e+00 | 2.000e+00 | -6.588e-03 | 1.482e-07         | momentum
2.600e+01 | 0.000e+00 | 2.000e+00 | -4.854e-03 | 1.478e-07         | momentum
2.700e+01 | 0.000e+00 | 2.000e+00 | -3.624e-03 | 1.378e-07         | momentum
2.800e+01 | 0.000e+00 | 2.000e+00 | -2.576e-03 | 1.458e-07         | momentum
2.900e+01 | 0.000e+00 | 2.000e+00 | 7.703e-02  | 6.624e-08         | momentum
3.000e+01 | 0.000e+00 | 2.000e+00 | -9.879e-04 | 1.372e-07         | momentum
3.100e+01 | 0.000e+00 | 2.000e+00 | -5.833e-03 | 1.252e-07         | momentum
3.200e+01 | 0.000e+00 | 2.000e+00 | -4.464e-03 | 1.424e-07         | momentum
3.300e+01 | 0.000e+00 | 2.000e+00 | -3.223e-03 | 1.432e-07         | momentum
3.400e+01 | 0.000e+00 | 2.000e+00 | -2.504e-03 | 1.424e-07         | momentum
3.500e+01 | 0.000e+00 | 2.000e+00 | -1.920e-03 | 1.196e-07         | momentum
3.600e+01 | 0.000e+00 | 2.000e+00 | -1.493e-03 | 1.409e-07         | momentum
3.700e+01 | 0.000e+00 | 2.000e+00 | 7.305e-02  | 1.480e-07         | momentum
3.800e+01 | 0.000e+00 | 2.000e+00 | -8.426e-03 | 1.339e-07         | momentum
3.900e+01 | 0.000e+00 | 2.000e+00 | -1.571e-03 | 1.479e-07         | momentum
4.000e+01 | 0.000e+00 | 2.000e+00 | 1.891e-03  | 1.467e-07         | momentum
4.100e+01 | 0.000e+00 | 2.000e+00 | 3.138e-02  | 1.480e-07         | momentum
4.200e+01 | 0.000e+00 | 2.000e+00 | 3.049e-02  | 1.478e-07         | momentum
4.300e+01 | 0.000e+00 | 2.000e+00 | 6.915e-03  | 1.483e-07         | momentum
4.400e+01 | 0.000e+00 | 2.000e+00 | 3.291e-02  | 1.484e-07         | momentum
4.500e+01 | 0.000e+00 | 2.000e+00 | 3.470e-02  | 1.296e-07         | momentum
4.600e+01 | 0.000e+00 | 2.000e+00 | -2.118e-04 | 1.373e-07         | momentum
4.700e+01 | 0.000e+00 | 2.000e+00 | 3.866e-02  | 1.466e-07         | momentum
4.800e+01 | 0.000e+00 | 2.000e+00 | 1.072e-02  | 1.479e-07         | momentum
4.900e+01 | 0.000e+00 | 2.000e+00 | 1.236e-03  | 1.476e-07         | momentum
5.000e+01 | 0.000e+00 | 2.000e+00 | -6.470e-04 | 1.345e-07         | momentum
5.100e+01 | 0.000e+00 | 2.000e+00 | -1.060e-03 | 2.636e-08         | momentum
5.200e+01 | 0.000e+00 | 2.000e+00 | -1.254e-03 | 1.332e-07         | momentum
5.300e+01 | 0.000e+00 | 2.000e+00 | -1.169e-03 | 1.398e-07         | momentum
5.400e+01 | 0.000e+00 | 2.000e+00 | -1.033e-03 | 1.430e-07         | momentum

