JRD posicion - alpha=0.750 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JRD       | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 7.500e-01 | 1.202e-03 | 1.421e-06         | position
7.000e+00 | -1.000e+00 | 7.500e-01 | 6.768e-04 | 8.195e-07         | position
8.000e+00 | -1.000e+00 | 7.500e-01 | 4.127e-04 | 1.488e-07         | position
9.000e+00 | -1.000e+00 | 7.500e-01 | 2.725e-04 | 1.474e-07         | position
1.100e+01 | -1.000e+00 | 7.500e-01 | 1.655e-02 | 1.761e-06         | position
1.400e+01 | -1.000e+00 | 7.500e-01 | 2.036e-03 | 8.658e-07         | position
1.500e+01 | -1.000e+00 | 7.500e-01 | 1.269e-03 | 9.760e-07         | position
1.300e+01 | -1.000e+00 | 7.500e-01 | 4.843e-03 | 1.488e-07         | position
1.700e+01 | -1.000e+00 | 7.500e-01 | 5.878e-04 | 1.484e-07         | position
1.600e+01 | -1.000e+00 | 7.500e-01 | 8.389e-04 | 2.783e-07         | position
1.900e+01 | -1.000e+00 | 7.500e-01 | 1.023e-02 | 3.812e-07         | position
2.200e+01 | -1.000e+00 | 7.500e-01 | 5.280e-03 | 1.486e-07         | position
2.300e+01 | -1.000e+00 | 7.500e-01 | 5.174e-03 | 1.913e-07         | position
2.400e+01 | -1.000e+00 | 7.500e-01 | 5.151e-03 | 4.552e-07         | position
2.500e+01 | -1.000e+00 | 7.500e-01 | 4.693e-03 | 8.657e-07         | position
2.100e+01 | -1.000e+00 | 7.500e-01 | 5.197e-03 | 1.449e-06         | position
2.600e+01 | -1.000e+00 | 7.500e-01 | 4.437e-03 | 1.064e-06         | position
2.700e+01 | -1.000e+00 | 7.500e-01 | 4.239e-03 | 1.013e-06         | position
2.800e+01 | -1.000e+00 | 7.500e-01 | 4.079e-03 | 3.602e-07         | position
2.900e+01 | -1.000e+00 | 7.500e-01 | 3.988e-03 | 4.663e-07         | position
3.300e+01 | -1.000e+00 | 7.500e-01 | 8.075e-04 | 7.303e-07         | position
3.200e+01 | -1.000e+00 | 7.500e-01 | 1.163e-03 | 7.095e-07         | position
3.500e+01 | -1.000e+00 | 7.500e-01 | 4.416e-04 | 1.473e-07         | position
3.100e+01 | -1.000e+00 | 7.500e-01 | 2.660e-03 | 5.944e-07         | position
3.400e+01 | -1.000e+00 | 7.500e-01 | 5.843e-04 | 4.158e-07         | position
3.700e+01 | -1.000e+00 | 7.500e-01 | 6.307e-03 | 1.209e-06         | position
4.000e+01 | -1.000e+00 | 7.500e-01 | 2.602e-03 | 2.700e-07         | position
4.100e+01 | -1.000e+00 | 7.500e-01 | 2.607e-03 | 1.489e-07         | position
4.500e+01 | -1.000e+00 | 7.500e-01 | 2.358e-03 | 8.520e-07         | position
4.400e+01 | -1.000e+00 | 7.500e-01 | 2.399e-03 | 1.486e-07         | position
4.200e+01 | -1.000e+00 | 7.500e-01 | 2.661e-03 | 1.470e-07         | position
4.300e+01 | -1.000e+00 | 7.500e-01 | 2.474e-03 | 1.485e-07         | position
4.600e+01 | -1.000e+00 | 7.500e-01 | 2.335e-03 | 6.489e-07         | position
4.700e+01 | -1.000e+00 | 7.500e-01 | 2.346e-03 | 5.936e-07         | position
3.900e+01 | -1.000e+00 | 7.500e-01 | 7.353e-03 | 9.595e-07         | position
4.900e+01 | -1.000e+00 | 7.500e-01 | 1.453e-03 | 7.555e-07         | position
5.200e+01 | -1.000e+00 | 7.500e-01 | 4.099e-04 | 1.346e-07         | position
5.000e+01 | -1.000e+00 | 7.500e-01 | 7.307e-04 | 7.865e-07         | position
5.100e+01 | -1.000e+00 | 7.500e-01 | 5.391e-04 | 3.868e-07         | position
5.300e+01 | -1.000e+00 | 7.500e-01 | 3.230e-04 | 1.555e-07         | position

