JRD posicion - alpha=0.750 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 7.500e-01 | 2.851e-01 | 1.079e-06         | position
4.000e+00 | 0.000e+00 | 7.500e-01 | 1.632e-02 | 5.512e-07         | position
5.000e+00 | 0.000e+00 | 7.500e-01 | 4.781e-03 | 9.852e-07         | position
6.000e+00 | 0.000e+00 | 7.500e-01 | 1.947e-03 | 1.105e-06         | position
7.000e+00 | 0.000e+00 | 7.500e-01 | 9.929e-04 | 4.074e-07         | position
8.000e+00 | 0.000e+00 | 7.500e-01 | 5.891e-04 | 1.905e-07         | position
9.000e+00 | 0.000e+00 | 7.500e-01 | 3.794e-04 | 1.866e-07         | position
1.000e+01 | 0.000e+00 | 7.500e-01 | 2.605e-04 | 2.120e-07         | position
1.100e+01 | 0.000e+00 | 7.500e-01 | 5.252e-02 | 7.280e-07         | position
1.200e+01 | 0.000e+00 | 7.500e-01 | 8.428e-03 | 2.608e-07         | position
1.300e+01 | 0.000e+00 | 7.500e-01 | 4.982e-03 | 5.172e-07         | position
1.500e+01 | 0.000e+00 | 7.500e-01 | 1.504e-03 | 7.279e-07         | position
1.400e+01 | 0.000e+00 | 7.500e-01 | 2.519e-03 | 4.464e-07         | position
1.600e+01 | 0.000e+00 | 7.500e-01 | 1.012e-03 | 2.615e-07         | position
1.700e+01 | 0.000e+00 | 7.500e-01 | 7.117e-04 | 1.489e-07         | position
1.800e+01 | 0.000e+00 | 7.500e-01 | 5.210e-04 | 2.233e-07         | position
1.900e+01 | 0.000e+00 | 7.500e-01 | 2.343e-02 | 2.483e-07         | position
2.000e+01 | 0.000e+00 | 7.500e-01 | 4.863e-03 | 1.475e-07         | position
2.100e+01 | 0.000e+00 | 7.500e-01 | 3.723e-03 | 9.736e-07         | position
2.200e+01 | 0.000e+00 | 7.500e-01 | 3.255e-03 | 7.352e-07         | position
2.300e+01 | 0.000e+00 | 7.500e-01 | 2.934e-03 | 4.942e-07         | position
2.400e+01 | 0.000e+00 | 7.500e-01 | 3.865e-03 | 7.036e-07         | position
2.500e+01 | 0.000e+00 | 7.500e-01 | 2.540e-03 | 4.015e-07         | position
2.700e+01 | 0.000e+00 | 7.500e-01 | 2.116e-03 | 6.773e-07         | position
2.600e+01 | 0.000e+00 | 7.500e-01 | 2.288e-03 | 3.117e-07         | position
2.800e+01 | 0.000e+00 | 7.500e-01 | 1.977e-03 | 2.164e-07         | position
2.900e+01 | 0.000e+00 | 7.500e-01 | 3.775e-03 | 4.102e-07         | position
3.000e+01 | 0.000e+00 | 7.500e-01 | 1.780e-03 | 1.489e-07         | position
3.100e+01 | 0.000e+00 | 7.500e-01 | 1.914e-03 | 6.469e-07         | position
3.300e+01 | 0.000e+00 | 7.500e-01 | 7.790e-04 | 3.403e-07         | position
3.200e+01 | 0.000e+00 | 7.500e-01 | 1.130e-03 | 6.056e-07         | position
3.500e+01 | 0.000e+00 | 7.500e-01 | 4.650e-04 | 1.490e-07         | position
3.600e+01 | 0.000e+00 | 7.500e-01 | 3.699e-04 | 2.597e-07         | position
3.400e+01 | 0.000e+00 | 7.500e-01 | 5.971e-04 | 1.490e-07         | position
3.700e+01 | 0.000e+00 | 7.500e-01 | 1.171e-02 | 7.305e-07         | position
3.800e+01 | 0.000e+00 | 7.500e-01 | 2.805e-03 | 1.466e-07         | position
4.100e+01 | 0.000e+00 | 7.500e-01 | 1.351e-03 | 1.455e-07         | position
4.200e+01 | 0.000e+00 | 7.500e-01 | 1.366e-03 | 1.724e-07         | position
3.900e+01 | 0.000e+00 | 7.500e-01 | 1.915e-03 | 4.420e-07         | position
4.300e+01 | 0.000e+00 | 7.500e-01 | 1.245e-03 | 3.205e-07         | position
4.400e+01 | 0.000e+00 | 7.500e-01 | 1.493e-03 | 2.010e-07         | position
4.000e+01 | 0.000e+00 | 7.500e-01 | 1.604e-03 | 3.465e-07         | position
4.600e+01 | 0.000e+00 | 7.500e-01 | 1.240e-04 | 1.477e-07         | position
4.500e+01 | 0.000e+00 | 7.500e-01 | 1.641e-03 | 2.838e-07         | position
4.700e+01 | 0.000e+00 | 7.500e-01 | 2.022e-03 | 2.063e-07         | position
4.800e+01 | 0.000e+00 | 7.500e-01 | 9.625e-04 | 2.628e-07         | position
4.900e+01 | 0.000e+00 | 7.500e-01 | 1.051e-03 | 2.228e-07         | position
5.200e+01 | 0.000e+00 | 7.500e-01 | 4.022e-04 | 1.412e-07         | position
5.000e+01 | 0.000e+00 | 7.500e-01 | 6.821e-04 | 1.474e-07         | position
5.100e+01 | 0.000e+00 | 7.500e-01 | 4.997e-04 | 1.483e-07         | position
5.300e+01 | 0.000e+00 | 7.500e-01 | 3.270e-04 | 1.473e-07         | position
5.400e+01 | 0.000e+00 | 7.500e-01 | 2.704e-04 | 1.449e-07         | position

