JRD posicion - alpha=0.900 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 9.000e-01 | 4.848e-03 | 2.118e-07         | position
7.000e+00 | 1.000e+00 | 9.000e-01 | 2.614e-03 | 1.471e-07         | position
8.000e+00 | 1.000e+00 | 9.000e-01 | 1.620e-03 | 1.430e-07         | position
9.000e+00 | 1.000e+00 | 9.000e-01 | 1.096e-03 | 1.428e-07         | position
1.000e+01 | 1.000e+00 | 9.000e-01 | 7.850e-04 | 1.350e-07         | position
1.100e+01 | 1.000e+00 | 9.000e-01 | 5.874e-04 | 1.487e-07         | position
1.200e+01 | 1.000e+00 | 9.000e-01 | 6.210e-03 | 1.444e-07         | position
1.300e+01 | 1.000e+00 | 9.000e-01 | 2.306e-03 | 1.487e-07         | position
1.400e+01 | 1.000e+00 | 9.000e-01 | 1.577e-03 | 1.560e-07         | position
1.500e+01 | 1.000e+00 | 9.000e-01 | 1.141e-03 | 2.027e-07         | position
1.600e+01 | 1.000e+00 | 9.000e-01 | 8.696e-04 | 1.447e-07         | position
1.800e+01 | 1.000e+00 | 9.000e-01 | 5.618e-04 | 2.178e-07         | position
1.700e+01 | 1.000e+00 | 9.000e-01 | 6.901e-04 | 1.484e-07         | position
1.900e+01 | 1.000e+00 | 9.000e-01 | 4.672e-04 | 1.487e-07         | position
2.000e+01 | 1.000e+00 | 9.000e-01 | 2.239e-03 | 2.314e-07         | position
2.300e+01 | 1.000e+00 | 9.000e-01 | 2.652e-04 | 1.400e-07         | position
2.100e+01 | 1.000e+00 | 9.000e-01 | 1.336e-03 | 1.625e-07         | position
2.200e+01 | 1.000e+00 | 9.000e-01 | 1.057e-03 | 1.641e-07         | position
2.400e+01 | 1.000e+00 | 9.000e-01 | 2.264e-04 | 1.476e-07         | position
2.700e+01 | 1.000e+00 | 9.000e-01 | 1.536e-04 | 1.899e-07         | position
2.500e+01 | 1.000e+00 | 9.000e-01 | 6.688e-04 | 1.841e-07         | position
2.800e+01 | 1.000e+00 | 9.000e-01 | 1.369e-04 | 2.011e-07         | position
2.600e+01 | 1.000e+00 | 9.000e-01 | 5.825e-04 | 1.885e-07         | position
2.900e+01 | 1.000e+00 | 9.000e-01 | 1.227e-04 | 1.441e-07         | position
3.000e+01 | 1.000e+00 | 9.000e-01 | 4.184e-04 | 1.472e-07         | position
3.100e+01 | 1.000e+00 | 9.000e-01 | 3.465e-04 | 1.470e-07         | position
3.500e+01 | 1.000e+00 | 9.000e-01 | 2.276e-04 | 2.183e-07         | position
3.200e+01 | 1.000e+00 | 9.000e-01 | 3.363e-04 | 1.886e-07         | position
3.400e+01 | 1.000e+00 | 9.000e-01 | 2.563e-04 | 1.465e-07         | position
3.300e+01 | 1.000e+00 | 9.000e-01 | 2.933e-04 | 1.735e-07         | position
3.600e+01 | 1.000e+00 | 9.000e-01 | 2.029e-04 | 1.383e-07         | position
3.700e+01 | 1.000e+00 | 9.000e-01 | 1.822e-04 | 1.477e-07         | position
3.800e+01 | 1.000e+00 | 9.000e-01 | 7.429e-04 | 1.487e-07         | position
4.100e+01 | 1.000e+00 | 9.000e-01 | 1.477e-04 | 1.483e-07         | position
4.200e+01 | 1.000e+00 | 9.000e-01 | 1.319e-04 | 1.487e-07         | position
3.900e+01 | 1.000e+00 | 9.000e-01 | 4.247e-04 | 1.817e-07         | position
4.400e+01 | 1.000e+00 | 9.000e-01 | 1.099e-04 | 1.439e-07         | position
4.500e+01 | 1.000e+00 | 9.000e-01 | 1.011e-04 | 1.489e-07         | position
4.000e+01 | 1.000e+00 | 9.000e-01 | 3.261e-04 | 1.477e-07         | position
4.300e+01 | 1.000e+00 | 9.000e-01 | 2.284e-04 | 1.479e-07         | position
4.600e+01 | 1.000e+00 | 9.000e-01 | 9.336e-05 | 1.636e-07         | position
4.700e+01 | 1.000e+00 | 9.000e-01 | 8.658e-05 | 1.457e-07         | position
4.800e+01 | 1.000e+00 | 9.000e-01 | 1.867e-04 | 1.483e-07         | position
4.900e+01 | 1.000e+00 | 9.000e-01 | 1.671e-04 | 1.476e-07         | position
5.000e+01 | 1.000e+00 | 9.000e-01 | 1.713e-04 | 1.270e-07         | position
5.100e+01 | 1.000e+00 | 9.000e-01 | 1.571e-04 | 2.106e-07         | position
5.300e+01 | 1.000e+00 | 9.000e-01 | 1.321e-04 | 1.474e-07         | position
5.200e+01 | 1.000e+00 | 9.000e-01 | 1.433e-04 | 1.484e-07         | position
5.400e+01 | 1.000e+00 | 9.000e-01 | 1.219e-04 | 1.480e-07         | position
5.500e+01 | 1.000e+00 | 9.000e-01 | 1.127e-04 | 1.471e-07         | position

