JTD - momento alpha=2.000-cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 2.000e+00 | 6.192e-22 | 1.658e-20         | momentum
4.000e+00 | 1.000e+00 | 2.000e+00 | 7.787e-04 | 1.476e-07         | momentum
5.000e+00 | 1.000e+00 | 2.000e+00 | 1.192e-04 | 4.254e-08         | momentum
6.000e+00 | 1.000e+00 | 2.000e+00 | 1.446e-05 | 1.878e-08         | momentum
7.000e+00 | 1.000e+00 | 2.000e+00 | 2.600e-06 | 3.100e-08         | momentum
8.000e+00 | 1.000e+00 | 2.000e+00 | 6.076e-07 | 1.016e-08         | momentum
9.000e+00 | 1.000e+00 | 2.000e+00 | 1.627e-07 | 1.287e-09         | momentum
1.000e+01 | 1.000e+00 | 2.000e+00 | 5.138e-08 | 3.408e-08         | momentum
1.100e+01 | 1.000e+00 | 2.000e+00 | 1.842e-08 | 1.460e-08         | momentum
1.200e+01 | 1.000e+00 | 2.000e+00 | 1.397e-05 | 3.728e-08         | momentum
1.300e+01 | 1.000e+00 | 2.000e+00 | 1.320e-05 | 1.107e-07         | momentum
1.400e+01 | 1.000e+00 | 2.000e+00 | 4.218e-06 | 1.590e-09         | momentum
1.500e+01 | 1.000e+00 | 2.000e+00 | 1.566e-06 | 2.798e-08         | momentum
1.600e+01 | 1.000e+00 | 2.000e+00 | 6.481e-07 | 7.431e-10         | momentum
1.700e+01 | 1.000e+00 | 2.000e+00 | 2.991e-07 | 1.937e-09         | momentum
1.800e+01 | 1.000e+00 | 2.000e+00 | 1.462e-07 | 7.340e-08         | momentum
1.900e+01 | 1.000e+00 | 2.000e+00 | 7.509e-08 | 8.817e-09         | momentum
2.000e+01 | 1.000e+00 | 2.000e+00 | 6.555e-06 | 1.235e-07         | momentum
2.100e+01 | 1.000e+00 | 2.000e+00 | 3.640e-06 | 1.427e-07         | momentum
2.200e+01 | 1.000e+00 | 2.000e+00 | 2.227e-06 | 9.799e-08         | momentum
2.300e+01 | 1.000e+00 | 2.000e+00 | 6.138e-09 | 2.962e-09         | momentum
2.400e+01 | 1.000e+00 | 2.000e+00 | 3.582e-09 | 7.672e-10         | momentum
2.500e+01 | 1.000e+00 | 2.000e+00 | 6.439e-07 | 3.338e-09         | momentum
2.600e+01 | 1.000e+00 | 2.000e+00 | 4.685e-07 | 7.381e-10         | momentum
2.700e+01 | 1.000e+00 | 2.000e+00 | 8.642e-10 | 1.119e-10         | momentum
2.800e+01 | 1.000e+00 | 2.000e+00 | 5.627e-10 | 9.043e-11         | momentum
2.900e+01 | 1.000e+00 | 2.000e+00 | 3.734e-10 | 7.473e-11         | momentum
3.000e+01 | 1.000e+00 | 2.000e+00 | 1.598e-07 | 8.292e-10         | momentum
3.100e+01 | 1.000e+00 | 2.000e+00 | 3.005e-07 | 3.646e-09         | momentum
3.200e+01 | 1.000e+00 | 2.000e+00 | 1.694e-07 | 1.449e-07         | momentum
3.300e+01 | 1.000e+00 | 2.000e+00 | 1.009e-07 | 9.065e-10         | momentum
3.400e+01 | 1.000e+00 | 2.000e+00 | 6.272e-08 | 4.545e-09         | momentum
3.500e+01 | 1.000e+00 | 2.000e+00 | 4.203e-08 | 4.375e-08         | momentum
3.600e+01 | 1.000e+00 | 2.000e+00 | 2.853e-08 | 2.117e-10         | momentum
3.700e+01 | 1.000e+00 | 2.000e+00 | 1.964e-08 | 4.436e-10         | momentum
3.800e+01 | 1.000e+00 | 2.000e+00 | 7.780e-07 | 1.884e-08         | momentum
3.900e+01 | 1.000e+00 | 2.000e+00 | 1.307e-06 | 1.074e-07         | momentum
4.000e+01 | 1.000e+00 | 2.000e+00 | 2.906e-07 | 2.283e-08         | momentum
4.100e+01 | 1.000e+00 | 2.000e+00 | 4.195e-09 | 4.342e-09         | momentum
4.200e+01 | 1.000e+00 | 2.000e+00 | 2.859e-09 | 1.125e-09         | momentum
4.300e+01 | 1.000e+00 | 2.000e+00 | 1.062e-07 | 2.080e-09         | momentum
4.400e+01 | 1.000e+00 | 2.000e+00 | 1.450e-09 | 1.294e-10         | momentum
4.500e+01 | 1.000e+00 | 2.000e+00 | 1.049e-09 | 2.029e-10         | momentum
4.600e+01 | 1.000e+00 | 2.000e+00 | 7.682e-10 | 2.181e-10         | momentum
4.700e+01 | 1.000e+00 | 2.000e+00 | 5.677e-10 | 1.792e-10         | momentum
4.800e+01 | 1.000e+00 | 2.000e+00 | 4.297e-08 | 1.830e-10         | momentum
4.900e+01 | 1.000e+00 | 2.000e+00 | 9.358e-08 | 2.848e-10         | momentum
5.000e+01 | 1.000e+00 | 2.000e+00 | 6.129e-08 | 6.640e-09         | momentum
5.100e+01 | 1.000e+00 | 2.000e+00 | 4.195e-08 | 2.589e-09         | momentum
5.200e+01 | 1.000e+00 | 2.000e+00 | 2.968e-08 | 1.831e-08         | momentum
5.300e+01 | 1.000e+00 | 2.000e+00 | 2.244e-08 | 1.505e-10         | momentum
5.400e+01 | 1.000e+00 | 2.000e+00 | 1.705e-08 | 4.110e-09         | momentum
5.500e+01 | 1.000e+00 | 2.000e+00 | 1.305e-08 | 9.727e-09         | momentum

