JTD - momento alpha=2.250-ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JTD       | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.250e+00 | 4.517e-06 | 3.709e-08         | momentum
7.000e+00 | -1.000e+00 | 2.250e+00 | 5.751e-07 | 2.102e-10         | momentum
8.000e+00 | -1.000e+00 | 2.250e+00 | 1.026e-07 | 1.157e-11         | momentum
9.000e+00 | -1.000e+00 | 2.250e+00 | 2.325e-08 | 6.513e-11         | momentum
1.100e+01 | -1.000e+00 | 2.250e+00 | 1.606e-02 | 1.341e-07         | momentum
1.300e+01 | -1.000e+00 | 2.250e+00 | 3.347e-05 | 1.430e-07         | momentum
1.400e+01 | -1.000e+00 | 2.250e+00 | 4.736e-06 | 1.115e-07         | momentum
1.500e+01 | -1.000e+00 | 2.250e+00 | 1.281e-06 | 2.067e-09         | momentum
1.600e+01 | -1.000e+00 | 2.250e+00 | 3.950e-07 | 7.019e-08         | momentum
1.700e+01 | -1.000e+00 | 2.250e+00 | 1.375e-07 | 8.018e-11         | momentum
1.900e+01 | -1.000e+00 | 2.250e+00 | 6.366e-03 | 1.489e-07         | momentum
2.100e+01 | -1.000e+00 | 2.250e+00 | 7.546e-04 | 1.360e-07         | momentum
2.200e+01 | -1.000e+00 | 2.250e+00 | 5.573e-04 | 1.426e-07         | momentum
2.300e+01 | -1.000e+00 | 2.250e+00 | 3.871e-04 | 1.355e-07         | momentum
2.400e+01 | -1.000e+00 | 2.250e+00 | 2.830e-04 | 1.332e-07         | momentum
2.500e+01 | -1.000e+00 | 2.250e+00 | 1.720e-04 | 1.189e-07         | momentum
2.600e+01 | -1.000e+00 | 2.250e+00 | 1.148e-04 | 1.242e-07         | momentum
2.700e+01 | -1.000e+00 | 2.250e+00 | 7.932e-05 | 1.233e-07         | momentum
2.800e+01 | -1.000e+00 | 2.250e+00 | 5.628e-05 | 1.446e-07         | momentum
2.900e+01 | -1.000e+00 | 2.250e+00 | 4.179e-05 | 1.467e-07         | momentum
3.100e+01 | -1.000e+00 | 2.250e+00 | 9.466e-07 | 2.788e-08         | momentum
3.200e+01 | -1.000e+00 | 2.250e+00 | 2.175e-07 | 1.036e-08         | momentum
3.300e+01 | -1.000e+00 | 2.250e+00 | 9.661e-08 | 7.693e-10         | momentum
3.400e+01 | -1.000e+00 | 2.250e+00 | 4.554e-08 | 2.666e-08         | momentum
3.500e+01 | -1.000e+00 | 2.250e+00 | 2.299e-08 | 3.811e-11         | momentum
3.700e+01 | -1.000e+00 | 2.250e+00 | 5.612e-04 | 1.457e-07         | momentum
3.900e+01 | -1.000e+00 | 2.250e+00 | 1.428e-05 | 1.122e-07         | momentum
4.000e+01 | -1.000e+00 | 2.250e+00 | 3.942e-05 | 1.196e-07         | momentum
4.100e+01 | -1.000e+00 | 2.250e+00 | 3.162e-05 | 1.313e-07         | momentum
4.200e+01 | -1.000e+00 | 2.250e+00 | 2.679e-05 | 1.479e-07         | momentum
4.300e+01 | -1.000e+00 | 2.250e+00 | 1.859e-05 | 1.410e-07         | momentum
4.400e+01 | -1.000e+00 | 2.250e+00 | 1.430e-05 | 1.235e-07         | momentum
4.500e+01 | -1.000e+00 | 2.250e+00 | 1.142e-05 | 1.434e-07         | momentum
4.600e+01 | -1.000e+00 | 2.250e+00 | 9.362e-06 | 1.313e-07         | momentum
4.700e+01 | -1.000e+00 | 2.250e+00 | 7.985e-06 | 1.197e-07         | momentum
4.900e+01 | -1.000e+00 | 2.250e+00 | 2.431e-07 | 5.178e-08         | momentum
5.000e+01 | -1.000e+00 | 2.250e+00 | 7.701e-08 | 6.824e-09         | momentum
5.100e+01 | -1.000e+00 | 2.250e+00 | 4.101e-08 | 9.349e-10         | momentum
5.200e+01 | -1.000e+00 | 2.250e+00 | 2.276e-08 | 1.828e-10         | momentum
5.300e+01 | -1.000e+00 | 2.250e+00 | 1.331e-08 | 2.957e-08         | momentum

