JTD - momento alpha=3.000-neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 3.000e+00 | 3.736e-02 | 1.463e-07         | momentum
4.000e+00 | 0.000e+00 | 3.000e+00 | 1.015e-03 | 1.273e-07         | momentum
5.000e+00 | 0.000e+00 | 3.000e+00 | 1.065e-05 | 5.300e-08         | momentum
6.000e+00 | 0.000e+00 | 3.000e+00 | 3.289e-07 | 2.659e-09         | momentum
7.000e+00 | 0.000e+00 | 3.000e+00 | 1.922e-08 | 3.735e-11         | momentum
8.000e+00 | 0.000e+00 | 3.000e+00 | 1.686e-09 | 1.002e-10         | momentum
9.000e+00 | 0.000e+00 | 3.000e+00 | 2.070e-10 | 1.862e-10         | momentum
1.000e+01 | 0.000e+00 | 3.000e+00 | 3.259e-11 | 2.350e-13         | momentum
1.100e+01 | 0.000e+00 | 3.000e+00 | 3.609e-05 | 8.353e-08         | momentum
1.200e+01 | 0.000e+00 | 3.000e+00 | 1.977e-05 | 1.016e-07         | momentum
1.300e+01 | 0.000e+00 | 3.000e+00 | 1.315e-06 | 1.415e-07         | momentum
1.400e+01 | 0.000e+00 | 3.000e+00 | 1.495e-07 | 3.394e-09         | momentum
1.500e+01 | 0.000e+00 | 3.000e+00 | 2.383e-08 | 6.334e-10         | momentum
1.600e+01 | 0.000e+00 | 3.000e+00 | 5.343e-09 | 1.124e-09         | momentum
1.700e+01 | 0.000e+00 | 3.000e+00 | 1.358e-09 | 5.705e-12         | momentum
1.800e+01 | 0.000e+00 | 3.000e+00 | 3.842e-10 | 1.609e-12         | momentum
1.900e+01 | 0.000e+00 | 3.000e+00 | 1.384e-05 | 1.270e-07         | momentum
2.000e+01 | 0.000e+00 | 3.000e+00 | 1.471e-05 | 7.370e-08         | momentum
2.100e+01 | 0.000e+00 | 3.000e+00 | 5.461e-06 | 1.437e-07         | momentum
2.200e+01 | 0.000e+00 | 3.000e+00 | 2.505e-06 | 1.454e-07         | momentum
2.300e+01 | 0.000e+00 | 3.000e+00 | 1.238e-06 | 1.176e-07         | momentum
2.400e+01 | 0.000e+00 | 3.000e+00 | 6.260e-08 | 8.813e-09         | momentum
2.500e+01 | 0.000e+00 | 3.000e+00 | 3.596e-07 | 1.478e-07         | momentum
2.600e+01 | 0.000e+00 | 3.000e+00 | 1.902e-07 | 1.054e-07         | momentum
2.700e+01 | 0.000e+00 | 3.000e+00 | 1.069e-07 | 4.827e-08         | momentum
2.800e+01 | 0.000e+00 | 3.000e+00 | 6.213e-08 | 2.109e-08         | momentum
2.900e+01 | 0.000e+00 | 3.000e+00 | 7.593e-09 | 3.872e-09         | momentum
3.000e+01 | 0.000e+00 | 3.000e+00 | 2.313e-08 | 3.684e-09         | momentum
3.100e+01 | 0.000e+00 | 3.000e+00 | 5.362e-09 | 5.870e-09         | momentum
3.200e+01 | 0.000e+00 | 3.000e+00 | 1.489e-09 | 5.254e-11         | momentum
3.300e+01 | 0.000e+00 | 3.000e+00 | 4.906e-10 | 1.602e-10         | momentum
3.400e+01 | 0.000e+00 | 3.000e+00 | 2.114e-10 | 8.629e-11         | momentum
3.500e+01 | 0.000e+00 | 3.000e+00 | 9.412e-11 | 4.944e-12         | momentum
3.600e+01 | 0.000e+00 | 3.000e+00 | 4.359e-11 | 2.682e-13         | momentum
3.700e+01 | 0.000e+00 | 3.000e+00 | 5.497e-07 | 1.387e-07         | momentum
3.800e+01 | 0.000e+00 | 3.000e+00 | 8.638e-07 | 1.449e-07         | momentum
3.900e+01 | 0.000e+00 | 3.000e+00 | 3.119e-07 | 1.336e-07         | momentum
4.000e+01 | 0.000e+00 | 3.000e+00 | 1.546e-07 | 1.087e-07         | momentum
4.100e+01 | 0.000e+00 | 3.000e+00 | 5.267e-09 | 1.401e-09         | momentum
4.200e+01 | 0.000e+00 | 3.000e+00 | 3.069e-09 | 7.332e-09         | momentum
4.300e+01 | 0.000e+00 | 3.000e+00 | 3.246e-08 | 1.032e-08         | momentum
4.400e+01 | 0.000e+00 | 3.000e+00 | 1.835e-09 | 1.666e-10         | momentum
4.500e+01 | 0.000e+00 | 3.000e+00 | 1.510e-09 | 1.396e-10         | momentum
4.600e+01 | 0.000e+00 | 3.000e+00 | 6.514e-14 | 5.348e-14         | momentum
4.700e+01 | 0.000e+00 | 3.000e+00 | 1.080e-09 | 9.592e-11         | momentum
4.800e+01 | 0.000e+00 | 3.000e+00 | 4.228e-09 | 2.023e-09         | momentum
4.900e+01 | 0.000e+00 | 3.000e+00 | 1.278e-09 | 3.283e-10         | momentum
5.000e+01 | 0.000e+00 | 3.000e+00 | 4.623e-10 | 2.041e-11         | momentum
5.100e+01 | 0.000e+00 | 3.000e+00 | 1.934e-10 | 1.096e-11         | momentum
5.200e+01 | 0.000e+00 | 3.000e+00 | 1.028e-10 | 1.185e-11         | momentum
5.300e+01 | 0.000e+00 | 3.000e+00 | 5.569e-11 | 1.214e-11         | momentum
5.400e+01 | 0.000e+00 | 3.000e+00 | 3.095e-11 | 9.014e-12         | momentum

