JTD - posicion alpha=2.000-neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.000e+00 | 1.898e-03 | 1.450e-07         | position
4.000e+00 | 0.000e+00 | 2.000e+00 | 7.573e-03 | 1.482e-07         | position
5.000e+00 | 0.000e+00 | 2.000e+00 | 1.674e-02 | 1.370e-07         | position
6.000e+00 | 0.000e+00 | 2.000e+00 | 2.939e-02 | 1.413e-07         | position
7.000e+00 | 0.000e+00 | 2.000e+00 | 4.548e-02 | 1.155e-07         | position
8.000e+00 | 0.000e+00 | 2.000e+00 | 6.519e-02 | 1.481e-07         | position
9.000e+00 | 0.000e+00 | 2.000e+00 | 8.834e-02 | 1.380e-07         | position
1.000e+01 | 0.000e+00 | 2.000e+00 | 1.149e-01 | 1.007e-07         | position
1.100e+01 | 0.000e+00 | 2.000e+00 | 1.468e-01 | 1.416e-07         | position
1.200e+01 | 0.000e+00 | 2.000e+00 | 1.837e-01 | 1.479e-07         | position
1.300e+01 | 0.000e+00 | 2.000e+00 | 2.249e-01 | 1.419e-07         | position
1.400e+01 | 0.000e+00 | 2.000e+00 | 2.705e-01 | 1.438e-07         | position
1.500e+01 | 0.000e+00 | 2.000e+00 | 3.205e-01 | 6.584e-07         | position
1.600e+01 | 0.000e+00 | 2.000e+00 | 3.750e-01 | 1.477e-07         | position
1.700e+01 | 0.000e+00 | 2.000e+00 | 4.340e-01 | 6.616e-07         | position
1.800e+01 | 0.000e+00 | 2.000e+00 | 4.974e-01 | 9.140e-07         | position
1.900e+01 | 0.000e+00 | 2.000e+00 | 5.665e-01 | 1.466e-07         | position
2.000e+01 | 0.000e+00 | 2.000e+00 | 6.411e-01 | 2.785e-07         | position
2.100e+01 | 0.000e+00 | 2.000e+00 | 7.193e-01 | 1.446e-07         | position
2.200e+01 | 0.000e+00 | 2.000e+00 | 8.020e-01 | 1.369e-07         | position
2.300e+01 | 0.000e+00 | 2.000e+00 | 8.893e-01 | 1.734e-06         | position
2.400e+01 | 0.000e+00 | 2.000e+00 | 9.799e-01 | 5.569e-07         | position
2.500e+01 | 0.000e+00 | 2.000e+00 | 1.078e+00 | 1.149e-06         | position
2.600e+01 | 0.000e+00 | 2.000e+00 | 1.179e+00 | 3.070e-06         | position
2.700e+01 | 0.000e+00 | 2.000e+00 | 1.285e+00 | 2.287e-07         | position
2.800e+01 | 0.000e+00 | 2.000e+00 | 1.395e+00 | 2.164e-07         | position
2.900e+01 | 0.000e+00 | 2.000e+00 | 1.508e+00 | 1.768e-07         | position
3.000e+01 | 0.000e+00 | 2.000e+00 | 1.630e+00 | 1.420e-07         | position
3.100e+01 | 0.000e+00 | 2.000e+00 | 1.756e+00 | 1.805e-07         | position
3.200e+01 | 0.000e+00 | 2.000e+00 | 1.887e+00 | 3.091e-07         | position
3.300e+01 | 0.000e+00 | 2.000e+00 | 2.023e+00 | 1.317e-07         | position
3.400e+01 | 0.000e+00 | 2.000e+00 | 2.165e+00 | 1.669e-06         | position
3.500e+01 | 0.000e+00 | 2.000e+00 | 2.311e+00 | 3.179e-06         | position
3.600e+01 | 0.000e+00 | 2.000e+00 | 2.461e+00 | 1.730e-06         | position
3.700e+01 | 0.000e+00 | 2.000e+00 | 2.619e+00 | 1.300e-06         | position
3.800e+01 | 0.000e+00 | 2.000e+00 | 2.781e+00 | 1.191e-05         | position
3.900e+01 | 0.000e+00 | 2.000e+00 | 2.948e+00 | 7.249e-06         | position
4.000e+01 | 0.000e+00 | 2.000e+00 | 3.120e+00 | 1.463e-06         | position
4.100e+01 | 0.000e+00 | 2.000e+00 | 3.296e+00 | 8.735e-07         | position
4.200e+01 | 0.000e+00 | 2.000e+00 | 3.477e+00 | 2.485e-06         | position
4.300e+01 | 0.000e+00 | 2.000e+00 | 3.665e+00 | 4.641e-06         | position
4.400e+01 | 0.000e+00 | 2.000e+00 | 3.855e+00 | 4.559e-06         | position
4.500e+01 | 0.000e+00 | 2.000e+00 | 4.052e+00 | 5.211e-06         | position
4.600e+01 | 0.000e+00 | 2.000e+00 | 4.252e+00 | 6.115e-06         | position
4.700e+01 | 0.000e+00 | 2.000e+00 | 4.460e+00 | 8.764e-06         | position
4.800e+01 | 0.000e+00 | 2.000e+00 | 4.673e+00 | 1.333e-05         | position
4.900e+01 | 0.000e+00 | 2.000e+00 | 4.892e+00 | 2.157e-05         | position
5.000e+01 | 0.000e+00 | 2.000e+00 | 5.115e+00 | 3.436e-05         | position
5.100e+01 | 0.000e+00 | 2.000e+00 | 5.343e+00 | 4.501e-06         | position
5.200e+01 | 0.000e+00 | 2.000e+00 | 5.577e+00 | 6.055e-06         | position
5.300e+01 | 0.000e+00 | 2.000e+00 | 5.816e+00 | 2.970e-06         | position
5.400e+01 | 0.000e+00 | 2.000e+00 | 6.060e+00 | 2.215e-06         | position

