JTD - posicion alpha=2.250-cat
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD        | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 2.250e+00 | -1.156e-17 | 2.628e-16         | position
4.000e+00 | 1.000e+00 | 2.250e+00 | 2.358e-02  | 1.340e-07         | position
5.000e+00 | 1.000e+00 | 2.250e+00 | 7.473e-02  | 1.488e-07         | position
6.000e+00 | 1.000e+00 | 2.250e+00 | 1.460e-01  | 1.260e-07         | position
7.000e+00 | 1.000e+00 | 2.250e+00 | 2.443e-01  | 1.411e-07         | position
8.000e+00 | 1.000e+00 | 2.250e+00 | 3.745e-01  | 1.214e-07         | position
9.000e+00 | 1.000e+00 | 2.250e+00 | 5.423e-01  | 1.435e-07         | position
1.000e+01 | 1.000e+00 | 2.250e+00 | 7.517e-01  | 1.358e-07         | position
1.100e+01 | 1.000e+00 | 2.250e+00 | 1.007e+00  | 2.783e-07         | position
1.200e+01 | 1.000e+00 | 2.250e+00 | 1.340e+00  | 6.947e-07         | position
1.300e+01 | 1.000e+00 | 2.250e+00 | 1.748e+00  | 1.951e-06         | position
1.400e+01 | 1.000e+00 | 2.250e+00 | 2.222e+00  | 4.220e-06         | position
1.500e+01 | 1.000e+00 | 2.250e+00 | 2.776e+00  | 1.475e-07         | position
1.600e+01 | 1.000e+00 | 2.250e+00 | 3.415e+00  | 3.675e-06         | position
1.700e+01 | 1.000e+00 | 2.250e+00 | 4.148e+00  | 1.110e-05         | position
1.800e+01 | 1.000e+00 | 2.250e+00 | 4.978e+00  | 1.324e-05         | position
1.900e+01 | 1.000e+00 | 2.250e+00 | 5.914e+00  | 2.431e-06         | position
2.000e+01 | 1.000e+00 | 2.250e+00 | 6.986e+00  | 1.301e-05         | position
2.100e+01 | 1.000e+00 | 2.250e+00 | 8.165e+00  | 1.347e-05         | position
2.200e+01 | 1.000e+00 | 2.250e+00 | 9.469e+00  | 1.144e-05         | position
2.300e+01 | 1.000e+00 | 2.250e+00 | 1.088e+01  | 2.137e-05         | position
2.400e+01 | 1.000e+00 | 2.250e+00 | 1.245e+01  | 8.973e-07         | position
2.500e+01 | 1.000e+00 | 2.250e+00 | 1.420e+01  | 2.877e-06         | position
2.600e+01 | 1.000e+00 | 2.250e+00 | 1.607e+01  | 2.403e-06         | position
2.700e+01 | 1.000e+00 | 2.250e+00 | 1.806e+01  | 1.226e-06         | position
2.800e+01 | 1.000e+00 | 2.250e+00 | 2.025e+01  | 9.093e-07         | position
2.900e+01 | 1.000e+00 | 2.250e+00 | 2.261e+01  | 7.616e-07         | position
3.000e+01 | 1.000e+00 | 2.250e+00 | 2.519e+01  | 1.008e-06         | position
3.100e+01 | 1.000e+00 | 2.250e+00 | 2.797e+01  | 1.710e-06         | position
3.200e+01 | 1.000e+00 | 2.250e+00 | 3.093e+01  | 2.908e-06         | position
3.300e+01 | 1.000e+00 | 2.250e+00 | 3.410e+01  | 5.714e-06         | position
3.400e+01 | 1.000e+00 | 2.250e+00 | 3.747e+01  | 1.034e-05         | position
3.500e+01 | 1.000e+00 | 2.250e+00 | 4.107e+01  | 7.744e-06         | position
3.600e+01 | 1.000e+00 | 2.250e+00 | 4.490e+01  | 7.463e-06         | position
3.700e+01 | 1.000e+00 | 2.250e+00 | 4.895e+01  | 2.307e-05         | position
3.800e+01 | 1.000e+00 | 2.250e+00 | 5.329e+01  | 3.881e-05         | position
3.900e+01 | 1.000e+00 | 2.250e+00 | 5.790e+01  | 2.875e-05         | position
4.000e+01 | 1.000e+00 | 2.250e+00 | 6.268e+01  | 5.386e-05         | position
4.100e+01 | 1.000e+00 | 2.250e+00 | 6.773e+01  | 8.554e-05         | position
4.200e+01 | 1.000e+00 | 2.250e+00 | 7.307e+01  | 1.508e-04         | position
4.300e+01 | 1.000e+00 | 2.250e+00 | 7.875e+01  | 2.749e-04         | position
4.400e+01 | 1.000e+00 | 2.250e+00 | 8.461e+01  | 4.263e-04         | position
4.500e+01 | 1.000e+00 | 2.250e+00 | 9.081e+01  | 6.796e-04         | position
4.600e+01 | 1.000e+00 | 2.250e+00 | 9.731e+01  | 4.878e-06         | position
4.700e+01 | 1.000e+00 | 2.250e+00 | 1.041e+02  | 4.934e-06         | position
4.800e+01 | 1.000e+00 | 2.250e+00 | 1.113e+02  | 7.933e-06         | position
4.900e+01 | 1.000e+00 | 2.250e+00 | 1.188e+02  | 1.160e-05         | position
5.000e+01 | 1.000e+00 | 2.250e+00 | 1.266e+02  | 1.393e-05         | position
5.100e+01 | 1.000e+00 | 2.250e+00 | 1.348e+02  | 1.436e-05         | position
5.200e+01 | 1.000e+00 | 2.250e+00 | 1.433e+02  | 1.073e-05         | position
5.300e+01 | 1.000e+00 | 2.250e+00 | 1.522e+02  | 1.285e-05         | position
5.400e+01 | 1.000e+00 | 2.250e+00 | 1.614e+02  | 3.367e-05         | position
5.500e+01 | 1.000e+00 | 2.250e+00 | 1.710e+02  | 5.606e-05         | position

