JTD - posicion alpha=2.750-ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JTD       | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | -1.000e+00 | 2.750e+00 | 1.136e-03 | 1.026e-07         | position
5.000e+00 | -1.000e+00 | 2.750e+00 | 6.264e-02 | 1.399e-07         | position
6.000e+00 | -1.000e+00 | 2.750e+00 | 2.206e-01 | 1.429e-07         | position
6.000e+00 | -1.000e+00 | 2.750e+00 | 2.206e-01 | 1.429e-07         | position
7.000e+00 | -1.000e+00 | 2.750e+00 | 6.150e-01 | 3.536e-07         | position
8.000e+00 | -1.000e+00 | 2.750e+00 | 1.449e+00 | 2.557e-07         | position
9.000e+00 | -1.000e+00 | 2.750e+00 | 3.023e+00 | 2.203e-07         | position
1.100e+01 | -1.000e+00 | 2.750e+00 | 1.052e+01 | 3.312e-07         | position
1.300e+01 | -1.000e+00 | 2.750e+00 | 2.939e+01 | 3.179e-07         | position
1.400e+01 | -1.000e+00 | 2.750e+00 | 4.596e+01 | 7.317e-07         | position
1.500e+01 | -1.000e+00 | 2.750e+00 | 6.944e+01 | 6.047e-06         | position
1.600e+01 | -1.000e+00 | 2.750e+00 | 1.018e+02 | 1.058e-05         | position
1.700e+01 | -1.000e+00 | 2.750e+00 | 1.454e+02 | 4.366e-05         | position
1.900e+01 | -1.000e+00 | 2.750e+00 | 2.789e+02 | 8.628e-04         | position
2.100e+01 | -1.000e+00 | 2.750e+00 | 4.973e+02 | 4.817e-05         | position
2.200e+01 | -1.000e+00 | 2.750e+00 | 6.487e+02 | 5.218e-05         | position
2.300e+01 | -1.000e+00 | 2.750e+00 | 8.351e+02 | 4.771e-05         | position
2.400e+01 | -1.000e+00 | 2.750e+00 | 1.062e+03 | 3.629e-05         | position
2.500e+01 | -1.000e+00 | 2.750e+00 | 1.337e+03 | 2.802e-05         | position
2.600e+01 | -1.000e+00 | 2.750e+00 | 1.666e+03 | 3.160e-05         | position
2.700e+01 | -1.000e+00 | 2.750e+00 | 2.056e+03 | 6.411e-05         | position
2.800e+01 | -1.000e+00 | 2.750e+00 | 2.518e+03 | 1.383e-04         | position
2.900e+01 | -1.000e+00 | 2.750e+00 | 3.058e+03 | 2.906e-04         | position
3.100e+01 | -1.000e+00 | 2.750e+00 | 4.434e+03 | 1.287e-03         | position
3.200e+01 | -1.000e+00 | 2.750e+00 | 5.287e+03 | 2.658e-03         | position
3.300e+01 | -1.000e+00 | 2.750e+00 | 6.269e+03 | 6.192e-03         | position
3.400e+01 | -1.000e+00 | 2.750e+00 | 7.393e+03 | 1.281e-02         | position
3.500e+01 | -1.000e+00 | 2.750e+00 | 8.675e+03 | 2.614e-02         | position
3.700e+01 | -1.000e+00 | 2.750e+00 | 1.179e+04 | 3.500e-04         | position
3.900e+01 | -1.000e+00 | 2.750e+00 | 1.575e+04 | 1.460e-03         | position
4.000e+01 | -1.000e+00 | 2.750e+00 | 1.808e+04 | 2.445e-03         | position
4.100e+01 | -1.000e+00 | 2.750e+00 | 2.070e+04 | 3.590e-03         | position
4.200e+01 | -1.000e+00 | 2.750e+00 | 2.360e+04 | 4.632e-03         | position
4.300e+01 | -1.000e+00 | 2.750e+00 | 2.683e+04 | 5.293e-03         | position
4.400e+01 | -1.000e+00 | 2.750e+00 | 3.040e+04 | 5.382e-03         | position
4.500e+01 | -1.000e+00 | 2.750e+00 | 3.435e+04 | 5.179e-03         | position
4.600e+01 | -1.000e+00 | 2.750e+00 | 3.869e+04 | 4.714e-03         | position
4.700e+01 | -1.000e+00 | 2.750e+00 | 4.347e+04 | 4.157e-03         | position
4.900e+01 | -1.000e+00 | 2.750e+00 | 5.449e+04 | 3.655e-03         | position
5.000e+01 | -1.000e+00 | 2.750e+00 | 6.079e+04 | 3.859e-03         | position
5.100e+01 | -1.000e+00 | 2.750e+00 | 6.767e+04 | 4.450e-03         | position
5.200e+01 | -1.000e+00 | 2.750e+00 | 7.515e+04 | 5.480e-03         | position
5.300e+01 | -1.000e+00 | 2.750e+00 | 8.329e+04 | 7.103e-03         | position

