QSIa momento - alpha=0.750 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | QSI_alpha | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 7.500e-01 | 9.952e-01 | 4.546e-07         | momentum
7.000e+00 | -1.000e+00 | 7.500e-01 | 9.960e-01 | 3.542e-07         | momentum
8.000e+00 | -1.000e+00 | 7.500e-01 | 9.966e-01 | 1.300e-07         | momentum
9.000e+00 | -1.000e+00 | 7.500e-01 | 9.971e-01 | 6.527e-07         | momentum
1.100e+01 | -1.000e+00 | 7.500e-01 | 9.976e-01 | 4.018e-06         | momentum
1.300e+01 | -1.000e+00 | 7.500e-01 | 9.980e-01 | 1.839e-07         | momentum
1.400e+01 | -1.000e+00 | 7.500e-01 | 9.981e-01 | 3.228e-06         | momentum
1.500e+01 | -1.000e+00 | 7.500e-01 | 9.982e-01 | 7.590e-06         | momentum
1.600e+01 | -1.000e+00 | 7.500e-01 | 9.983e-01 | 7.420e-07         | momentum
1.700e+01 | -1.000e+00 | 7.500e-01 | 9.984e-01 | 1.005e-05         | momentum
1.900e+01 | -1.000e+00 | 7.500e-01 | 9.986e-01 | 5.408e-07         | momentum
2.100e+01 | -1.000e+00 | 7.500e-01 | 9.987e-01 | 1.048e-06         | momentum
2.200e+01 | -1.000e+00 | 7.500e-01 | 9.988e-01 | 1.921e-06         | momentum
2.300e+01 | -1.000e+00 | 7.500e-01 | 9.988e-01 | 3.540e-06         | momentum
2.400e+01 | -1.000e+00 | 7.500e-01 | 9.989e-01 | 2.226e-06         | momentum
2.500e+01 | -1.000e+00 | 7.500e-01 | 9.989e-01 | 1.163e-06         | momentum
2.600e+01 | -1.000e+00 | 7.500e-01 | 9.990e-01 | 3.395e-06         | momentum
2.700e+01 | -1.000e+00 | 7.500e-01 | 9.990e-01 | 5.043e-06         | momentum
2.800e+01 | -1.000e+00 | 7.500e-01 | 9.990e-01 | 1.641e-05         | momentum
2.900e+01 | -1.000e+00 | 7.500e-01 | 9.991e-01 | 1.140e-05         | momentum
3.100e+01 | -1.000e+00 | 7.500e-01 | 9.991e-01 | 1.157e-05         | momentum
3.200e+01 | -1.000e+00 | 7.500e-01 | 9.992e-01 | 1.134e-05         | momentum
3.300e+01 | -1.000e+00 | 7.500e-01 | 9.992e-01 | 6.594e-06         | momentum
3.400e+01 | -1.000e+00 | 7.500e-01 | 9.992e-01 | 1.579e-05         | momentum
3.500e+01 | -1.000e+00 | 7.500e-01 | 9.992e-01 | 2.156e-05         | momentum
3.700e+01 | -1.000e+00 | 7.500e-01 | 9.993e-01 | 4.031e-07         | momentum
3.900e+01 | -1.000e+00 | 7.500e-01 | 9.993e-01 | 1.517e-06         | momentum
4.000e+01 | -1.000e+00 | 7.500e-01 | 9.993e-01 | 3.639e-06         | momentum
4.100e+01 | -1.000e+00 | 7.500e-01 | 9.993e-01 | 1.912e-05         | momentum
4.200e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 1.503e-05         | momentum
4.300e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 4.792e-06         | momentum
4.400e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 2.950e-06         | momentum
4.500e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 2.446e-06         | momentum
4.600e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 1.857e-06         | momentum
4.700e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 2.338e-06         | momentum
4.900e+01 | -1.000e+00 | 7.500e-01 | 9.994e-01 | 2.955e-06         | momentum
5.000e+01 | -1.000e+00 | 7.500e-01 | 9.995e-01 | 3.057e-05         | momentum
5.100e+01 | -1.000e+00 | 7.500e-01 | 9.995e-01 | 7.473e-06         | momentum
5.200e+01 | -1.000e+00 | 7.500e-01 | 9.995e-01 | 1.106e-05         | momentum
5.300e+01 | -1.000e+00 | 7.500e-01 | 9.995e-01 | 1.323e-05         | momentum

