QSIa momento - alpha=1.500 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 1.500e+00 | 9.924e-01 | 1.477e-07         | momentum
7.000e+00 | 1.000e+00 | 1.500e+00 | 9.961e-01 | 1.367e-07         | momentum
8.000e+00 | 1.000e+00 | 1.500e+00 | 9.978e-01 | 1.433e-07         | momentum
9.000e+00 | 1.000e+00 | 1.500e+00 | 9.988e-01 | 1.475e-07         | momentum
1.000e+01 | 1.000e+00 | 1.500e+00 | 9.993e-01 | 1.485e-07         | momentum
1.100e+01 | 1.000e+00 | 1.500e+00 | 9.995e-01 | 1.399e-07         | momentum
1.200e+01 | 1.000e+00 | 1.500e+00 | 9.494e-01 | 1.472e-07         | momentum
1.300e+01 | 1.000e+00 | 1.500e+00 | 9.779e-01 | 1.468e-07         | momentum
1.400e+01 | 1.000e+00 | 1.500e+00 | 9.902e-01 | 1.482e-07         | momentum
1.500e+01 | 1.000e+00 | 1.500e+00 | 9.948e-01 | 1.473e-07         | momentum
1.600e+01 | 1.000e+00 | 1.500e+00 | 9.970e-01 | 1.405e-07         | momentum
1.700e+01 | 1.000e+00 | 1.500e+00 | 9.981e-01 | 1.490e-07         | momentum
1.800e+01 | 1.000e+00 | 1.500e+00 | 9.988e-01 | 1.423e-07         | momentum
1.900e+01 | 1.000e+00 | 1.500e+00 | 9.991e-01 | 1.480e-07         | momentum
2.000e+01 | 1.000e+00 | 1.500e+00 | 9.811e-01 | 1.478e-07         | momentum
2.100e+01 | 1.000e+00 | 1.500e+00 | 9.840e-01 | 1.472e-07         | momentum
2.200e+01 | 1.000e+00 | 1.500e+00 | 9.857e-01 | 1.461e-07         | momentum
2.300e+01 | 1.000e+00 | 1.500e+00 | 9.997e-01 | 1.488e-07         | momentum
2.400e+01 | 1.000e+00 | 1.500e+00 | 9.998e-01 | 1.475e-07         | momentum
2.500e+01 | 1.000e+00 | 1.500e+00 | 9.890e-01 | 1.473e-07         | momentum
2.600e+01 | 1.000e+00 | 1.500e+00 | 9.896e-01 | 1.480e-07         | momentum
2.700e+01 | 1.000e+00 | 1.500e+00 | 9.999e-01 | 1.429e-07         | momentum
2.800e+01 | 1.000e+00 | 1.500e+00 | 9.999e-01 | 1.398e-07         | momentum
2.900e+01 | 1.000e+00 | 1.500e+00 | 9.999e-01 | 1.470e-07         | momentum
3.000e+01 | 1.000e+00 | 1.500e+00 | 9.910e-01 | 1.468e-07         | momentum
3.100e+01 | 1.000e+00 | 1.500e+00 | 9.919e-01 | 1.482e-07         | momentum
3.200e+01 | 1.000e+00 | 1.500e+00 | 9.949e-01 | 1.487e-07         | momentum
3.300e+01 | 1.000e+00 | 1.500e+00 | 9.966e-01 | 1.447e-07         | momentum
3.400e+01 | 1.000e+00 | 1.500e+00 | 9.976e-01 | 1.488e-07         | momentum
3.500e+01 | 1.000e+00 | 1.500e+00 | 9.982e-01 | 1.466e-07         | momentum
3.600e+01 | 1.000e+00 | 1.500e+00 | 9.986e-01 | 1.417e-07         | momentum
3.700e+01 | 1.000e+00 | 1.500e+00 | 9.990e-01 | 1.392e-07         | momentum
3.800e+01 | 1.000e+00 | 1.500e+00 | 9.901e-01 | 1.476e-07         | momentum
3.900e+01 | 1.000e+00 | 1.500e+00 | 9.913e-01 | 1.392e-07         | momentum
4.000e+01 | 1.000e+00 | 1.500e+00 | 9.936e-01 | 1.488e-07         | momentum
4.100e+01 | 1.000e+00 | 1.500e+00 | 9.996e-01 | 1.451e-07         | momentum
4.200e+01 | 1.000e+00 | 1.500e+00 | 9.997e-01 | 1.490e-07         | momentum
4.300e+01 | 1.000e+00 | 1.500e+00 | 9.955e-01 | 1.489e-07         | momentum
4.400e+01 | 1.000e+00 | 1.500e+00 | 9.997e-01 | 1.486e-07         | momentum
4.500e+01 | 1.000e+00 | 1.500e+00 | 9.998e-01 | 1.482e-07         | momentum
4.600e+01 | 1.000e+00 | 1.500e+00 | 9.998e-01 | 1.470e-07         | momentum
4.700e+01 | 1.000e+00 | 1.500e+00 | 9.998e-01 | 1.486e-07         | momentum
4.800e+01 | 1.000e+00 | 1.500e+00 | 9.962e-01 | 1.490e-07         | momentum
4.900e+01 | 1.000e+00 | 1.500e+00 | 9.958e-01 | 1.478e-07         | momentum
5.000e+01 | 1.000e+00 | 1.500e+00 | 9.971e-01 | 1.465e-07         | momentum
5.100e+01 | 1.000e+00 | 1.500e+00 | 9.978e-01 | 1.489e-07         | momentum
5.200e+01 | 1.000e+00 | 1.500e+00 | 9.983e-01 | 1.488e-07         | momentum
5.300e+01 | 1.000e+00 | 1.500e+00 | 9.987e-01 | 1.479e-07         | momentum
5.400e+01 | 1.000e+00 | 1.500e+00 | 9.989e-01 | 1.482e-07         | momentum
5.500e+01 | 1.000e+00 | 1.500e+00 | 9.991e-01 | 1.489e-07         | momentum

