QSIa posicion - alpha=0.750 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 7.500e-01 | 7.854e-01 | 1.079e-06         | position
4.000e+00 | 0.000e+00 | 7.500e-01 | 9.931e-01 | 4.870e-07         | position
5.000e+00 | 0.000e+00 | 7.500e-01 | 9.978e-01 | 9.852e-07         | position
6.000e+00 | 0.000e+00 | 7.500e-01 | 9.990e-01 | 1.105e-06         | position
7.000e+00 | 0.000e+00 | 7.500e-01 | 9.995e-01 | 4.074e-07         | position
8.000e+00 | 0.000e+00 | 7.500e-01 | 9.997e-01 | 1.905e-07         | position
9.000e+00 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 1.866e-07         | position
1.000e+01 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 2.120e-07         | position
1.100e+01 | 0.000e+00 | 7.500e-01 | 9.524e-01 | 7.280e-07         | position
1.200e+01 | 0.000e+00 | 7.500e-01 | 9.957e-01 | 2.337e-07         | position
1.300e+01 | 0.000e+00 | 7.500e-01 | 9.976e-01 | 5.172e-07         | position
1.400e+01 | 0.000e+00 | 7.500e-01 | 9.988e-01 | 4.464e-07         | position
1.500e+01 | 0.000e+00 | 7.500e-01 | 9.993e-01 | 7.279e-07         | position
1.600e+01 | 0.000e+00 | 7.500e-01 | 9.995e-01 | 2.615e-07         | position
1.700e+01 | 0.000e+00 | 7.500e-01 | 9.997e-01 | 1.489e-07         | position
1.800e+01 | 0.000e+00 | 7.500e-01 | 9.997e-01 | 2.951e-07         | position
1.900e+01 | 0.000e+00 | 7.500e-01 | 9.789e-01 | 3.698e-07         | position
2.000e+01 | 0.000e+00 | 7.500e-01 | 9.973e-01 | 1.480e-07         | position
2.100e+01 | 0.000e+00 | 7.500e-01 | 9.980e-01 | 9.736e-07         | position
2.200e+01 | 0.000e+00 | 7.500e-01 | 9.982e-01 | 7.352e-07         | position
2.300e+01 | 0.000e+00 | 7.500e-01 | 9.983e-01 | 4.942e-07         | position
2.400e+01 | 0.000e+00 | 7.500e-01 | 9.974e-01 | 7.036e-07         | position
2.500e+01 | 0.000e+00 | 7.500e-01 | 9.985e-01 | 4.015e-07         | position
2.600e+01 | 0.000e+00 | 7.500e-01 | 9.987e-01 | 3.538e-07         | position
2.700e+01 | 0.000e+00 | 7.500e-01 | 9.987e-01 | 6.805e-07         | position
2.800e+01 | 0.000e+00 | 7.500e-01 | 9.988e-01 | 2.164e-07         | position
2.900e+01 | 0.000e+00 | 7.500e-01 | 9.972e-01 | 4.102e-07         | position
3.000e+01 | 0.000e+00 | 7.500e-01 | 9.989e-01 | 1.479e-07         | position
3.100e+01 | 0.000e+00 | 7.500e-01 | 9.989e-01 | 6.469e-07         | position
3.200e+01 | 0.000e+00 | 7.500e-01 | 9.994e-01 | 5.521e-07         | position
3.300e+01 | 0.000e+00 | 7.500e-01 | 9.996e-01 | 3.403e-07         | position
3.400e+01 | 0.000e+00 | 7.500e-01 | 9.997e-01 | 1.490e-07         | position
3.500e+01 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 1.490e-07         | position
3.600e+01 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 2.614e-07         | position
3.700e+01 | 0.000e+00 | 7.500e-01 | 9.893e-01 | 7.305e-07         | position
3.800e+01 | 0.000e+00 | 7.500e-01 | 9.984e-01 | 1.469e-07         | position
3.900e+01 | 0.000e+00 | 7.500e-01 | 9.989e-01 | 4.420e-07         | position
4.000e+01 | 0.000e+00 | 7.500e-01 | 9.991e-01 | 3.465e-07         | position
4.100e+01 | 0.000e+00 | 7.500e-01 | 9.992e-01 | 1.451e-07         | position
4.200e+01 | 0.000e+00 | 7.500e-01 | 9.991e-01 | 1.724e-07         | position
4.300e+01 | 0.000e+00 | 7.500e-01 | 9.993e-01 | 3.235e-07         | position
4.400e+01 | 0.000e+00 | 7.500e-01 | 9.990e-01 | 2.010e-07         | position
4.500e+01 | 0.000e+00 | 7.500e-01 | 9.988e-01 | 2.636e-07         | position
4.600e+01 | 0.000e+00 | 7.500e-01 | 9.999e-01 | 1.477e-07         | position
4.700e+01 | 0.000e+00 | 7.500e-01 | 9.985e-01 | 2.063e-07         | position
4.800e+01 | 0.000e+00 | 7.500e-01 | 9.994e-01 | 2.503e-07         | position
4.900e+01 | 0.000e+00 | 7.500e-01 | 9.994e-01 | 2.149e-07         | position
5.000e+01 | 0.000e+00 | 7.500e-01 | 9.996e-01 | 1.485e-07         | position
5.100e+01 | 0.000e+00 | 7.500e-01 | 9.997e-01 | 1.483e-07         | position
5.200e+01 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 1.449e-07         | position
5.300e+01 | 0.000e+00 | 7.500e-01 | 9.998e-01 | 1.473e-07         | position
5.400e+01 | 0.000e+00 | 7.500e-01 | 9.999e-01 | 1.449e-07         | position

