QSIa posicion - alpha=2.500 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | QSI_alpha | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.500e+00 | 9.982e-01 | 1.404e-06         | position
7.000e+00 | -1.000e+00 | 2.500e+00 | 9.968e-01 | 1.490e-07         | position
8.000e+00 | -1.000e+00 | 2.500e+00 | 9.948e-01 | 4.732e-07         | position
9.000e+00 | -1.000e+00 | 2.500e+00 | 9.924e-01 | 8.070e-06         | position
1.100e+01 | -1.000e+00 | 2.500e+00 | 9.873e-01 | 3.858e-06         | position
1.300e+01 | -1.000e+00 | 2.500e+00 | 9.830e-01 | 2.418e-05         | position
1.400e+01 | -1.000e+00 | 2.500e+00 | 9.811e-01 | 1.342e-05         | position
1.500e+01 | -1.000e+00 | 2.500e+00 | 9.794e-01 | 3.815e-06         | position
1.600e+01 | -1.000e+00 | 2.500e+00 | 9.778e-01 | 3.213e-05         | position
1.700e+01 | -1.000e+00 | 2.500e+00 | 9.763e-01 | 9.707e-06         | position
1.900e+01 | -1.000e+00 | 2.500e+00 | 9.737e-01 | 2.471e-04         | position
2.100e+01 | -1.000e+00 | 2.500e+00 | 9.717e-01 | 2.814e-03         | position
2.200e+01 | -1.000e+00 | 2.500e+00 | 9.709e-01 | 9.553e-04         | position
2.300e+01 | -1.000e+00 | 2.500e+00 | 9.701e-01 | 1.735e-03         | position
2.400e+01 | -1.000e+00 | 2.500e+00 | 9.695e-01 | 9.053e-04         | position
2.500e+01 | -1.000e+00 | 2.500e+00 | 9.688e-01 | 8.568e-03         | position
2.600e+01 | -1.000e+00 | 2.500e+00 | 9.682e-01 | 6.399e-03         | position
2.700e+01 | -1.000e+00 | 2.500e+00 | 9.676e-01 | 2.277e-03         | position
2.800e+01 | -1.000e+00 | 2.500e+00 | 9.670e-01 | 8.838e-04         | position
2.900e+01 | -1.000e+00 | 2.500e+00 | 9.665e-01 | 4.014e-03         | position
3.100e+01 | -1.000e+00 | 2.500e+00 | 9.653e-01 | 9.773e-03         | position
3.200e+01 | -1.000e+00 | 2.500e+00 | 9.648e-01 | 9.927e-03         | position
3.300e+01 | -1.000e+00 | 2.500e+00 | 9.643e-01 | 1.089e-02         | position
3.400e+01 | -1.000e+00 | 2.500e+00 | 9.637e-01 | 1.451e-02         | position
3.500e+01 | -1.000e+00 | 2.500e+00 | 9.632e-01 | 8.066e-03         | position
3.700e+01 | -1.000e+00 | 2.500e+00 | 9.623e-01 | 1.974e-02         | position
3.900e+01 | -1.000e+00 | 2.500e+00 | 9.614e-01 | 9.927e-02         | position
4.000e+01 | -1.000e+00 | 2.500e+00 | 9.610e-01 | 1.131e-01         | position
4.100e+01 | -1.000e+00 | 2.500e+00 | 9.606e-01 | 1.711e-02         | position
4.200e+01 | -1.000e+00 | 2.500e+00 | 9.602e-01 | 1.625e-01         | position
4.300e+01 | -1.000e+00 | 2.500e+00 | 9.599e-01 | 1.096e-01         | position
4.400e+01 | -1.000e+00 | 2.500e+00 | 9.595e-01 | 6.602e-02         | position
4.500e+01 | -1.000e+00 | 2.500e+00 | 9.592e-01 | 7.283e-02         | position
4.600e+01 | -1.000e+00 | 2.500e+00 | 9.589e-01 | 1.674e-01         | position
4.700e+01 | -1.000e+00 | 2.500e+00 | 9.585e-01 | 2.504e-01         | position
4.900e+01 | -1.000e+00 | 2.500e+00 | 9.579e-01 | 2.388e-01         | position
5.000e+01 | -1.000e+00 | 2.500e+00 | 9.576e-01 | 1.996e-01         | position
5.100e+01 | -1.000e+00 | 2.500e+00 | 9.573e-01 | 2.775e-01         | position
5.200e+01 | -1.000e+00 | 2.500e+00 | 9.570e-01 | 4.700e-01         | position
5.300e+01 | -1.000e+00 | 2.500e+00 | 9.568e-01 | 2.536e-01         | position

