EntropicMoment - momento (2e) q=1.750
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 1.750e+00 | 9.631e-03      | 2.782e-07         | momentum
3  | 0 | 1.750e+00 | 1.846e-02      | 1.486e-06         | momentum
4  | 0 | 1.750e+00 | 3.606e-02      | 1.475e-06         | momentum
5  | 0 | 1.750e+00 | 1.273e-02      | 1.403e-06         | momentum
6  | 0 | 1.750e+00 | 5.177e-03      | 1.130e-06         | momentum
7  | 0 | 1.750e+00 | 2.417e-03      | 4.075e-07         | momentum
8  | 0 | 1.750e+00 | 1.354e-03      | 1.364e-06         | momentum
9  | 0 | 1.750e+00 | 7.922e-04      | 1.270e-06         | momentum
10 | 0 | 1.750e+00 | 4.848e-04      | 5.489e-08         | momentum
11 | 0 | 1.750e+00 | 1.249e-03      | 1.476e-06         | momentum
12 | 0 | 1.750e+00 | 2.246e-03      | 1.424e-06         | momentum
13 | 0 | 1.750e+00 | 1.927e-03      | 1.464e-06         | momentum
14 | 0 | 1.750e+00 | 1.490e-03      | 1.182e-06         | momentum
15 | 0 | 1.750e+00 | 1.135e-03      | 1.337e-06         | momentum
16 | 0 | 1.750e+00 | 9.211e-04      | 1.277e-06         | momentum
17 | 0 | 1.750e+00 | 7.323e-04      | 1.212e-06         | momentum
18 | 0 | 1.750e+00 | 5.796e-04      | 1.206e-06         | momentum
19 | 0 | 1.750e+00 | 1.093e-03      | 1.375e-06         | momentum
20 | 0 | 1.750e+00 | 1.697e-03      | 1.384e-06         | momentum
21 | 0 | 1.750e+00 | 1.205e-03      | 1.375e-06         | momentum
22 | 0 | 1.750e+00 | 8.897e-04      | 1.469e-06         | momentum
23 | 0 | 1.750e+00 | 6.710e-04      | 1.273e-06         | momentum
24 | 0 | 1.750e+00 | 2.370e-04      | 1.363e-06         | momentum
25 | 0 | 1.750e+00 | 4.022e-04      | 1.487e-06         | momentum
26 | 0 | 1.750e+00 | 3.158e-04      | 1.474e-06         | momentum
27 | 0 | 1.750e+00 | 2.516e-04      | 1.207e-06         | momentum
28 | 0 | 1.750e+00 | 2.026e-04      | 1.479e-06         | momentum
29 | 0 | 1.750e+00 | 8.670e-05      | 1.449e-06         | momentum
30 | 0 | 1.750e+00 | 1.354e-04      | 1.446e-06         | momentum
31 | 0 | 1.750e+00 | 1.439e-04      | 1.480e-06         | momentum
32 | 0 | 1.750e+00 | 1.405e-04      | 1.448e-06         | momentum
33 | 0 | 1.750e+00 | 1.337e-04      | 1.482e-06         | momentum
34 | 0 | 1.750e+00 | 1.320e-04      | 1.458e-06         | momentum
35 | 0 | 1.750e+00 | 1.263e-04      | 1.425e-06         | momentum
36 | 0 | 1.750e+00 | 1.187e-04      | 1.465e-06         | momentum
37 | 0 | 1.750e+00 | 2.176e-04      | 1.288e-06         | momentum
38 | 0 | 1.750e+00 | 3.458e-04      | 1.220e-06         | momentum
39 | 0 | 1.750e+00 | 2.762e-04      | 1.409e-06         | momentum
40 | 0 | 1.750e+00 | 2.289e-04      | 1.395e-06         | momentum
41 | 0 | 1.750e+00 | 1.057e-04      | 1.307e-06         | momentum
42 | 0 | 1.750e+00 | 9.093e-05      | 1.288e-06         | momentum
43 | 0 | 1.750e+00 | 1.419e-04      | 1.266e-06         | momentum
44 | 0 | 1.750e+00 | 7.220e-05      | 1.486e-06         | momentum
45 | 0 | 1.750e+00 | 6.460e-05      | 1.316e-06         | momentum
46 | 0 | 1.750e+00 | 4.137e-05      | 1.364e-06         | momentum
47 | 0 | 1.750e+00 | 5.216e-05      | 3.356e-07         | momentum
48 | 0 | 1.750e+00 | 7.321e-05      | 1.211e-06         | momentum
49 | 0 | 1.750e+00 | 7.706e-05      | 1.298e-06         | momentum
50 | 0 | 1.750e+00 | 7.760e-05      | 1.382e-06         | momentum

