EntropicMoment - momento q=3.000
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 3.000e+00 | 8.419e-02      | 4.423e-11         | momentum
2  | 0 | 3.000e+00 | 5.593e-03      | 1.066e-11         | momentum
3  | 0 | 3.000e+00 | 4.546e-01      | 9.808e-12         | momentum
4  | 0 | 3.000e+00 | 1.714e-01      | 3.208e-11         | momentum
5  | 0 | 3.000e+00 | 2.360e-02      | 3.941e-11         | momentum
6  | 0 | 3.000e+00 | 5.282e-03      | 1.114e-10         | momentum
7  | 0 | 3.000e+00 | 1.591e-03      | 5.642e-11         | momentum
8  | 0 | 3.000e+00 | 6.432e-04      | 2.414e-11         | momentum
9  | 0 | 3.000e+00 | 2.893e-04      | 6.114e-12         | momentum
10 | 0 | 3.000e+00 | 1.415e-04      | 1.077e-11         | momentum
11 | 0 | 3.000e+00 | 1.418e-02      | 9.615e-12         | momentum
12 | 0 | 3.000e+00 | 1.827e-02      | 2.197e-11         | momentum
13 | 0 | 3.000e+00 | 6.675e-03      | 8.861e-11         | momentum
14 | 0 | 3.000e+00 | 2.951e-03      | 1.120e-10         | momentum
15 | 0 | 3.000e+00 | 1.487e-03      | 6.234e-11         | momentum
16 | 0 | 3.000e+00 | 9.011e-04      | 8.829e-11         | momentum
17 | 0 | 3.000e+00 | 5.583e-04      | 9.398e-11         | momentum
18 | 0 | 3.000e+00 | 3.556e-04      | 2.474e-12         | momentum
19 | 0 | 3.000e+00 | 9.065e-03      | 2.024e-11         | momentum
20 | 0 | 3.000e+00 | 1.536e-02      | 1.066e-10         | momentum
21 | 0 | 3.000e+00 | 9.345e-03      | 6.256e-13         | momentum
22 | 0 | 3.000e+00 | 6.310e-03      | 1.583e-11         | momentum
23 | 0 | 3.000e+00 | 4.423e-03      | 1.233e-11         | momentum
24 | 0 | 3.000e+00 | 6.238e-04      | 1.235e-10         | momentum
25 | 0 | 3.000e+00 | 2.372e-03      | 2.911e-12         | momentum
26 | 0 | 3.000e+00 | 1.722e-03      | 4.053e-11         | momentum
27 | 0 | 3.000e+00 | 1.289e-03      | 9.106e-11         | momentum
28 | 0 | 3.000e+00 | 9.814e-04      | 8.791e-11         | momentum
29 | 0 | 3.000e+00 | 2.113e-04      | 1.332e-10         | momentum
30 | 0 | 3.000e+00 | 5.971e-04      | 1.450e-10         | momentum
31 | 0 | 3.000e+00 | 4.000e-04      | 1.372e-10         | momentum
32 | 0 | 3.000e+00 | 2.698e-04      | 8.234e-11         | momentum
33 | 0 | 3.000e+00 | 1.913e-04      | 3.253e-11         | momentum
34 | 0 | 3.000e+00 | 1.552e-04      | 4.473e-11         | momentum
35 | 0 | 3.000e+00 | 1.237e-04      | 6.338e-11         | momentum
36 | 0 | 3.000e+00 | 9.835e-05      | 3.460e-11         | momentum
37 | 0 | 3.000e+00 | 1.844e-03      | 1.995e-11         | momentum
38 | 0 | 3.000e+00 | 3.666e-03      | 2.693e-11         | momentum
39 | 0 | 3.000e+00 | 2.215e-03      | 7.188e-12         | momentum
40 | 0 | 3.000e+00 | 1.560e-03      | 2.216e-11         | momentum
41 | 0 | 3.000e+00 | 2.033e-04      | 2.963e-11         | momentum
42 | 0 | 3.000e+00 | 1.547e-04      | 1.110e-10         | momentum
43 | 0 | 3.000e+00 | 7.125e-04      | 1.483e-10         | momentum
44 | 0 | 3.000e+00 | 1.160e-04      | 7.074e-11         | momentum
45 | 0 | 3.000e+00 | 1.035e-04      | 5.501e-11         | momentum
46 | 0 | 3.000e+00 | 1.079e-05      | 2.600e-12         | momentum
47 | 0 | 3.000e+00 | 8.513e-05      | 5.900e-11         | momentum
48 | 0 | 3.000e+00 | 2.562e-04      | 9.935e-11         | momentum
49 | 0 | 3.000e+00 | 1.920e-04      | 1.048e-10         | momentum
50 | 0 | 3.000e+00 | 1.466e-04      | 2.383e-11         | momentum

