EntropicMoment - posicion (2e) q=2.000
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
2  | 0 | 2.000e+00 | 3.633e-02      | 1.446e-06         | position
3  | 0 | 2.000e+00 | 6.877e-02      | 1.490e-06         | position
4  | 0 | 2.000e+00 | 1.249e-01      | 1.489e-06         | position
5  | 0 | 2.000e+00 | 2.020e-01      | 1.488e-06         | position
6  | 0 | 2.000e+00 | 3.087e-01      | 1.130e-06         | position
7  | 0 | 2.000e+00 | 4.543e-01      | 1.471e-06         | position
8  | 0 | 2.000e+00 | 6.470e-01      | 2.285e-06         | position
9  | 0 | 2.000e+00 | 9.016e-01      | 3.325e-06         | position
10 | 0 | 2.000e+00 | 1.234e+00      | 1.221e-05         | position
11 | 0 | 2.000e+00 | 1.632e+00      | 1.934e-05         | position
12 | 0 | 2.000e+00 | 2.105e+00      | 1.130e-06         | position
13 | 0 | 2.000e+00 | 2.653e+00      | 1.432e-06         | position
14 | 0 | 2.000e+00 | 3.283e+00      | 1.468e-06         | position
15 | 0 | 2.000e+00 | 3.999e+00      | 2.947e-06         | position
16 | 0 | 2.000e+00 | 4.806e+00      | 2.459e-05         | position
17 | 0 | 2.000e+00 | 5.711e+00      | 1.287e-06         | position
18 | 0 | 2.000e+00 | 6.721e+00      | 1.348e-06         | position
19 | 0 | 2.000e+00 | 7.832e+00      | 2.252e-05         | position
20 | 0 | 2.000e+00 | 9.049e+00      | 1.514e-04         | position
21 | 0 | 2.000e+00 | 1.033e+01      | 1.383e-05         | position
22 | 0 | 2.000e+00 | 1.171e+01      | 1.216e-05         | position
23 | 0 | 2.000e+00 | 1.318e+01      | 1.028e-05         | position
24 | 0 | 2.000e+00 | 1.474e+01      | 2.901e-04         | position
25 | 0 | 2.000e+00 | 1.646e+01      | 1.730e-05         | position
26 | 0 | 2.000e+00 | 1.828e+01      | 1.031e-04         | position
27 | 0 | 2.000e+00 | 2.021e+01      | 9.328e-05         | position
28 | 0 | 2.000e+00 | 2.227e+01      | 1.434e-04         | position
29 | 0 | 2.000e+00 | 2.442e+01      | 6.212e-04         | position
30 | 0 | 2.000e+00 | 2.679e+01      | 5.618e-04         | position
31 | 0 | 2.000e+00 | 2.930e+01      | 3.002e-04         | position
32 | 0 | 2.000e+00 | 3.196e+01      | 7.285e-04         | position
33 | 0 | 2.000e+00 | 3.478e+01      | 8.923e-05         | position
34 | 0 | 2.000e+00 | 3.776e+01      | 8.725e-05         | position
35 | 0 | 2.000e+00 | 4.091e+01      | 6.443e-05         | position
36 | 0 | 2.000e+00 | 4.422e+01      | 2.760e-05         | position
37 | 0 | 2.000e+00 | 4.769e+01      | 2.337e-05         | position
38 | 0 | 2.000e+00 | 5.133e+01      | 4.323e-05         | position
39 | 0 | 2.000e+00 | 5.511e+01      | 1.253e-04         | position
40 | 0 | 2.000e+00 | 5.904e+01      | 1.895e-04         | position
41 | 0 | 2.000e+00 | 6.311e+01      | 2.436e-03         | position
42 | 0 | 2.000e+00 | 6.737e+01      | 2.528e-04         | position
43 | 0 | 2.000e+00 | 7.183e+01      | 2.464e-04         | position
44 | 0 | 2.000e+00 | 7.640e+01      | 1.814e-04         | position
45 | 0 | 2.000e+00 | 8.118e+01      | 9.290e-05         | position
46 | 0 | 2.000e+00 | 8.610e+01      | 4.329e-04         | position
47 | 0 | 2.000e+00 | 9.126e+01      | 3.121e-03         | position
48 | 0 | 2.000e+00 | 9.662e+01      | 6.962e-04         | position
49 | 0 | 2.000e+00 | 1.022e+02      | 1.351e-03         | position
50 | 0 | 2.000e+00 | 1.079e+02      | 2.223e-03         | position

