EntropicMoment - posicion q=1.500
---------------------------------------------------------------------
Z  | Q | q         | EntropicMoment | integration_error | space   
---------------------------------------------------------------------
1  | 0 | 1.500e+00 | 1.672e-01      | 1.164e-10         | position
2  | 0 | 1.500e+00 | 3.577e-01      | 5.312e-12         | position
3  | 0 | 1.500e+00 | 4.075e-01      | 5.783e-12         | position
4  | 0 | 1.500e+00 | 4.524e-01      | 7.568e-11         | position
5  | 0 | 1.500e+00 | 4.923e-01      | 8.263e-12         | position
6  | 0 | 1.500e+00 | 5.350e-01      | 7.658e-12         | position
7  | 0 | 1.500e+00 | 5.810e-01      | 1.117e-10         | position
8  | 0 | 1.500e+00 | 6.277e-01      | 3.664e-12         | position
9  | 0 | 1.500e+00 | 6.779e-01      | 1.424e-12         | position
10 | 0 | 1.500e+00 | 7.315e-01      | 3.545e-12         | position
11 | 0 | 1.500e+00 | 7.678e-01      | 3.029e-11         | position
12 | 0 | 1.500e+00 | 8.015e-01      | 1.090e-10         | position
13 | 0 | 1.500e+00 | 8.324e-01      | 6.978e-11         | position
14 | 0 | 1.500e+00 | 8.621e-01      | 1.319e-10         | position
15 | 0 | 1.500e+00 | 8.912e-01      | 1.233e-10         | position
16 | 0 | 1.500e+00 | 9.195e-01      | 9.911e-13         | position
17 | 0 | 1.500e+00 | 9.476e-01      | 1.156e-10         | position
18 | 0 | 1.500e+00 | 9.758e-01      | 3.629e-11         | position
19 | 0 | 1.500e+00 | 9.991e-01      | 1.439e-10         | position
20 | 0 | 1.500e+00 | 1.021e+00      | 6.355e-12         | position
21 | 0 | 1.500e+00 | 1.045e+00      | 3.975e-12         | position
22 | 0 | 1.500e+00 | 1.069e+00      | 5.309e-11         | position
23 | 0 | 1.500e+00 | 1.093e+00      | 8.410e-11         | position
24 | 0 | 1.500e+00 | 1.120e+00      | 7.870e-11         | position
25 | 0 | 1.500e+00 | 1.143e+00      | 4.035e-11         | position
26 | 0 | 1.500e+00 | 1.167e+00      | 1.553e-10         | position
27 | 0 | 1.500e+00 | 1.192e+00      | 1.315e-10         | position
28 | 0 | 1.500e+00 | 1.218e+00      | 1.030e-10         | position
29 | 0 | 1.500e+00 | 1.247e+00      | 1.037e-10         | position
30 | 0 | 1.500e+00 | 1.271e+00      | 7.133e-11         | position
31 | 0 | 1.500e+00 | 1.293e+00      | 1.057e-10         | position
32 | 0 | 1.500e+00 | 1.315e+00      | 9.100e-11         | position
33 | 0 | 1.500e+00 | 1.337e+00      | 1.122e-10         | position
34 | 0 | 1.500e+00 | 1.358e+00      | 1.894e-10         | position
35 | 0 | 1.500e+00 | 1.379e+00      | 1.848e-10         | position
36 | 0 | 1.500e+00 | 1.400e+00      | 4.258e-11         | position
37 | 0 | 1.500e+00 | 1.419e+00      | 3.932e-11         | position
38 | 0 | 1.500e+00 | 1.437e+00      | 5.457e-11         | position
39 | 0 | 1.500e+00 | 1.455e+00      | 1.490e-10         | position
40 | 0 | 1.500e+00 | 1.474e+00      | 1.272e-10         | position
41 | 0 | 1.500e+00 | 1.493e+00      | 1.257e-10         | position
42 | 0 | 1.500e+00 | 1.511e+00      | 1.470e-10         | position
43 | 0 | 1.500e+00 | 1.528e+00      | 1.220e-10         | position
44 | 0 | 1.500e+00 | 1.547e+00      | 1.239e-10         | position
45 | 0 | 1.500e+00 | 1.565e+00      | 1.467e-10         | position
46 | 0 | 1.500e+00 | 1.584e+00      | 9.014e-11         | position
47 | 0 | 1.500e+00 | 1.601e+00      | 1.081e-10         | position
48 | 0 | 1.500e+00 | 1.618e+00      | 1.394e-10         | position
49 | 0 | 1.500e+00 | 1.634e+00      | 1.195e-10         | position
50 | 0 | 1.500e+00 | 1.651e+00      | 1.573e-10         | position

