Renyi - momento (2e) alpha=0.600
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
2  | 0 | 6.000e-01 | -1.051e+01   | 2.225e-06         | momentum | True              
3  | 0 | 6.000e-01 | -1.190e+01   | 1.606e-04         | momentum | True              
4  | 0 | 6.000e-01 | -1.299e+01   | 1.776e-05         | momentum | True              
5  | 0 | 6.000e-01 | -1.397e+01   | 2.824e-05         | momentum | True              
6  | 0 | 6.000e-01 | -1.479e+01   | 1.389e-05         | momentum | True              
7  | 0 | 6.000e-01 | -1.550e+01   | 7.981e-05         | momentum | True              
8  | 0 | 6.000e-01 | -1.610e+01   | 2.615e-04         | momentum | True              
9  | 0 | 6.000e-01 | -1.665e+01   | 3.633e-04         | momentum | True              
10 | 0 | 6.000e-01 | -1.714e+01   | 8.893e-05         | momentum | True              
11 | 0 | 6.000e-01 | -1.756e+01   | 1.050e-04         | momentum | True              
12 | 0 | 6.000e-01 | -1.794e+01   | 2.706e-05         | momentum | True              
13 | 0 | 6.000e-01 | -1.829e+01   | 6.344e-05         | momentum | True              
14 | 0 | 6.000e-01 | -1.862e+01   | 1.988e-04         | momentum | True              
15 | 0 | 6.000e-01 | -1.892e+01   | 1.124e-03         | momentum | True              
16 | 0 | 6.000e-01 | -1.920e+01   | 4.981e-04         | momentum | True              
17 | 0 | 6.000e-01 | -1.947e+01   | 9.838e-04         | momentum | True              
18 | 0 | 6.000e-01 | -1.972e+01   | 3.876e-04         | momentum | True              
19 | 0 | 6.000e-01 | -1.995e+01   | 2.772e-03         | momentum | True              
20 | 0 | 6.000e-01 | -2.016e+01   | 3.697e-04         | momentum | True              
21 | 0 | 6.000e-01 | -2.038e+01   | 7.751e-04         | momentum | True              
22 | 0 | 6.000e-01 | -2.059e+01   | 2.714e-03         | momentum | True              
23 | 0 | 6.000e-01 | -2.078e+01   | 5.202e-03         | momentum | True              
24 | 0 | 6.000e-01 | -2.098e+01   | 1.083e-04         | momentum | True              
25 | 0 | 6.000e-01 | -2.116e+01   | 1.338e-04         | momentum | True              
26 | 0 | 6.000e-01 | -2.133e+01   | 6.283e-03         | momentum | True              
27 | 0 | 6.000e-01 | -2.150e+01   | 3.978e-03         | momentum | True              
28 | 0 | 6.000e-01 | -2.166e+01   | 1.462e-03         | momentum | True              
29 | 0 | 6.000e-01 | -2.182e+01   | 1.613e-03         | momentum | True              
30 | 0 | 6.000e-01 | -2.197e+01   | 4.069e-03         | momentum | True              
31 | 0 | 6.000e-01 | -2.212e+01   | 6.279e-03         | momentum | True              
32 | 0 | 6.000e-01 | -2.225e+01   | 1.088e-02         | momentum | True              
33 | 0 | 6.000e-01 | -2.239e+01   | 9.853e-03         | momentum | True              
34 | 0 | 6.000e-01 | -2.252e+01   | 9.072e-03         | momentum | True              
35 | 0 | 6.000e-01 | -2.265e+01   | 7.510e-03         | momentum | True              
36 | 0 | 6.000e-01 | -2.277e+01   | 2.536e-03         | momentum | True              
37 | 0 | 6.000e-01 | -2.288e+01   | 5.224e-03         | momentum | True              
38 | 0 | 6.000e-01 | -2.300e+01   | 6.124e-04         | momentum | True              
39 | 0 | 6.000e-01 | -2.311e+01   | 8.721e-04         | momentum | True              
40 | 0 | 6.000e-01 | -2.322e+01   | 1.193e-03         | momentum | True              
41 | 0 | 6.000e-01 | -2.333e+01   | 1.327e-03         | momentum | True              
42 | 0 | 6.000e-01 | -2.343e+01   | 1.560e-03         | momentum | True              
43 | 0 | 6.000e-01 | -2.354e+01   | 1.770e-03         | momentum | True              
44 | 0 | 6.000e-01 | -2.364e+01   | 1.469e-03         | momentum | True              
45 | 0 | 6.000e-01 | -2.373e+01   | 1.107e-02         | momentum | True              
46 | 0 | 6.000e-01 | -2.383e+01   | 1.342e-03         | momentum | True              
47 | 0 | 6.000e-01 | -2.392e+01   | 1.818e-03         | momentum | True              
48 | 0 | 6.000e-01 | -2.401e+01   | 1.597e-03         | momentum | True              
49 | 0 | 6.000e-01 | -2.410e+01   | 1.353e-03         | momentum | True              
50 | 0 | 6.000e-01 | -2.419e+01   | 1.377e-03         | momentum | True              

