Renyi - momento alpha=1.000
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
1  | 0 | 1.000e+00 | 2.422e+00    | 1.798e-10         | momentum | False             
2  | 0 | 1.000e+00 | 3.913e+00    | 2.015e-10         | momentum | False             
3  | 0 | 1.000e+00 | 3.997e+00    | 4.647e-10         | momentum | False             
4  | 0 | 1.000e+00 | 4.190e+00    | 1.536e-10         | momentum | False             
5  | 0 | 1.000e+00 | 4.706e+00    | 3.422e-10         | momentum | False             
6  | 0 | 1.000e+00 | 5.157e+00    | 4.095e-10         | momentum | False             
7  | 0 | 1.000e+00 | 5.549e+00    | 7.585e-11         | momentum | False             
8  | 0 | 1.000e+00 | 5.867e+00    | 4.984e-10         | momentum | False             
9  | 0 | 1.000e+00 | 6.163e+00    | 2.753e-10         | momentum | False             
10 | 0 | 1.000e+00 | 6.437e+00    | 1.872e-10         | momentum | False             
11 | 0 | 1.000e+00 | 6.483e+00    | 6.410e-10         | momentum | False             
12 | 0 | 1.000e+00 | 6.515e+00    | 3.856e-10         | momentum | False             
13 | 0 | 1.000e+00 | 6.619e+00    | 4.336e-10         | momentum | False             
14 | 0 | 1.000e+00 | 6.734e+00    | 3.822e-10         | momentum | False             
15 | 0 | 1.000e+00 | 6.849e+00    | 4.929e-10         | momentum | False             
16 | 0 | 1.000e+00 | 6.949e+00    | 6.622e-10         | momentum | False             
17 | 0 | 1.000e+00 | 7.052e+00    | 2.230e-10         | momentum | False             
18 | 0 | 1.000e+00 | 7.155e+00    | 2.594e-10         | momentum | False             
19 | 0 | 1.000e+00 | 7.172e+00    | 5.914e-10         | momentum | False             
20 | 0 | 1.000e+00 | 7.180e+00    | 3.893e-10         | momentum | False             
21 | 0 | 1.000e+00 | 7.303e+00    | 5.149e-10         | momentum | False             
22 | 0 | 1.000e+00 | 7.427e+00    | 4.260e-10         | momentum | False             
23 | 0 | 1.000e+00 | 7.547e+00    | 1.060e-09         | momentum | False             
24 | 0 | 1.000e+00 | 7.751e+00    | 1.124e-09         | momentum | False             
25 | 0 | 1.000e+00 | 7.777e+00    | 3.007e-10         | momentum | False             
26 | 0 | 1.000e+00 | 7.883e+00    | 1.047e-09         | momentum | False             
27 | 0 | 1.000e+00 | 7.986e+00    | 3.651e-10         | momentum | False             
28 | 0 | 1.000e+00 | 8.086e+00    | 4.047e-10         | momentum | False             
29 | 0 | 1.000e+00 | 8.251e+00    | 5.857e-10         | momentum | False             
30 | 0 | 1.000e+00 | 8.279e+00    | 5.378e-10         | momentum | False             
31 | 0 | 1.000e+00 | 8.324e+00    | 5.761e-10         | momentum | False             
32 | 0 | 1.000e+00 | 8.372e+00    | 7.301e-10         | momentum | False             
33 | 0 | 1.000e+00 | 8.418e+00    | 8.773e-10         | momentum | False             
34 | 0 | 1.000e+00 | 8.459e+00    | 9.293e-10         | momentum | False             
35 | 0 | 1.000e+00 | 8.500e+00    | 7.938e-10         | momentum | False             
36 | 0 | 1.000e+00 | 8.541e+00    | 1.195e-09         | momentum | False             
37 | 0 | 1.000e+00 | 8.544e+00    | 5.601e-10         | momentum | False             
38 | 0 | 1.000e+00 | 8.542e+00    | 1.091e-09         | momentum | False             
39 | 0 | 1.000e+00 | 8.590e+00    | 9.529e-10         | momentum | False             
40 | 0 | 1.000e+00 | 8.641e+00    | 8.608e-10         | momentum | False             
41 | 0 | 1.000e+00 | 8.732e+00    | 6.114e-10         | momentum | False             
42 | 0 | 1.000e+00 | 8.782e+00    | 1.281e-09         | momentum | False             
43 | 0 | 1.000e+00 | 8.791e+00    | 9.025e-10         | momentum | False             
44 | 0 | 1.000e+00 | 8.876e+00    | 7.168e-10         | momentum | False             
45 | 0 | 1.000e+00 | 8.922e+00    | 1.221e-09         | momentum | False             
46 | 0 | 1.000e+00 | 8.989e+00    | 1.101e-10         | momentum | False             
47 | 0 | 1.000e+00 | 9.014e+00    | 1.087e-10         | momentum | False             
48 | 0 | 1.000e+00 | 9.026e+00    | 1.837e-10         | momentum | False             
49 | 0 | 1.000e+00 | 9.049e+00    | 1.493e-10         | momentum | False             
50 | 0 | 1.000e+00 | 9.073e+00    | 5.688e-10         | momentum | False             

