Renyi - posicion (2e) alpha=1.200
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
2  | 0 | 1.200e+00 | -4.796e+00   | 1.324e-06         | position | True              
3  | 0 | 1.200e+00 | -5.985e+00   | 1.483e-06         | position | True              
4  | 0 | 1.200e+00 | -5.794e+00   | 1.457e-06         | position | True              
5  | 0 | 1.200e+00 | -5.405e+00   | 1.487e-06         | position | True              
6  | 0 | 1.200e+00 | -4.904e+00   | 1.477e-06         | position | True              
7  | 0 | 1.200e+00 | -4.390e+00   | 1.480e-06         | position | True              
8  | 0 | 1.200e+00 | -3.945e+00   | 1.448e-06         | position | True              
9  | 0 | 1.200e+00 | -3.499e+00   | 1.328e-06         | position | True              
10 | 0 | 1.200e+00 | -3.066e+00   | 1.397e-06         | position | True              
11 | 0 | 1.200e+00 | -3.118e+00   | 1.418e-06         | position | True              
12 | 0 | 1.200e+00 | -3.092e+00   | 1.453e-06         | position | True              
13 | 0 | 1.200e+00 | -3.067e+00   | 1.357e-06         | position | True              
14 | 0 | 1.200e+00 | -2.997e+00   | 1.467e-06         | position | True              
15 | 0 | 1.200e+00 | -2.901e+00   | 1.405e-06         | position | True              
16 | 0 | 1.200e+00 | -2.802e+00   | 1.883e-06         | position | True              
17 | 0 | 1.200e+00 | -2.686e+00   | 1.476e-06         | position | True              
18 | 0 | 1.200e+00 | -2.559e+00   | 1.412e-06         | position | True              
19 | 0 | 1.200e+00 | -2.593e+00   | 1.415e-06         | position | True              
20 | 0 | 1.200e+00 | -2.598e+00   | 1.823e-06         | position | True              
21 | 0 | 1.200e+00 | -2.505e+00   | 1.827e-06         | position | True              
22 | 0 | 1.200e+00 | -2.394e+00   | 1.417e-06         | position | True              
23 | 0 | 1.200e+00 | -2.276e+00   | 1.626e-06         | position | True              
24 | 0 | 1.200e+00 | -2.081e+00   | 1.418e-06         | position | True              
25 | 0 | 1.200e+00 | -2.028e+00   | 1.903e-06         | position | True              
26 | 0 | 1.200e+00 | -1.909e+00   | 3.061e-06         | position | True              
27 | 0 | 1.200e+00 | -1.786e+00   | 1.648e-06         | position | True              
28 | 0 | 1.200e+00 | -1.662e+00   | 3.017e-06         | position | True              
29 | 0 | 1.200e+00 | -1.475e+00   | 2.470e-06         | position | True              
30 | 0 | 1.200e+00 | -1.413e+00   | 2.331e-06         | position | True              
31 | 0 | 1.200e+00 | -1.370e+00   | 2.232e-06         | position | True              
32 | 0 | 1.200e+00 | -1.324e+00   | 3.095e-06         | position | True              
33 | 0 | 1.200e+00 | -1.275e+00   | 1.471e-06         | position | True              
34 | 0 | 1.200e+00 | -1.229e+00   | 1.407e-06         | position | True              
35 | 0 | 1.200e+00 | -1.180e+00   | 1.473e-06         | position | True              
36 | 0 | 1.200e+00 | -1.129e+00   | 1.466e-06         | position | True              
37 | 0 | 1.200e+00 | -1.133e+00   | 1.446e-06         | position | True              
38 | 0 | 1.200e+00 | -1.129e+00   | 1.477e-06         | position | True              
39 | 0 | 1.200e+00 | -1.101e+00   | 1.416e-06         | position | True              
40 | 0 | 1.200e+00 | -1.064e+00   | 1.351e-06         | position | True              
41 | 0 | 1.200e+00 | -1.000e+00   | 1.474e-06         | position | True              
42 | 0 | 1.200e+00 | -9.533e-01   | 3.305e-06         | position | True              
43 | 0 | 1.200e+00 | -9.336e-01   | 1.468e-06         | position | True              
44 | 0 | 1.200e+00 | -8.608e-01   | 1.461e-06         | position | True              
45 | 0 | 1.200e+00 | -8.112e-01   | 1.415e-06         | position | True              
46 | 0 | 1.200e+00 | -7.311e-01   | 3.783e-06         | position | True              
47 | 0 | 1.200e+00 | -7.071e-01   | 1.481e-06         | position | True              
48 | 0 | 1.200e+00 | -6.842e-01   | 3.702e-06         | position | True              
49 | 0 | 1.200e+00 | -6.688e-01   | 1.375e-06         | position | True              
50 | 0 | 1.200e+00 | -6.504e-01   | 1.469e-06         | position | True              

