Renyi - posicion alpha=0.600
----------------------------------------------------------------------------------------
Z  | Q | alpha     | RenyiEntropy | integration_error | space    | TwoElectronDensity
----------------------------------------------------------------------------------------
1  | 0 | 6.000e-01 | -4.976e+00   | 5.118e-10         | position | False             
2  | 0 | 6.000e-01 | -3.634e+00   | 5.882e-10         | position | False             
3  | 0 | 6.000e-01 | -6.130e+00   | 1.253e-09         | position | False             
4  | 0 | 6.000e-01 | -5.546e+00   | 7.419e-10         | position | False             
5  | 0 | 6.000e-01 | -5.101e+00   | 9.112e-11         | position | False             
6  | 0 | 6.000e-01 | -4.617e+00   | 2.349e-10         | position | False             
7  | 0 | 6.000e-01 | -4.188e+00   | 1.069e-10         | position | False             
8  | 0 | 6.000e-01 | -3.890e+00   | 9.838e-11         | position | False             
9  | 0 | 6.000e-01 | -3.593e+00   | 1.485e-10         | position | False             
10 | 0 | 6.000e-01 | -3.308e+00   | 4.064e-10         | position | False             
11 | 0 | 6.000e-01 | -5.020e+00   | 5.192e-10         | position | False             
12 | 0 | 6.000e-01 | -4.926e+00   | 6.849e-10         | position | False             
13 | 0 | 6.000e-01 | -4.976e+00   | 7.036e-10         | position | False             
14 | 0 | 6.000e-01 | -4.750e+00   | 2.063e-10         | position | False             
15 | 0 | 6.000e-01 | -4.510e+00   | 3.206e-10         | position | False             
16 | 0 | 6.000e-01 | -4.344e+00   | 2.960e-10         | position | False             
17 | 0 | 6.000e-01 | -4.157e+00   | 4.673e-10         | position | False             
18 | 0 | 6.000e-01 | -3.965e+00   | 2.042e-10         | position | False             
19 | 0 | 6.000e-01 | -5.202e+00   | 2.304e-10         | position | False             
20 | 0 | 6.000e-01 | -5.185e+00   | 1.011e-09         | position | False             
21 | 0 | 6.000e-01 | -5.027e+00   | 9.507e-10         | position | False             
22 | 0 | 6.000e-01 | -4.882e+00   | 6.604e-10         | position | False             
23 | 0 | 6.000e-01 | -4.745e+00   | 9.701e-10         | position | False             
24 | 0 | 6.000e-01 | -4.388e+00   | 7.808e-10         | position | False             
25 | 0 | 6.000e-01 | -4.494e+00   | 7.940e-10         | position | False             
26 | 0 | 6.000e-01 | -4.373e+00   | 7.626e-10         | position | False             
27 | 0 | 6.000e-01 | -4.259e+00   | 4.393e-10         | position | False             
28 | 0 | 6.000e-01 | -4.150e+00   | 3.859e-10         | position | False             
29 | 0 | 6.000e-01 | -3.916e+00   | 4.637e-10         | position | False             
30 | 0 | 6.000e-01 | -3.945e+00   | 3.513e-10         | position | False             
31 | 0 | 6.000e-01 | -4.149e+00   | 5.589e-10         | position | False             
32 | 0 | 6.000e-01 | -4.060e+00   | 9.660e-11         | position | False             
33 | 0 | 6.000e-01 | -3.942e+00   | 2.091e-10         | position | False             
34 | 0 | 6.000e-01 | -3.878e+00   | 1.985e-10         | position | False             
35 | 0 | 6.000e-01 | -3.784e+00   | 1.080e-10         | position | False             
36 | 0 | 6.000e-01 | -3.680e+00   | 2.835e-10         | position | False             
37 | 0 | 6.000e-01 | -4.724e+00   | 6.760e-10         | position | False             
38 | 0 | 6.000e-01 | -4.761e+00   | 5.671e-10         | position | False             
39 | 0 | 6.000e-01 | -4.657e+00   | 7.771e-10         | position | False             
40 | 0 | 6.000e-01 | -4.557e+00   | 6.139e-10         | position | False             
41 | 0 | 6.000e-01 | -4.263e+00   | 6.250e-10         | position | False             
42 | 0 | 6.000e-01 | -4.159e+00   | 3.000e-10         | position | False             
43 | 0 | 6.000e-01 | -4.293e+00   | 5.877e-10         | position | False             
44 | 0 | 6.000e-01 | -4.036e+00   | 6.460e-10         | position | False             
45 | 0 | 6.000e-01 | -3.977e+00   | 5.771e-10         | position | False             
46 | 0 | 6.000e-01 | -3.484e+00   | 4.937e-10         | position | False             
47 | 0 | 6.000e-01 | -3.863e+00   | 5.509e-10         | position | False             
48 | 0 | 6.000e-01 | -3.913e+00   | 4.109e-10         | position | False             
49 | 0 | 6.000e-01 | -4.085e+00   | 8.999e-11         | position | False             
50 | 0 | 6.000e-01 | -4.039e+00   | 2.523e-10         | position | False             

