Shannon - momento
--------------------------------------------------------------------------------------------------------------
Z  | Q | ShannonEntropy | integration_error | space    | EntropicPower | ShannonLenght | TwoElectronDensity
--------------------------------------------------------------------------------------------------------------
1  | 0 | 2.422e+00      | 1.798e-10         | momentum | 2.943e-01     | 1.127e+01     | False             
2  | 0 | 3.913e+00      | 2.015e-10         | momentum | 7.954e-01     | 5.007e+01     | False             
3  | 0 | 3.997e+00      | 4.647e-10         | momentum | 8.409e-01     | 5.442e+01     | False             
4  | 0 | 4.190e+00      | 1.536e-10         | momentum | 9.566e-01     | 6.603e+01     | False             
5  | 0 | 4.706e+00      | 3.422e-10         | momentum | 1.349e+00     | 1.106e+02     | False             
6  | 0 | 5.157e+00      | 4.095e-10         | momentum | 1.822e+00     | 1.736e+02     | False             
7  | 0 | 5.549e+00      | 7.585e-11         | momentum | 2.367e+00     | 2.571e+02     | False             
8  | 0 | 5.867e+00      | 4.984e-10         | momentum | 2.926e+00     | 3.533e+02     | False             
9  | 0 | 6.163e+00      | 2.753e-10         | momentum | 3.564e+00     | 4.750e+02     | False             
10 | 0 | 6.437e+00      | 1.872e-10         | momentum | 4.278e+00     | 6.246e+02     | False             
11 | 0 | 6.483e+00      | 6.410e-10         | momentum | 4.411e+00     | 6.540e+02     | False             
12 | 0 | 6.515e+00      | 3.856e-10         | momentum | 4.506e+00     | 6.752e+02     | False             
13 | 0 | 6.619e+00      | 4.336e-10         | momentum | 4.831e+00     | 7.495e+02     | False             
14 | 0 | 6.734e+00      | 3.822e-10         | momentum | 5.214e+00     | 8.403e+02     | False             
15 | 0 | 6.849e+00      | 4.929e-10         | momentum | 5.629e+00     | 9.426e+02     | False             
16 | 0 | 6.949e+00      | 6.622e-10         | momentum | 6.020e+00     | 1.043e+03     | False             
17 | 0 | 7.052e+00      | 2.230e-10         | momentum | 6.448e+00     | 1.156e+03     | False             
18 | 0 | 7.155e+00      | 2.594e-10         | momentum | 6.906e+00     | 1.281e+03     | False             
19 | 0 | 7.172e+00      | 5.914e-10         | momentum | 6.985e+00     | 1.303e+03     | False             
20 | 0 | 7.180e+00      | 3.893e-10         | momentum | 7.020e+00     | 1.313e+03     | False             
21 | 0 | 7.303e+00      | 5.149e-10         | momentum | 7.621e+00     | 1.485e+03     | False             
22 | 0 | 7.427e+00      | 4.260e-10         | momentum | 8.276e+00     | 1.681e+03     | False             
23 | 0 | 7.547e+00      | 1.060e-09         | momentum | 8.967e+00     | 1.895e+03     | False             
24 | 0 | 7.751e+00      | 1.124e-09         | momentum | 1.027e+01     | 2.325e+03     | False             
25 | 0 | 7.777e+00      | 3.007e-10         | momentum | 1.045e+01     | 2.385e+03     | False             
26 | 0 | 7.883e+00      | 1.047e-09         | momentum | 1.121e+01     | 2.651e+03     | False             
27 | 0 | 7.986e+00      | 3.651e-10         | momentum | 1.202e+01     | 2.940e+03     | False             
28 | 0 | 8.086e+00      | 4.047e-10         | momentum | 1.285e+01     | 3.250e+03     | False             
29 | 0 | 8.251e+00      | 5.857e-10         | momentum | 1.433e+01     | 3.830e+03     | False             
30 | 0 | 8.279e+00      | 5.378e-10         | momentum | 1.460e+01     | 3.939e+03     | False             
31 | 0 | 8.324e+00      | 5.761e-10         | momentum | 1.505e+01     | 4.121e+03     | False             
32 | 0 | 8.372e+00      | 7.301e-10         | momentum | 1.554e+01     | 4.322e+03     | False             
33 | 0 | 8.418e+00      | 8.773e-10         | momentum | 1.603e+01     | 4.529e+03     | False             
34 | 0 | 8.459e+00      | 9.293e-10         | momentum | 1.646e+01     | 4.715e+03     | False             
35 | 0 | 8.500e+00      | 7.938e-10         | momentum | 1.692e+01     | 4.913e+03     | False             
36 | 0 | 8.541e+00      | 1.195e-09         | momentum | 1.739e+01     | 5.120e+03     | False             
37 | 0 | 8.544e+00      | 5.601e-10         | momentum | 1.743e+01     | 5.137e+03     | False             
38 | 0 | 8.542e+00      | 1.091e-09         | momentum | 1.741e+01     | 5.127e+03     | False             
39 | 0 | 8.590e+00      | 9.529e-10         | momentum | 1.798e+01     | 5.380e+03     | False             
40 | 0 | 8.641e+00      | 8.608e-10         | momentum | 1.859e+01     | 5.656e+03     | False             
41 | 0 | 8.732e+00      | 6.114e-10         | momentum | 1.976e+01     | 6.200e+03     | False             
42 | 0 | 8.782e+00      | 1.281e-09         | momentum | 2.043e+01     | 6.518e+03     | False             
43 | 0 | 8.791e+00      | 9.025e-10         | momentum | 2.054e+01     | 6.573e+03     | False             
44 | 0 | 8.876e+00      | 7.168e-10         | momentum | 2.174e+01     | 7.155e+03     | False             
45 | 0 | 8.922e+00      | 1.221e-09         | momentum | 2.242e+01     | 7.495e+03     | False             
46 | 0 | 8.989e+00      | 1.101e-10         | momentum | 2.345e+01     | 8.015e+03     | False             
47 | 0 | 9.014e+00      | 1.087e-10         | momentum | 2.384e+01     | 8.216e+03     | False             
48 | 0 | 9.026e+00      | 1.837e-10         | momentum | 2.404e+01     | 8.318e+03     | False             
49 | 0 | 9.049e+00      | 1.493e-10         | momentum | 2.440e+01     | 8.509e+03     | False             
50 | 0 | 9.073e+00      | 5.688e-10         | momentum | 2.480e+01     | 8.716e+03     | False             

