Shannon - momento (2e)- atom: {atom.Symbol}
--------------------------------------------------------------------------------------------------------------
Z  | Q | ShannonEntropy | integration_error | space    | EntropicPower | ShannonLenght | TwoElectronDensity
--------------------------------------------------------------------------------------------------------------
2  | 0 | 7.827e+00      | 1.333e-06         | momentum | 1.080e+01     | 2.507e+03     | True              
3  | 0 | 7.872e+00      | 7.596e-06         | momentum | 1.114e+01     | 2.623e+03     | True              
4  | 0 | 8.332e+00      | 6.933e-06         | momentum | 1.513e+01     | 4.154e+03     | True              
5  | 0 | 9.388e+00      | 5.211e-06         | momentum | 3.060e+01     | 1.195e+04     | True              
6  | 0 | 1.030e+01      | 1.949e-06         | momentum | 5.619e+01     | 2.973e+04     | True              
7  | 0 | 1.109e+01      | 2.346e-06         | momentum | 9.517e+01     | 6.553e+04     | True              
8  | 0 | 1.173e+01      | 1.439e-06         | momentum | 1.457e+02     | 1.241e+05     | True              
9  | 0 | 1.232e+01      | 1.066e-05         | momentum | 2.164e+02     | 2.247e+05     | True              
10 | 0 | 1.287e+01      | 6.069e-06         | momentum | 3.120e+02     | 3.890e+05     | True              
11 | 0 | 1.296e+01      | 3.878e-06         | momentum | 3.306e+02     | 4.242e+05     | True              
12 | 0 | 1.302e+01      | 1.484e-06         | momentum | 3.455e+02     | 4.533e+05     | True              
13 | 0 | 1.323e+01      | 3.204e-06         | momentum | 3.974e+02     | 5.592e+05     | True              
14 | 0 | 1.346e+01      | 1.461e-05         | momentum | 4.631e+02     | 7.035e+05     | True              
15 | 0 | 1.369e+01      | 1.394e-06         | momentum | 5.400e+02     | 8.858e+05     | True              
16 | 0 | 1.390e+01      | 3.132e-06         | momentum | 6.178e+02     | 1.084e+06     | True              
17 | 0 | 1.410e+01      | 2.532e-06         | momentum | 7.090e+02     | 1.333e+06     | True              
18 | 0 | 1.431e+01      | 2.399e-06         | momentum | 8.135e+02     | 1.638e+06     | True              
19 | 0 | 1.434e+01      | 1.467e-06         | momentum | 8.314e+02     | 1.692e+06     | True              
20 | 0 | 1.436e+01      | 6.655e-06         | momentum | 8.402e+02     | 1.719e+06     | True              
21 | 0 | 1.460e+01      | 1.699e-05         | momentum | 9.904e+02     | 2.200e+06     | True              
22 | 0 | 1.485e+01      | 1.433e-06         | momentum | 1.168e+03     | 2.818e+06     | True              
23 | 0 | 1.509e+01      | 1.805e-06         | momentum | 1.372e+03     | 3.585e+06     | True              
24 | 0 | 1.550e+01      | 1.554e-06         | momentum | 1.801e+03     | 5.394e+06     | True              
25 | 0 | 1.555e+01      | 1.472e-06         | momentum | 1.863e+03     | 5.678e+06     | True              
26 | 0 | 1.576e+01      | 1.094e-05         | momentum | 2.146e+03     | 7.017e+06     | True              
27 | 0 | 1.597e+01      | 1.660e-06         | momentum | 2.464e+03     | 8.631e+06     | True              
28 | 0 | 1.617e+01      | 1.376e-06         | momentum | 2.816e+03     | 1.055e+07     | True              
29 | 0 | 1.650e+01      | 1.477e-06         | momentum | 3.506e+03     | 1.465e+07     | True              
30 | 0 | 1.656e+01      | 1.471e-06         | momentum | 3.640e+03     | 1.550e+07     | True              
31 | 0 | 1.665e+01      | 9.875e-06         | momentum | 3.866e+03     | 1.697e+07     | True              
32 | 0 | 1.674e+01      | 5.095e-06         | momentum | 4.120e+03     | 1.867e+07     | True              
33 | 0 | 1.684e+01      | 2.065e-06         | momentum | 4.385e+03     | 2.050e+07     | True              
34 | 0 | 1.692e+01      | 2.960e-06         | momentum | 4.627e+03     | 2.222e+07     | True              
35 | 0 | 1.700e+01      | 5.812e-06         | momentum | 4.888e+03     | 2.412e+07     | True              
36 | 0 | 1.708e+01      | 4.404e-06         | momentum | 5.165e+03     | 2.620e+07     | True              
37 | 0 | 1.709e+01      | 1.055e-05         | momentum | 5.187e+03     | 2.636e+07     | True              
38 | 0 | 1.708e+01      | 7.554e-06         | momentum | 5.173e+03     | 2.626e+07     | True              
39 | 0 | 1.718e+01      | 1.218e-05         | momentum | 5.516e+03     | 2.892e+07     | True              
40 | 0 | 1.728e+01      | 1.166e-05         | momentum | 5.898e+03     | 3.197e+07     | True              
41 | 0 | 1.746e+01      | 1.317e-05         | momentum | 6.666e+03     | 3.842e+07     | True              
42 | 0 | 1.756e+01      | 1.717e-05         | momentum | 7.125e+03     | 4.245e+07     | True              
43 | 0 | 1.758e+01      | 1.796e-05         | momentum | 7.206e+03     | 4.318e+07     | True              
44 | 0 | 1.775e+01      | 2.116e-05         | momentum | 8.069e+03     | 5.116e+07     | True              
45 | 0 | 1.784e+01      | 2.413e-05         | momentum | 8.585e+03     | 5.615e+07     | True              
46 | 0 | 1.798e+01      | 1.426e-06         | momentum | 9.389e+03     | 6.422e+07     | True              
47 | 0 | 1.803e+01      | 3.707e-06         | momentum | 9.704e+03     | 6.747e+07     | True              
48 | 0 | 1.805e+01      | 1.507e-06         | momentum | 9.863e+03     | 6.914e+07     | True              
49 | 0 | 1.810e+01      | 1.113e-05         | momentum | 1.017e+04     | 7.237e+07     | True              
50 | 0 | 1.815e+01      | 1.259e-05         | momentum | 1.050e+04     | 7.594e+07     | True              

