Shannon - posicion
--------------------------------------------------------------------------------------------------------------
Z  | Q | ShannonEntropy | integration_error | space    | EntropicPower | ShannonLenght | TwoElectronDensity
--------------------------------------------------------------------------------------------------------------
1  | 0 | 4.145e+00      | 1.379e-10         | position | 9.280e-01     | 6.310e+01     | False             
2  | 0 | 2.699e+00      | 2.733e-13         | position | 3.539e-01     | 1.486e+01     | False             
3  | 0 | 3.701e+00      | 6.100e-11         | position | 6.906e-01     | 4.051e+01     | False             
4  | 0 | 3.624e+00      | 4.584e-10         | position | 6.558e-01     | 3.748e+01     | False             
5  | 0 | 3.405e+00      | 1.191e-10         | position | 5.669e-01     | 3.013e+01     | False             
6  | 0 | 3.106e+00      | 4.789e-11         | position | 4.643e-01     | 2.233e+01     | False             
7  | 0 | 2.802e+00      | 2.984e-10         | position | 3.791e-01     | 1.647e+01     | False             
8  | 0 | 2.551e+00      | 1.537e-10         | position | 3.206e-01     | 1.281e+01     | False             
9  | 0 | 2.299e+00      | 2.333e-10         | position | 2.711e-01     | 9.963e+00     | False             
10 | 0 | 2.055e+00      | 1.188e-10         | position | 2.304e-01     | 7.808e+00     | False             
11 | 0 | 2.330e+00      | 7.991e-11         | position | 2.768e-01     | 1.028e+01     | False             
12 | 0 | 2.395e+00      | 1.464e-10         | position | 2.891e-01     | 1.097e+01     | False             
13 | 0 | 2.446e+00      | 2.069e-10         | position | 2.990e-01     | 1.154e+01     | False             
14 | 0 | 2.419e+00      | 1.704e-10         | position | 2.937e-01     | 1.124e+01     | False             
15 | 0 | 2.359e+00      | 1.355e-10         | position | 2.822e-01     | 1.058e+01     | False             
16 | 0 | 2.299e+00      | 1.328e-10         | position | 2.712e-01     | 9.967e+00     | False             
17 | 0 | 2.222e+00      | 8.576e-11         | position | 2.575e-01     | 9.223e+00     | False             
18 | 0 | 2.134e+00      | 2.499e-10         | position | 2.428e-01     | 8.447e+00     | False             
19 | 0 | 2.302e+00      | 1.656e-10         | position | 2.716e-01     | 9.992e+00     | False             
20 | 0 | 2.363e+00      | 1.576e-10         | position | 2.829e-01     | 1.062e+01     | False             
21 | 0 | 2.298e+00      | 2.913e-10         | position | 2.710e-01     | 9.955e+00     | False             
22 | 0 | 2.219e+00      | 2.743e-10         | position | 2.570e-01     | 9.194e+00     | False             
23 | 0 | 2.135e+00      | 1.296e-10         | position | 2.431e-01     | 8.458e+00     | False             
24 | 0 | 1.956e+00      | 4.502e-11         | position | 2.157e-01     | 7.070e+00     | False             
25 | 0 | 1.963e+00      | 9.754e-11         | position | 2.166e-01     | 7.118e+00     | False             
26 | 0 | 1.882e+00      | 5.495e-11         | position | 2.053e-01     | 6.568e+00     | False             
27 | 0 | 1.800e+00      | 1.871e-10         | position | 1.944e-01     | 6.050e+00     | False             
28 | 0 | 1.718e+00      | 1.592e-10         | position | 1.841e-01     | 5.575e+00     | False             
29 | 0 | 1.563e+00      | 1.226e-10         | position | 1.660e-01     | 4.774e+00     | False             
30 | 0 | 1.556e+00      | 1.713e-10         | position | 1.652e-01     | 4.741e+00     | False             
31 | 0 | 1.574e+00      | 8.340e-11         | position | 1.673e-01     | 4.828e+00     | False             
32 | 0 | 1.567e+00      | 1.147e-10         | position | 1.665e-01     | 4.795e+00     | False             
33 | 0 | 1.550e+00      | 1.420e-10         | position | 1.645e-01     | 4.711e+00     | False             
34 | 0 | 1.534e+00      | 1.861e-10         | position | 1.628e-01     | 4.638e+00     | False             
35 | 0 | 1.511e+00      | 1.107e-10         | position | 1.603e-01     | 4.530e+00     | False             
36 | 0 | 1.481e+00      | 1.047e-10         | position | 1.572e-01     | 4.399e+00     | False             
37 | 0 | 1.576e+00      | 2.019e-10         | position | 1.675e-01     | 4.837e+00     | False             
38 | 0 | 1.621e+00      | 2.083e-10         | position | 1.726e-01     | 5.060e+00     | False             
39 | 0 | 1.614e+00      | 8.314e-11         | position | 1.718e-01     | 5.025e+00     | False             
40 | 0 | 1.595e+00      | 3.570e-11         | position | 1.695e-01     | 4.927e+00     | False             
41 | 0 | 1.525e+00      | 8.387e-11         | position | 1.618e-01     | 4.595e+00     | False             
42 | 0 | 1.491e+00      | 3.340e-11         | position | 1.582e-01     | 4.442e+00     | False             
43 | 0 | 1.508e+00      | 3.618e-11         | position | 1.600e-01     | 4.516e+00     | False             
44 | 0 | 1.430e+00      | 6.643e-11         | position | 1.519e-01     | 4.181e+00     | False             
45 | 0 | 1.396e+00      | 3.693e-11         | position | 1.485e-01     | 4.040e+00     | False             
46 | 0 | 1.305e+00      | 1.824e-10         | position | 1.397e-01     | 3.687e+00     | False             
47 | 0 | 1.323e+00      | 1.650e-10         | position | 1.415e-01     | 3.756e+00     | False             
48 | 0 | 1.331e+00      | 1.271e-10         | position | 1.422e-01     | 3.786e+00     | False             
49 | 0 | 1.352e+00      | 4.268e-11         | position | 1.442e-01     | 3.865e+00     | False             
50 | 0 | 1.357e+00      | 7.222e-11         | position | 1.447e-01     | 3.885e+00     | False             

