Shannon - posicion (2e)- atom: {atom.Symbol}
--------------------------------------------------------------------------------------------------------------
Z  | Q | ShannonEntropy | integration_error | space    | EntropicPower | ShannonLenght | TwoElectronDensity
--------------------------------------------------------------------------------------------------------------
2  | 0 | 5.397e+00      | 1.343e-06         | position | 2.139e+00     | 2.207e+02     | True              
3  | 0 | 7.256e+00      | 1.403e-06         | position | 7.386e+00     | 1.417e+03     | True              
4  | 0 | 7.199e+00      | 9.665e-06         | position | 7.110e+00     | 1.338e+03     | True              
5  | 0 | 6.785e+00      | 6.312e-06         | position | 5.394e+00     | 8.843e+02     | True              
6  | 0 | 6.196e+00      | 1.223e-06         | position | 3.643e+00     | 4.907e+02     | True              
7  | 0 | 5.593e+00      | 1.163e-06         | position | 2.436e+00     | 2.684e+02     | True              
8  | 0 | 5.093e+00      | 1.435e-06         | position | 1.747e+00     | 1.629e+02     | True              
9  | 0 | 4.592e+00      | 1.485e-06         | position | 1.250e+00     | 9.868e+01     | True              
10 | 0 | 4.106e+00      | 1.311e-06         | position | 9.043e-01     | 6.069e+01     | True              
11 | 0 | 4.650e+00      | 4.425e-06         | position | 1.300e+00     | 1.046e+02     | True              
12 | 0 | 4.784e+00      | 4.705e-06         | position | 1.422e+00     | 1.196e+02     | True              
13 | 0 | 4.886e+00      | 3.261e-06         | position | 1.521e+00     | 1.324e+02     | True              
14 | 0 | 4.834e+00      | 1.333e-06         | position | 1.469e+00     | 1.257e+02     | True              
15 | 0 | 4.714e+00      | 1.430e-06         | position | 1.357e+00     | 1.115e+02     | True              
16 | 0 | 4.595e+00      | 1.178e-06         | position | 1.253e+00     | 9.903e+01     | True              
17 | 0 | 4.441e+00      | 3.942e-06         | position | 1.130e+00     | 8.483e+01     | True              
18 | 0 | 4.265e+00      | 4.213e-06         | position | 1.006e+00     | 7.118e+01     | True              
19 | 0 | 4.600e+00      | 1.456e-06         | position | 1.257e+00     | 9.944e+01     | True              
20 | 0 | 4.723e+00      | 4.067e-06         | position | 1.365e+00     | 1.125e+02     | True              
21 | 0 | 4.594e+00      | 5.408e-06         | position | 1.252e+00     | 9.885e+01     | True              
22 | 0 | 4.435e+00      | 2.142e-06         | position | 1.126e+00     | 8.434e+01     | True              
23 | 0 | 4.268e+00      | 2.678e-06         | position | 1.008e+00     | 7.139e+01     | True              
24 | 0 | 3.910e+00      | 3.770e-06         | position | 7.936e-01     | 4.991e+01     | True              
25 | 0 | 3.923e+00      | 2.262e-06         | position | 8.007e-01     | 5.058e+01     | True              
26 | 0 | 3.763e+00      | 3.115e-06         | position | 7.194e-01     | 4.307e+01     | True              
27 | 0 | 3.599e+00      | 2.928e-06         | position | 6.448e-01     | 3.655e+01     | True              
28 | 0 | 3.435e+00      | 4.009e-06         | position | 5.783e-01     | 3.104e+01     | True              
29 | 0 | 3.125e+00      | 3.917e-06         | position | 4.703e-01     | 2.277e+01     | True              
30 | 0 | 3.111e+00      | 1.687e-06         | position | 4.660e-01     | 2.245e+01     | True              
31 | 0 | 3.148e+00      | 4.099e-06         | position | 4.774e-01     | 2.329e+01     | True              
32 | 0 | 3.134e+00      | 4.254e-06         | position | 4.731e-01     | 2.297e+01     | True              
33 | 0 | 3.099e+00      | 1.541e-06         | position | 4.620e-01     | 2.217e+01     | True              
34 | 0 | 3.068e+00      | 2.900e-06         | position | 4.526e-01     | 2.149e+01     | True              
35 | 0 | 3.020e+00      | 1.459e-06         | position | 4.386e-01     | 2.050e+01     | True              
36 | 0 | 2.962e+00      | 2.661e-06         | position | 4.218e-01     | 1.934e+01     | True              
37 | 0 | 3.151e+00      | 1.472e-06         | position | 4.786e-01     | 2.337e+01     | True              
38 | 0 | 3.242e+00      | 2.593e-06         | position | 5.083e-01     | 2.558e+01     | True              
39 | 0 | 3.228e+00      | 3.405e-06         | position | 5.036e-01     | 2.523e+01     | True              
40 | 0 | 3.188e+00      | 3.771e-06         | position | 4.905e-01     | 2.425e+01     | True              
41 | 0 | 3.049e+00      | 3.041e-06         | position | 4.470e-01     | 2.110e+01     | True              
42 | 0 | 2.982e+00      | 4.971e-06         | position | 4.274e-01     | 1.972e+01     | True              
43 | 0 | 3.015e+00      | 2.585e-06         | position | 4.369e-01     | 2.038e+01     | True              
44 | 0 | 2.860e+00      | 1.456e-06         | position | 3.942e-01     | 1.747e+01     | True              
45 | 0 | 2.792e+00      | 1.729e-06         | position | 3.766e-01     | 1.632e+01     | True              
46 | 0 | 2.609e+00      | 1.455e-06         | position | 3.334e-01     | 1.359e+01     | True              
47 | 0 | 2.646e+00      | 1.471e-06         | position | 3.418e-01     | 1.410e+01     | True              
48 | 0 | 2.662e+00      | 2.745e-06         | position | 3.454e-01     | 1.433e+01     | True              
49 | 0 | 2.703e+00      | 1.963e-06         | position | 3.550e-01     | 1.493e+01     | True              
50 | 0 | 2.714e+00      | 3.591e-06         | position | 3.574e-01     | 1.508e+01     | True              

