JRD momento - alpha=0.900 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JRD       | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 9.000e-01 | 3.989e-03 | 2.617e-07         | momentum
7.000e+00 | -1.000e+00 | 9.000e-01 | 2.892e-03 | 2.636e-07         | momentum
8.000e+00 | -1.000e+00 | 9.000e-01 | 2.161e-03 | 1.475e-07         | momentum
9.000e+00 | -1.000e+00 | 9.000e-01 | 1.660e-03 | 1.485e-07         | momentum
1.100e+01 | -1.000e+00 | 9.000e-01 | 1.571e-03 | 2.414e-07         | momentum
1.300e+01 | -1.000e+00 | 9.000e-01 | 1.221e-03 | 2.103e-07         | momentum
1.400e+01 | -1.000e+00 | 9.000e-01 | 1.085e-03 | 1.514e-07         | momentum
1.500e+01 | -1.000e+00 | 9.000e-01 | 9.761e-04 | 4.005e-07         | momentum
1.600e+01 | -1.000e+00 | 9.000e-01 | 8.841e-04 | 4.262e-07         | momentum
1.700e+01 | -1.000e+00 | 9.000e-01 | 8.057e-04 | 3.168e-07         | momentum
1.900e+01 | -1.000e+00 | 9.000e-01 | 7.967e-04 | 5.232e-07         | momentum
2.100e+01 | -1.000e+00 | 9.000e-01 | 6.623e-04 | 1.823e-07         | momentum
2.200e+01 | -1.000e+00 | 9.000e-01 | 6.056e-04 | 7.050e-07         | momentum
2.300e+01 | -1.000e+00 | 9.000e-01 | 5.551e-04 | 2.677e-07         | momentum
2.400e+01 | -1.000e+00 | 9.000e-01 | 5.103e-04 | 2.795e-07         | momentum
2.500e+01 | -1.000e+00 | 9.000e-01 | 4.709e-04 | 3.056e-07         | momentum
2.600e+01 | -1.000e+00 | 9.000e-01 | 4.357e-04 | 7.509e-07         | momentum
2.700e+01 | -1.000e+00 | 9.000e-01 | 4.043e-04 | 4.152e-07         | momentum
2.800e+01 | -1.000e+00 | 9.000e-01 | 3.762e-04 | 3.716e-07         | momentum
2.900e+01 | -1.000e+00 | 9.000e-01 | 3.508e-04 | 2.918e-07         | momentum
3.200e+01 | -1.000e+00 | 9.000e-01 | 2.996e-04 | 1.417e-07         | momentum
3.100e+01 | -1.000e+00 | 9.000e-01 | 3.151e-04 | 5.909e-07         | momentum
3.300e+01 | -1.000e+00 | 9.000e-01 | 2.861e-04 | 5.567e-07         | momentum
3.500e+01 | -1.000e+00 | 9.000e-01 | 2.626e-04 | 8.505e-07         | momentum
3.400e+01 | -1.000e+00 | 9.000e-01 | 2.739e-04 | 4.796e-07         | momentum
4.000e+01 | -1.000e+00 | 9.000e-01 | 2.339e-04 | 4.927e-07         | momentum
4.100e+01 | -1.000e+00 | 9.000e-01 | 2.254e-04 | 6.934e-07         | momentum
3.700e+01 | -1.000e+00 | 9.000e-01 | 2.643e-04 | 4.985e-07         | momentum
4.300e+01 | -1.000e+00 | 9.000e-01 | 2.093e-04 | 2.890e-07         | momentum
4.400e+01 | -1.000e+00 | 9.000e-01 | 2.018e-04 | 2.758e-07         | momentum
4.200e+01 | -1.000e+00 | 9.000e-01 | 2.200e-04 | 9.428e-07         | momentum
4.500e+01 | -1.000e+00 | 9.000e-01 | 1.948e-04 | 7.416e-07         | momentum
3.900e+01 | -1.000e+00 | 9.000e-01 | 2.440e-04 | 4.593e-07         | momentum
4.600e+01 | -1.000e+00 | 9.000e-01 | 1.881e-04 | 3.992e-07         | momentum
4.700e+01 | -1.000e+00 | 9.000e-01 | 1.817e-04 | 2.705e-07         | momentum
4.900e+01 | -1.000e+00 | 9.000e-01 | 1.707e-04 | 1.468e-07         | momentum
5.000e+01 | -1.000e+00 | 9.000e-01 | 1.659e-04 | 1.624e-07         | momentum
5.200e+01 | -1.000e+00 | 9.000e-01 | 1.570e-04 | 6.936e-07         | momentum
5.100e+01 | -1.000e+00 | 9.000e-01 | 1.614e-04 | 1.481e-07         | momentum
5.300e+01 | -1.000e+00 | 9.000e-01 | 1.534e-04 | 2.609e-07         | momentum

