JRD momento - alpha=0.900 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 9.000e-01 | 2.164e-02 | 2.492e-07         | momentum
4.000e+00 | 0.000e+00 | 9.000e-01 | 1.261e-02 | 1.480e-07         | momentum
5.000e+00 | 0.000e+00 | 9.000e-01 | 7.482e-03 | 2.502e-07         | momentum
6.000e+00 | 0.000e+00 | 9.000e-01 | 4.880e-03 | 2.360e-07         | momentum
7.000e+00 | 0.000e+00 | 9.000e-01 | 3.392e-03 | 2.554e-07         | momentum
8.000e+00 | 0.000e+00 | 9.000e-01 | 2.499e-03 | 1.471e-07         | momentum
9.000e+00 | 0.000e+00 | 9.000e-01 | 1.898e-03 | 1.475e-07         | momentum
1.000e+01 | 0.000e+00 | 9.000e-01 | 1.477e-03 | 1.479e-07         | momentum
1.200e+01 | 0.000e+00 | 9.000e-01 | 1.493e-03 | 3.347e-07         | momentum
1.100e+01 | 0.000e+00 | 9.000e-01 | 1.884e-03 | 1.479e-07         | momentum
1.300e+01 | 0.000e+00 | 9.000e-01 | 1.297e-03 | 1.437e-07         | momentum
1.400e+01 | 0.000e+00 | 9.000e-01 | 1.149e-03 | 1.967e-07         | momentum
1.500e+01 | 0.000e+00 | 9.000e-01 | 1.030e-03 | 5.992e-07         | momentum
1.600e+01 | 0.000e+00 | 9.000e-01 | 9.308e-04 | 3.580e-07         | momentum
1.700e+01 | 0.000e+00 | 9.000e-01 | 8.471e-04 | 5.121e-07         | momentum
1.800e+01 | 0.000e+00 | 9.000e-01 | 7.753e-04 | 6.331e-07         | momentum
1.900e+01 | 0.000e+00 | 9.000e-01 | 8.539e-04 | 6.473e-07         | momentum
2.000e+01 | 0.000e+00 | 9.000e-01 | 7.735e-04 | 1.471e-07         | momentum
2.100e+01 | 0.000e+00 | 9.000e-01 | 7.038e-04 | 3.360e-07         | momentum
2.200e+01 | 0.000e+00 | 9.000e-01 | 6.422e-04 | 4.807e-07         | momentum
2.300e+01 | 0.000e+00 | 9.000e-01 | 5.878e-04 | 1.486e-07         | momentum
2.500e+01 | 0.000e+00 | 9.000e-01 | 4.975e-04 | 3.787e-07         | momentum
2.400e+01 | 0.000e+00 | 9.000e-01 | 5.467e-04 | 1.484e-07         | momentum
2.600e+01 | 0.000e+00 | 9.000e-01 | 4.599e-04 | 3.799e-07         | momentum
2.700e+01 | 0.000e+00 | 9.000e-01 | 4.264e-04 | 4.008e-07         | momentum
2.800e+01 | 0.000e+00 | 9.000e-01 | 3.964e-04 | 2.866e-07         | momentum
2.900e+01 | 0.000e+00 | 9.000e-01 | 3.842e-04 | 2.528e-07         | momentum
3.000e+01 | 0.000e+00 | 9.000e-01 | 3.451e-04 | 1.706e-07         | momentum
3.100e+01 | 0.000e+00 | 9.000e-01 | 3.243e-04 | 6.612e-07         | momentum
3.200e+01 | 0.000e+00 | 9.000e-01 | 3.075e-04 | 1.480e-07         | momentum
3.300e+01 | 0.000e+00 | 9.000e-01 | 2.931e-04 | 8.926e-07         | momentum
3.400e+01 | 0.000e+00 | 9.000e-01 | 2.802e-04 | 6.573e-07         | momentum
3.500e+01 | 0.000e+00 | 9.000e-01 | 2.686e-04 | 5.185e-07         | momentum
3.600e+01 | 0.000e+00 | 9.000e-01 | 2.575e-04 | 6.986e-07         | momentum
3.700e+01 | 0.000e+00 | 9.000e-01 | 2.741e-04 | 2.153e-07         | momentum
3.800e+01 | 0.000e+00 | 9.000e-01 | 2.601e-04 | 6.946e-07         | momentum
4.000e+01 | 0.000e+00 | 9.000e-01 | 2.399e-04 | 7.868e-07         | momentum
4.100e+01 | 0.000e+00 | 9.000e-01 | 2.310e-04 | 5.490e-07         | momentum
4.300e+01 | 0.000e+00 | 9.000e-01 | 2.144e-04 | 1.655e-07         | momentum
3.900e+01 | 0.000e+00 | 9.000e-01 | 2.491e-04 | 6.632e-07         | momentum
4.200e+01 | 0.000e+00 | 9.000e-01 | 2.261e-04 | 5.982e-07         | momentum
4.600e+01 | 0.000e+00 | 9.000e-01 | 1.759e-04 | 1.487e-07         | momentum
4.500e+01 | 0.000e+00 | 9.000e-01 | 2.023e-04 | 5.568e-07         | momentum
4.400e+01 | 0.000e+00 | 9.000e-01 | 2.088e-04 | 9.851e-07         | momentum
4.700e+01 | 0.000e+00 | 9.000e-01 | 1.902e-04 | 2.976e-07         | momentum
4.800e+01 | 0.000e+00 | 9.000e-01 | 1.800e-04 | 1.001e-06         | momentum
5.000e+01 | 0.000e+00 | 9.000e-01 | 1.684e-04 | 1.022e-06         | momentum
5.200e+01 | 0.000e+00 | 9.000e-01 | 1.592e-04 | 9.469e-07         | momentum
4.900e+01 | 0.000e+00 | 9.000e-01 | 1.736e-04 | 1.488e-07         | momentum
5.100e+01 | 0.000e+00 | 9.000e-01 | 1.637e-04 | 1.490e-07         | momentum
5.300e+01 | 0.000e+00 | 9.000e-01 | 1.554e-04 | 2.392e-07         | momentum
5.400e+01 | 0.000e+00 | 9.000e-01 | 1.517e-04 | 5.933e-07         | momentum

