JRD momento - alpha=1.000 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 1.000e+00 | 5.683e-03 | 1.450e-07         | momentum
7.000e+00 | 1.000e+00 | 1.000e+00 | 3.243e-03 | 1.476e-07         | momentum
8.000e+00 | 1.000e+00 | 1.000e+00 | 2.047e-03 | 1.461e-07         | momentum
9.000e+00 | 1.000e+00 | 1.000e+00 | 1.378e-03 | 1.365e-07         | momentum
1.000e+01 | 1.000e+00 | 1.000e+00 | 9.758e-04 | 1.465e-07         | momentum
1.100e+01 | 1.000e+00 | 1.000e+00 | 7.184e-04 | 1.387e-07         | momentum
1.200e+01 | 1.000e+00 | 1.000e+00 | 1.971e-03 | 1.485e-07         | momentum
1.300e+01 | 1.000e+00 | 1.000e+00 | 1.430e-03 | 1.443e-07         | momentum
1.400e+01 | 1.000e+00 | 1.000e+00 | 1.097e-03 | 1.266e-07         | momentum
1.500e+01 | 1.000e+00 | 1.000e+00 | 8.974e-04 | 1.417e-07         | momentum
1.600e+01 | 1.000e+00 | 1.000e+00 | 7.566e-04 | 1.475e-07         | momentum
1.800e+01 | 1.000e+00 | 1.000e+00 | 5.652e-04 | 1.478e-07         | momentum
1.700e+01 | 1.000e+00 | 1.000e+00 | 6.489e-04 | 1.487e-07         | momentum
1.900e+01 | 1.000e+00 | 1.000e+00 | 4.985e-04 | 1.388e-07         | momentum
2.000e+01 | 1.000e+00 | 1.000e+00 | 7.834e-04 | 1.476e-07         | momentum
2.300e+01 | 1.000e+00 | 1.000e+00 | 2.872e-04 | 1.487e-07         | momentum
2.200e+01 | 1.000e+00 | 1.000e+00 | 6.159e-04 | 1.487e-07         | momentum
2.400e+01 | 1.000e+00 | 1.000e+00 | 2.539e-04 | 1.355e-07         | momentum
2.100e+01 | 1.000e+00 | 1.000e+00 | 6.894e-04 | 1.451e-07         | momentum
2.700e+01 | 1.000e+00 | 1.000e+00 | 1.813e-04 | 1.460e-07         | momentum
2.500e+01 | 1.000e+00 | 1.000e+00 | 4.569e-04 | 1.474e-07         | momentum
2.800e+01 | 1.000e+00 | 1.000e+00 | 1.637e-04 | 1.454e-07         | momentum
2.900e+01 | 1.000e+00 | 1.000e+00 | 1.483e-04 | 1.484e-07         | momentum
2.600e+01 | 1.000e+00 | 1.000e+00 | 4.200e-04 | 1.487e-07         | momentum
3.000e+01 | 1.000e+00 | 1.000e+00 | 3.143e-04 | 1.490e-07         | momentum
3.500e+01 | 1.000e+00 | 1.000e+00 | 1.849e-04 | 1.473e-07         | momentum
3.100e+01 | 1.000e+00 | 1.000e+00 | 2.688e-04 | 1.470e-07         | momentum
3.200e+01 | 1.000e+00 | 1.000e+00 | 2.352e-04 | 1.416e-07         | momentum
3.400e+01 | 1.000e+00 | 1.000e+00 | 1.983e-04 | 1.418e-07         | momentum
3.300e+01 | 1.000e+00 | 1.000e+00 | 2.143e-04 | 1.469e-07         | momentum
3.600e+01 | 1.000e+00 | 1.000e+00 | 1.735e-04 | 1.477e-07         | momentum
3.700e+01 | 1.000e+00 | 1.000e+00 | 1.634e-04 | 1.457e-07         | momentum
3.800e+01 | 1.000e+00 | 1.000e+00 | 2.312e-04 | 1.422e-07         | momentum
4.100e+01 | 1.000e+00 | 1.000e+00 | 1.273e-04 | 1.440e-07         | momentum
4.200e+01 | 1.000e+00 | 1.000e+00 | 1.200e-04 | 1.473e-07         | momentum
3.900e+01 | 1.000e+00 | 1.000e+00 | 2.199e-04 | 1.472e-07         | momentum
4.000e+01 | 1.000e+00 | 1.000e+00 | 2.013e-04 | 1.486e-07         | momentum
4.400e+01 | 1.000e+00 | 1.000e+00 | 1.074e-04 | 1.466e-07         | momentum
4.500e+01 | 1.000e+00 | 1.000e+00 | 1.019e-04 | 1.480e-07         | momentum
4.700e+01 | 1.000e+00 | 1.000e+00 | 9.220e-05 | 1.454e-07         | momentum
4.300e+01 | 1.000e+00 | 1.000e+00 | 1.722e-04 | 1.485e-07         | momentum
4.600e+01 | 1.000e+00 | 1.000e+00 | 9.675e-05 | 1.480e-07         | momentum
4.800e+01 | 1.000e+00 | 1.000e+00 | 1.438e-04 | 1.487e-07         | momentum
4.900e+01 | 1.000e+00 | 1.000e+00 | 1.345e-04 | 1.473e-07         | momentum
5.000e+01 | 1.000e+00 | 1.000e+00 | 1.234e-04 | 1.457e-07         | momentum
5.100e+01 | 1.000e+00 | 1.000e+00 | 1.164e-04 | 1.458e-07         | momentum
5.200e+01 | 1.000e+00 | 1.000e+00 | 1.109e-04 | 1.471e-07         | momentum
5.300e+01 | 1.000e+00 | 1.000e+00 | 1.063e-04 | 1.373e-07         | momentum
5.400e+01 | 1.000e+00 | 1.000e+00 | 1.022e-04 | 1.440e-07         | momentum
5.500e+01 | 1.000e+00 | 1.000e+00 | 9.853e-05 | 1.486e-07         | momentum

