JRD momento - alpha=2.000 -ani
---------------------------------------------------------------------------------
Z         | Q          | alpha     | JRD        | integration_error | space   
---------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.000e+00 | -1.540e-03 | 1.484e-07         | momentum
7.000e+00 | -1.000e+00 | 2.000e+00 | -7.888e-04 | 1.478e-07         | momentum
8.000e+00 | -1.000e+00 | 2.000e+00 | -4.573e-04 | 1.389e-07         | momentum
9.000e+00 | -1.000e+00 | 2.000e+00 | -2.829e-04 | 1.458e-07         | momentum
1.100e+01 | -1.000e+00 | 2.000e+00 | -7.934e-02 | 1.485e-07         | momentum
1.300e+01 | -1.000e+00 | 2.000e+00 | -9.357e-03 | 1.443e-07         | momentum
1.400e+01 | -1.000e+00 | 2.000e+00 | -5.035e-03 | 1.447e-07         | momentum
1.500e+01 | -1.000e+00 | 2.000e+00 | -3.002e-03 | 1.490e-07         | momentum
1.600e+01 | -1.000e+00 | 2.000e+00 | -1.929e-03 | 1.472e-07         | momentum
1.700e+01 | -1.000e+00 | 2.000e+00 | -1.305e-03 | 1.486e-07         | momentum
1.900e+01 | -1.000e+00 | 2.000e+00 | -7.266e-02 | 1.488e-07         | momentum
2.100e+01 | -1.000e+00 | 2.000e+00 | -5.648e-02 | 1.448e-07         | momentum
2.200e+01 | -1.000e+00 | 2.000e+00 | -5.886e-02 | 1.487e-07         | momentum
2.300e+01 | -1.000e+00 | 2.000e+00 | -5.985e-02 | 1.472e-07         | momentum
2.400e+01 | -1.000e+00 | 2.000e+00 | -6.130e-02 | 1.448e-07         | momentum
2.500e+01 | -1.000e+00 | 2.000e+00 | -5.932e-02 | 1.489e-07         | momentum
2.600e+01 | -1.000e+00 | 2.000e+00 | -5.854e-02 | 1.488e-07         | momentum
2.700e+01 | -1.000e+00 | 2.000e+00 | -5.803e-02 | 1.434e-07         | momentum
2.800e+01 | -1.000e+00 | 2.000e+00 | -5.770e-02 | 1.458e-07         | momentum
3.100e+01 | -1.000e+00 | 2.000e+00 | -9.477e-03 | 1.125e-07         | momentum
2.900e+01 | -1.000e+00 | 2.000e+00 | -5.790e-02 | 1.479e-07         | momentum
3.300e+01 | -1.000e+00 | 2.000e+00 | -3.524e-03 | 1.480e-07         | momentum
3.200e+01 | -1.000e+00 | 2.000e+00 | -5.244e-03 | 1.456e-07         | momentum
3.400e+01 | -1.000e+00 | 2.000e+00 | -2.487e-03 | 1.423e-07         | momentum
3.500e+01 | -1.000e+00 | 2.000e+00 | -1.826e-03 | 1.472e-07         | momentum
3.700e+01 | -1.000e+00 | 2.000e+00 | -6.917e-02 | 1.489e-07         | momentum
4.000e+01 | -1.000e+00 | 2.000e+00 | -3.519e-02 | 1.484e-07         | momentum
3.900e+01 | -1.000e+00 | 2.000e+00 | -1.745e-02 | 1.488e-07         | momentum
4.100e+01 | -1.000e+00 | 2.000e+00 | -3.522e-02 | 1.458e-07         | momentum
4.300e+01 | -1.000e+00 | 2.000e+00 | -3.322e-02 | 1.484e-07         | momentum
4.200e+01 | -1.000e+00 | 2.000e+00 | -3.623e-02 | 1.418e-07         | momentum
4.400e+01 | -1.000e+00 | 2.000e+00 | -3.206e-02 | 1.476e-07         | momentum
4.500e+01 | -1.000e+00 | 2.000e+00 | -3.151e-02 | 1.488e-07         | momentum
4.600e+01 | -1.000e+00 | 2.000e+00 | -3.133e-02 | 1.471e-07         | momentum
4.700e+01 | -1.000e+00 | 2.000e+00 | -3.182e-02 | 1.464e-07         | momentum
4.900e+01 | -1.000e+00 | 2.000e+00 | -5.759e-03 | 1.489e-07         | momentum
5.000e+01 | -1.000e+00 | 2.000e+00 | -3.333e-03 | 1.407e-07         | momentum
5.100e+01 | -1.000e+00 | 2.000e+00 | -2.502e-03 | 1.425e-07         | momentum
5.200e+01 | -1.000e+00 | 2.000e+00 | -1.904e-03 | 1.456e-07         | momentum
5.300e+01 | -1.000e+00 | 2.000e+00 | -1.485e-03 | 1.470e-07         | momentum

