JRD posicion - alpha=0.500 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JRD       | integration_error | space   
--------------------------------------------------------------------------------
8.000e+00 | -1.000e+00 | 5.000e-01 | 3.792e-04 | 1.567e-06         | position
9.000e+00 | -1.000e+00 | 5.000e-01 | 2.081e-04 | 2.976e-07         | position
7.000e+00 | -1.000e+00 | 5.000e-01 | 7.520e-04 | 7.963e-06         | position
6.000e+00 | -1.000e+00 | 5.000e-01 | 1.547e-03 | 4.317e-05         | position
1.100e+01 | -1.000e+00 | 5.000e-01 | 3.402e-02 | 8.207e-05         | position
1.500e+01 | -1.000e+00 | 5.000e-01 | 2.109e-03 | 1.381e-05         | position
1.600e+01 | -1.000e+00 | 5.000e-01 | 1.196e-03 | 3.537e-05         | position
1.400e+01 | -1.000e+00 | 5.000e-01 | 4.036e-03 | 2.616e-05         | position
1.700e+01 | -1.000e+00 | 5.000e-01 | 7.362e-04 | 1.963e-05         | position
1.300e+01 | -1.000e+00 | 5.000e-01 | 1.512e-02 | 1.084e-04         | position
1.900e+01 | -1.000e+00 | 5.000e-01 | 3.266e-02 | 2.604e-04         | position
2.400e+01 | -1.000e+00 | 5.000e-01 | 2.581e-02 | 7.632e-05         | position
2.600e+01 | -1.000e+00 | 5.000e-01 | 2.494e-02 | 9.492e-05         | position
2.700e+01 | -1.000e+00 | 5.000e-01 | 2.492e-02 | 4.918e-05         | position
2.200e+01 | -1.000e+00 | 5.000e-01 | 2.421e-02 | 4.272e-05         | position
2.100e+01 | -1.000e+00 | 5.000e-01 | 2.235e-02 | 1.499e-04         | position
2.800e+01 | -1.000e+00 | 5.000e-01 | 2.498e-02 | 3.728e-05         | position
2.300e+01 | -1.000e+00 | 5.000e-01 | 2.496e-02 | 2.345e-07         | position
2.900e+01 | -1.000e+00 | 5.000e-01 | 2.523e-02 | 9.162e-06         | position
2.500e+01 | -1.000e+00 | 5.000e-01 | 2.510e-02 | 8.883e-05         | position
3.100e+01 | -1.000e+00 | 5.000e-01 | 1.749e-02 | 9.242e-05         | position
3.200e+01 | -1.000e+00 | 5.000e-01 | 4.720e-03 | 5.940e-06         | position
3.300e+01 | -1.000e+00 | 5.000e-01 | 2.606e-03 | 2.964e-05         | position
3.400e+01 | -1.000e+00 | 5.000e-01 | 1.572e-03 | 2.279e-05         | position
3.500e+01 | -1.000e+00 | 5.000e-01 | 1.028e-03 | 1.723e-06         | position
3.700e+01 | -1.000e+00 | 5.000e-01 | 3.209e-02 | 1.857e-04         | position
4.100e+01 | -1.000e+00 | 5.000e-01 | 1.980e-02 | 1.164e-04         | position
4.000e+01 | -1.000e+00 | 5.000e-01 | 1.867e-02 | 1.192e-04         | position
4.200e+01 | -1.000e+00 | 5.000e-01 | 2.096e-02 | 9.190e-05         | position
4.300e+01 | -1.000e+00 | 5.000e-01 | 2.050e-02 | 5.561e-05         | position
4.400e+01 | -1.000e+00 | 5.000e-01 | 2.066e-02 | 3.429e-05         | position
4.500e+01 | -1.000e+00 | 5.000e-01 | 2.097e-02 | 2.270e-05         | position
4.600e+01 | -1.000e+00 | 5.000e-01 | 2.136e-02 | 1.644e-05         | position
4.700e+01 | -1.000e+00 | 5.000e-01 | 2.192e-02 | 1.542e-05         | position
3.900e+01 | -1.000e+00 | 5.000e-01 | 2.179e-01 | 2.720e-04         | position
5.000e+01 | -1.000e+00 | 5.000e-01 | 3.862e-03 | 6.213e-06         | position
5.100e+01 | -1.000e+00 | 5.000e-01 | 2.263e-03 | 3.113e-05         | position
4.900e+01 | -1.000e+00 | 5.000e-01 | 1.300e-02 | 1.785e-05         | position
5.300e+01 | -1.000e+00 | 5.000e-01 | 9.582e-04 | 9.450e-06         | position
5.200e+01 | -1.000e+00 | 5.000e-01 | 1.422e-03 | 7.712e-07         | position

