JRD posicion - alpha=0.500 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
1.000e+01 | 1.000e+00 | 5.000e-01 | 1.752e-04 | 3.234e-06         | position
9.000e+00 | 1.000e+00 | 5.000e-01 | 2.943e-04 | 4.427e-07         | position
8.000e+00 | 1.000e+00 | 5.000e-01 | 5.299e-04 | 6.024e-06         | position
7.000e+00 | 1.000e+00 | 5.000e-01 | 1.178e-03 | 8.095e-06         | position
1.100e+01 | 1.000e+00 | 5.000e-01 | 1.105e-04 | 1.534e-06         | position
6.000e+00 | 1.000e+00 | 5.000e-01 | 3.319e-03 | 3.555e-06         | position
1.300e+01 | 1.000e+00 | 5.000e-01 | 1.837e-02 | 2.474e-06         | position
1.200e+01 | 1.000e+00 | 5.000e-01 | 2.664e-01 | 1.457e-05         | position
1.500e+01 | 1.000e+00 | 5.000e-01 | 3.882e-03 | 7.101e-06         | position
1.600e+01 | 1.000e+00 | 5.000e-01 | 1.991e-03 | 5.052e-06         | position
1.700e+01 | 1.000e+00 | 5.000e-01 | 1.213e-03 | 9.206e-06         | position
1.400e+01 | 1.000e+00 | 5.000e-01 | 9.566e-03 | 3.193e-06         | position
1.800e+01 | 1.000e+00 | 5.000e-01 | 7.788e-04 | 1.568e-06         | position
1.900e+01 | 1.000e+00 | 5.000e-01 | 5.249e-04 | 1.466e-07         | position
2.300e+01 | 1.000e+00 | 5.000e-01 | 9.763e-04 | 2.558e-06         | position
2.000e+01 | 1.000e+00 | 5.000e-01 | 1.423e-01 | 1.021e-05         | position
2.400e+01 | 1.000e+00 | 5.000e-01 | 5.868e-04 | 7.189e-06         | position
2.700e+01 | 1.000e+00 | 5.000e-01 | 2.307e-04 | 3.848e-06         | position
2.900e+01 | 1.000e+00 | 5.000e-01 | 1.377e-04 | 2.392e-06         | position
2.800e+01 | 1.000e+00 | 5.000e-01 | 1.770e-04 | 2.392e-06         | position
2.200e+01 | 1.000e+00 | 5.000e-01 | 5.707e-02 | 1.318e-05         | position
2.100e+01 | 1.000e+00 | 5.000e-01 | 6.717e-02 | 1.678e-05         | position
2.600e+01 | 1.000e+00 | 5.000e-01 | 4.271e-02 | 6.723e-06         | position
2.500e+01 | 1.000e+00 | 5.000e-01 | 4.635e-02 | 1.172e-05         | position
3.100e+01 | 1.000e+00 | 5.000e-01 | 9.014e-03 | 5.603e-06         | position
3.200e+01 | 1.000e+00 | 5.000e-01 | 8.086e-03 | 6.433e-06         | position
3.500e+01 | 1.000e+00 | 5.000e-01 | 1.387e-03 | 1.576e-06         | position
3.600e+01 | 1.000e+00 | 5.000e-01 | 9.642e-04 | 2.894e-06         | position
3.000e+01 | 1.000e+00 | 5.000e-01 | 4.271e-02 | 7.373e-06         | position
3.700e+01 | 1.000e+00 | 5.000e-01 | 6.968e-04 | 6.503e-06         | position
3.300e+01 | 1.000e+00 | 5.000e-01 | 3.630e-03 | 2.163e-06         | position
3.400e+01 | 1.000e+00 | 5.000e-01 | 2.067e-03 | 3.985e-07         | position
3.900e+01 | 1.000e+00 | 5.000e-01 | 1.183e-02 | 8.146e-06         | position
3.800e+01 | 1.000e+00 | 5.000e-01 | 1.003e-01 | 1.526e-05         | position
4.100e+01 | 1.000e+00 | 5.000e-01 | 1.223e-03 | 3.698e-06         | position
4.200e+01 | 1.000e+00 | 5.000e-01 | 7.706e-04 | 1.235e-06         | position
4.400e+01 | 1.000e+00 | 5.000e-01 | 4.174e-04 | 4.268e-07         | position
4.500e+01 | 1.000e+00 | 5.000e-01 | 3.199e-04 | 1.462e-07         | position
4.000e+01 | 1.000e+00 | 5.000e-01 | 2.270e-02 | 1.362e-05         | position
4.300e+01 | 1.000e+00 | 5.000e-01 | 1.894e-02 | 1.557e-06         | position
4.600e+01 | 1.000e+00 | 5.000e-01 | 2.513e-04 | 1.477e-07         | position
4.700e+01 | 1.000e+00 | 5.000e-01 | 2.007e-04 | 2.431e-07         | position
4.800e+01 | 1.000e+00 | 5.000e-01 | 2.519e-02 | 5.364e-06         | position
4.900e+01 | 1.000e+00 | 5.000e-01 | 6.014e-03 | 5.880e-06         | position
5.000e+01 | 1.000e+00 | 5.000e-01 | 5.738e-03 | 3.646e-06         | position
5.100e+01 | 1.000e+00 | 5.000e-01 | 2.804e-03 | 2.741e-06         | position
5.300e+01 | 1.000e+00 | 5.000e-01 | 1.181e-03 | 2.524e-06         | position
5.200e+01 | 1.000e+00 | 5.000e-01 | 1.683e-03 | 1.654e-06         | position
5.500e+01 | 1.000e+00 | 5.000e-01 | 6.370e-04 | 6.342e-06         | position
5.400e+01 | 1.000e+00 | 5.000e-01 | 8.532e-04 | 5.333e-07         | position

