JRD posicion - alpha=0.500 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD       | integration_error | space   
-------------------------------------------------------------------------------
4.000e+00 | 0.000e+00 | 5.000e-01 | 1.528e-02 | 4.308e-06         | position
3.000e+00 | 0.000e+00 | 5.000e-01 | 9.589e-01 | 2.482e-05         | position
1.000e+01 | 0.000e+00 | 5.000e-01 | 1.337e-04 | 2.144e-06         | position
9.000e+00 | 0.000e+00 | 5.000e-01 | 2.184e-04 | 2.699e-07         | position
8.000e+00 | 0.000e+00 | 5.000e-01 | 3.748e-04 | 6.697e-07         | position
7.000e+00 | 0.000e+00 | 5.000e-01 | 6.580e-04 | 5.873e-06         | position
6.000e+00 | 0.000e+00 | 5.000e-01 | 1.600e-03 | 5.605e-06         | position
5.000e+00 | 0.000e+00 | 5.000e-01 | 5.610e-03 | 1.514e-05         | position
1.100e+01 | 0.000e+00 | 5.000e-01 | 4.440e-01 | 2.527e-05         | position
1.200e+01 | 0.000e+00 | 5.000e-01 | 2.248e-02 | 2.890e-06         | position
1.500e+01 | 0.000e+00 | 5.000e-01 | 2.451e-03 | 1.256e-05         | position
1.700e+01 | 0.000e+00 | 5.000e-01 | 8.988e-04 | 3.425e-06         | position
1.600e+01 | 0.000e+00 | 5.000e-01 | 1.446e-03 | 6.039e-06         | position
1.800e+01 | 0.000e+00 | 5.000e-01 | 5.906e-04 | 1.627e-06         | position
1.300e+01 | 0.000e+00 | 5.000e-01 | 1.970e-02 | 4.460e-06         | position
1.400e+01 | 0.000e+00 | 5.000e-01 | 5.372e-03 | 2.940e-06         | position
1.900e+01 | 0.000e+00 | 5.000e-01 | 2.621e-01 | 5.789e-05         | position
2.000e+01 | 0.000e+00 | 5.000e-01 | 1.833e-02 | 3.040e-06         | position
2.700e+01 | 0.000e+00 | 5.000e-01 | 1.244e-02 | 2.194e-05         | position
2.400e+01 | 0.000e+00 | 5.000e-01 | 5.111e-02 | 4.232e-06         | position
2.200e+01 | 0.000e+00 | 5.000e-01 | 1.432e-02 | 4.820e-06         | position
2.600e+01 | 0.000e+00 | 5.000e-01 | 1.279e-02 | 1.070e-05         | position
2.100e+01 | 0.000e+00 | 5.000e-01 | 1.516e-02 | 1.335e-06         | position
2.300e+01 | 0.000e+00 | 5.000e-01 | 1.382e-02 | 2.526e-06         | position
2.800e+01 | 0.000e+00 | 5.000e-01 | 1.219e-02 | 1.928e-05         | position
2.900e+01 | 0.000e+00 | 5.000e-01 | 6.748e-02 | 3.941e-06         | position
2.500e+01 | 0.000e+00 | 5.000e-01 | 1.343e-02 | 2.129e-05         | position
3.000e+01 | 0.000e+00 | 5.000e-01 | 1.195e-02 | 1.121e-05         | position
3.500e+01 | 0.000e+00 | 5.000e-01 | 1.146e-03 | 3.663e-06         | position
3.100e+01 | 0.000e+00 | 5.000e-01 | 2.013e-02 | 1.083e-05         | position
3.200e+01 | 0.000e+00 | 5.000e-01 | 5.437e-03 | 4.474e-06         | position
3.600e+01 | 0.000e+00 | 5.000e-01 | 8.039e-04 | 5.158e-06         | position
3.300e+01 | 0.000e+00 | 5.000e-01 | 2.671e-03 | 1.227e-05         | position
3.400e+01 | 0.000e+00 | 5.000e-01 | 1.711e-03 | 3.005e-06         | position
3.700e+01 | 0.000e+00 | 5.000e-01 | 1.982e-01 | 3.984e-05         | position
3.800e+01 | 0.000e+00 | 5.000e-01 | 1.625e-02 | 4.405e-06         | position
3.900e+01 | 0.000e+00 | 5.000e-01 | 1.113e-02 | 1.998e-05         | position
4.100e+01 | 0.000e+00 | 5.000e-01 | 1.838e-02 | 5.240e-06         | position
4.400e+01 | 0.000e+00 | 5.000e-01 | 2.978e-02 | 1.815e-05         | position
4.200e+01 | 0.000e+00 | 5.000e-01 | 2.230e-02 | 2.382e-06         | position
4.300e+01 | 0.000e+00 | 5.000e-01 | 9.230e-03 | 3.466e-06         | position
4.000e+01 | 0.000e+00 | 5.000e-01 | 1.001e-02 | 3.094e-06         | position
4.500e+01 | 0.000e+00 | 5.000e-01 | 3.570e-02 | 8.080e-06         | position
4.600e+01 | 0.000e+00 | 5.000e-01 | 2.672e-04 | 1.489e-07         | position
4.700e+01 | 0.000e+00 | 5.000e-01 | 4.933e-02 | 7.481e-07         | position
4.800e+01 | 0.000e+00 | 5.000e-01 | 8.695e-03 | 9.275e-07         | position
5.000e+01 | 0.000e+00 | 5.000e-01 | 4.187e-03 | 4.398e-06         | position
4.900e+01 | 0.000e+00 | 5.000e-01 | 1.325e-02 | 1.447e-05         | position
5.100e+01 | 0.000e+00 | 5.000e-01 | 2.200e-03 | 1.505e-05         | position
5.200e+01 | 0.000e+00 | 5.000e-01 | 1.475e-03 | 6.912e-06         | position
5.300e+01 | 0.000e+00 | 5.000e-01 | 1.023e-03 | 1.281e-05         | position
5.400e+01 | 0.000e+00 | 5.000e-01 | 7.415e-04 | 3.643e-06         | position

