JRD posicion - alpha=2.000 -ani
---------------------------------------------------------------------------------
Z         | Q          | alpha     | JRD        | integration_error | space   
---------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 2.000e+00 | -5.374e-02 | 1.473e-07         | position
7.000e+00 | -1.000e+00 | 2.000e+00 | -5.040e-02 | 6.455e-07         | position
8.000e+00 | -1.000e+00 | 2.000e+00 | -4.500e-02 | 1.458e-07         | position
9.000e+00 | -1.000e+00 | 2.000e+00 | -3.853e-02 | 5.601e-07         | position
1.100e+01 | -1.000e+00 | 2.000e+00 | -2.912e-02 | 5.405e-07         | position
1.300e+01 | -1.000e+00 | 2.000e+00 | -2.341e-02 | 1.463e-07         | position
1.400e+01 | -1.000e+00 | 2.000e+00 | -2.123e-02 | 3.400e-07         | position
1.500e+01 | -1.000e+00 | 2.000e+00 | -1.936e-02 | 6.783e-06         | position
1.600e+01 | -1.000e+00 | 2.000e+00 | -1.771e-02 | 1.393e-07         | position
1.700e+01 | -1.000e+00 | 2.000e+00 | -1.622e-02 | 1.423e-07         | position
1.900e+01 | -1.000e+00 | 2.000e+00 | -1.383e-02 | 2.145e-06         | position
2.100e+01 | -1.000e+00 | 2.000e+00 | -1.214e-02 | 1.869e-06         | position
2.200e+01 | -1.000e+00 | 2.000e+00 | -1.143e-02 | 4.397e-06         | position
2.300e+01 | -1.000e+00 | 2.000e+00 | -1.076e-02 | 6.387e-06         | position
2.400e+01 | -1.000e+00 | 2.000e+00 | -1.012e-02 | 8.133e-06         | position
2.500e+01 | -1.000e+00 | 2.000e+00 | -9.502e-03 | 2.617e-05         | position
2.600e+01 | -1.000e+00 | 2.000e+00 | -8.905e-03 | 7.751e-05         | position
2.700e+01 | -1.000e+00 | 2.000e+00 | -8.322e-03 | 4.320e-05         | position
2.800e+01 | -1.000e+00 | 2.000e+00 | -7.750e-03 | 3.935e-05         | position
2.900e+01 | -1.000e+00 | 2.000e+00 | -7.185e-03 | 1.844e-05         | position
3.100e+01 | -1.000e+00 | 2.000e+00 | -6.094e-03 | 1.340e-04         | position
3.200e+01 | -1.000e+00 | 2.000e+00 | -5.584e-03 | 1.854e-04         | position
3.300e+01 | -1.000e+00 | 2.000e+00 | -5.100e-03 | 7.507e-05         | position
3.400e+01 | -1.000e+00 | 2.000e+00 | -4.640e-03 | 7.702e-05         | position
3.500e+01 | -1.000e+00 | 2.000e+00 | -4.204e-03 | 5.684e-05         | position
3.700e+01 | -1.000e+00 | 2.000e+00 | -3.409e-03 | 3.446e-06         | position
4.000e+01 | -1.000e+00 | 2.000e+00 | -2.392e-03 | 1.595e-04         | position
4.100e+01 | -1.000e+00 | 2.000e+00 | -2.087e-03 | 2.094e-04         | position
4.200e+01 | -1.000e+00 | 2.000e+00 | -1.797e-03 | 2.332e-04         | position
3.900e+01 | -1.000e+00 | 2.000e+00 | -2.712e-03 | 9.768e-05         | position
4.300e+01 | -1.000e+00 | 2.000e+00 | -1.520e-03 | 2.275e-04         | position
4.400e+01 | -1.000e+00 | 2.000e+00 | -1.254e-03 | 1.878e-04         | position
4.500e+01 | -1.000e+00 | 2.000e+00 | -9.997e-04 | 1.188e-04         | position
4.700e+01 | -1.000e+00 | 2.000e+00 | -5.185e-04 | 3.151e-04         | position
4.600e+01 | -1.000e+00 | 2.000e+00 | -7.548e-04 | 9.457e-05         | position
4.900e+01 | -1.000e+00 | 2.000e+00 | -7.903e-05 | 3.699e-04         | position
5.000e+01 | -1.000e+00 | 2.000e+00 | 1.260e-04  | 5.769e-04         | position
5.100e+01 | -1.000e+00 | 2.000e+00 | 3.216e-04  | 8.806e-04         | position
5.200e+01 | -1.000e+00 | 2.000e+00 | 5.084e-04  | 4.267e-04         | position
5.300e+01 | -1.000e+00 | 2.000e+00 | 6.870e-04  | 6.921e-05         | position

