JRD posicion - alpha=2.000 -cat
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD        | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 2.000e+00 | -4.297e-02 | 1.482e-07         | position
7.000e+00 | 1.000e+00 | 2.000e+00 | -4.380e-02 | 8.869e-07         | position
8.000e+00 | 1.000e+00 | 2.000e+00 | -4.091e-02 | 1.485e-07         | position
9.000e+00 | 1.000e+00 | 2.000e+00 | -3.662e-02 | 1.364e-07         | position
1.000e+01 | 1.000e+00 | 2.000e+00 | -3.117e-02 | 5.332e-07         | position
1.100e+01 | 1.000e+00 | 2.000e+00 | -2.533e-02 | 1.411e-07         | position
1.200e+01 | 1.000e+00 | 2.000e+00 | -2.294e-02 | 1.388e-06         | position
1.300e+01 | 1.000e+00 | 2.000e+00 | -2.098e-02 | 1.523e-06         | position
1.400e+01 | 1.000e+00 | 2.000e+00 | -1.923e-02 | 1.885e-06         | position
1.500e+01 | 1.000e+00 | 2.000e+00 | -1.768e-02 | 1.379e-05         | position
1.600e+01 | 1.000e+00 | 2.000e+00 | -1.628e-02 | 6.940e-07         | position
1.700e+01 | 1.000e+00 | 2.000e+00 | -1.502e-02 | 3.163e-05         | position
1.800e+01 | 1.000e+00 | 2.000e+00 | -1.386e-02 | 1.667e-07         | position
1.900e+01 | 1.000e+00 | 2.000e+00 | -1.277e-02 | 1.606e-07         | position
2.000e+01 | 1.000e+00 | 2.000e+00 | -1.194e-02 | 4.201e-06         | position
2.100e+01 | 1.000e+00 | 2.000e+00 | -1.127e-02 | 4.987e-06         | position
2.300e+01 | 1.000e+00 | 2.000e+00 | -1.008e-02 | 7.167e-06         | position
2.200e+01 | 1.000e+00 | 2.000e+00 | -1.065e-02 | 9.412e-06         | position
2.400e+01 | 1.000e+00 | 2.000e+00 | -9.504e-03 | 7.789e-06         | position
2.500e+01 | 1.000e+00 | 2.000e+00 | -8.922e-03 | 3.465e-05         | position
2.600e+01 | 1.000e+00 | 2.000e+00 | -8.379e-03 | 1.011e-04         | position
2.700e+01 | 1.000e+00 | 2.000e+00 | -7.850e-03 | 5.780e-05         | position
2.800e+01 | 1.000e+00 | 2.000e+00 | -7.315e-03 | 5.198e-05         | position
2.900e+01 | 1.000e+00 | 2.000e+00 | -6.784e-03 | 2.335e-05         | position
3.000e+01 | 1.000e+00 | 2.000e+00 | -6.259e-03 | 5.526e-07         | position
3.100e+01 | 1.000e+00 | 2.000e+00 | -5.758e-03 | 2.872e-05         | position
3.200e+01 | 1.000e+00 | 2.000e+00 | -5.274e-03 | 6.997e-05         | position
3.300e+01 | 1.000e+00 | 2.000e+00 | -4.813e-03 | 9.902e-05         | position
3.400e+01 | 1.000e+00 | 2.000e+00 | -4.373e-03 | 9.975e-05         | position
3.500e+01 | 1.000e+00 | 2.000e+00 | -3.957e-03 | 7.238e-05         | position
3.600e+01 | 1.000e+00 | 2.000e+00 | -3.561e-03 | 3.055e-05         | position
3.700e+01 | 1.000e+00 | 2.000e+00 | -3.184e-03 | 3.632e-06         | position
3.800e+01 | 1.000e+00 | 2.000e+00 | -2.838e-03 | 8.453e-05         | position
3.900e+01 | 1.000e+00 | 2.000e+00 | -2.514e-03 | 1.277e-04         | position
4.100e+01 | 1.000e+00 | 2.000e+00 | -1.910e-03 | 3.069e-04         | position
4.000e+01 | 1.000e+00 | 2.000e+00 | -2.205e-03 | 2.005e-04         | position
4.400e+01 | 1.000e+00 | 2.000e+00 | -1.104e-03 | 2.181e-04         | position
4.200e+01 | 1.000e+00 | 2.000e+00 | -1.629e-03 | 2.729e-04         | position
4.500e+01 | 1.000e+00 | 2.000e+00 | -8.567e-04 | 1.417e-04         | position
4.600e+01 | 1.000e+00 | 2.000e+00 | -6.189e-04 | 1.019e-04         | position
4.700e+01 | 1.000e+00 | 2.000e+00 | -3.893e-04 | 3.467e-04         | position
4.300e+01 | 1.000e+00 | 2.000e+00 | -1.363e-03 | 2.753e-04         | position
4.800e+01 | 1.000e+00 | 2.000e+00 | -1.714e-04 | 8.716e-04         | position
4.900e+01 | 1.000e+00 | 2.000e+00 | 3.636e-05  | 4.461e-04         | position
5.000e+01 | 1.000e+00 | 2.000e+00 | 2.359e-04  | 6.898e-04         | position
5.100e+01 | 1.000e+00 | 2.000e+00 | 4.264e-04  | 1.052e-03         | position
5.500e+01 | 1.000e+00 | 2.000e+00 | 1.108e-03  | 3.026e-04         | position
5.200e+01 | 1.000e+00 | 2.000e+00 | 6.085e-04  | 5.118e-04         | position
5.400e+01 | 1.000e+00 | 2.000e+00 | 9.486e-04  | 1.162e-03         | position
5.300e+01 | 1.000e+00 | 2.000e+00 | 7.824e-04  | 8.304e-05         | position

