JRD posicion - alpha=2.000 -neu
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JRD        | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.000e+00 | -2.001e-02 | 1.479e-07         | position
4.000e+00 | 0.000e+00 | 2.000e+00 | -3.755e-02 | 1.453e-07         | position
5.000e+00 | 0.000e+00 | 2.000e+00 | -4.627e-02 | 1.472e-07         | position
6.000e+00 | 0.000e+00 | 2.000e+00 | -4.844e-02 | 1.430e-07         | position
7.000e+00 | 0.000e+00 | 2.000e+00 | -4.637e-02 | 4.776e-07         | position
8.000e+00 | 0.000e+00 | 2.000e+00 | -4.251e-02 | 1.487e-07         | position
9.000e+00 | 0.000e+00 | 2.000e+00 | -3.709e-02 | 2.594e-06         | position
1.000e+01 | 0.000e+00 | 2.000e+00 | -3.098e-02 | 1.485e-07         | position
1.100e+01 | 0.000e+00 | 2.000e+00 | -2.738e-02 | 1.980e-07         | position
1.200e+01 | 0.000e+00 | 2.000e+00 | -2.457e-02 | 4.294e-07         | position
1.300e+01 | 0.000e+00 | 2.000e+00 | -2.225e-02 | 5.151e-07         | position
1.400e+01 | 0.000e+00 | 2.000e+00 | -2.026e-02 | 6.968e-07         | position
1.500e+01 | 0.000e+00 | 2.000e+00 | -1.852e-02 | 7.997e-06         | position
1.600e+01 | 0.000e+00 | 2.000e+00 | -1.700e-02 | 2.812e-07         | position
1.700e+01 | 0.000e+00 | 2.000e+00 | -1.563e-02 | 1.478e-07         | position
1.800e+01 | 0.000e+00 | 2.000e+00 | -1.436e-02 | 1.487e-07         | position
1.900e+01 | 0.000e+00 | 2.000e+00 | -1.333e-02 | 2.137e-05         | position
2.000e+01 | 0.000e+00 | 2.000e+00 | -1.243e-02 | 1.530e-05         | position
2.100e+01 | 0.000e+00 | 2.000e+00 | -1.170e-02 | 1.383e-05         | position
2.200e+01 | 0.000e+00 | 2.000e+00 | -1.103e-02 | 1.216e-05         | position
2.300e+01 | 0.000e+00 | 2.000e+00 | -1.040e-02 | 1.096e-05         | position
2.500e+01 | 0.000e+00 | 2.000e+00 | -9.211e-03 | 3.439e-05         | position
2.400e+01 | 0.000e+00 | 2.000e+00 | -9.822e-03 | 8.958e-06         | position
2.600e+01 | 0.000e+00 | 2.000e+00 | -8.643e-03 | 8.793e-05         | position
2.700e+01 | 0.000e+00 | 2.000e+00 | -8.084e-03 | 5.129e-05         | position
2.800e+01 | 0.000e+00 | 2.000e+00 | -7.534e-03 | 4.742e-05         | position
3.000e+01 | 0.000e+00 | 2.000e+00 | -6.450e-03 | 1.171e-04         | position
2.900e+01 | 0.000e+00 | 2.000e+00 | -6.991e-03 | 2.167e-05         | position
3.100e+01 | 0.000e+00 | 2.000e+00 | -5.929e-03 | 2.352e-05         | position
3.300e+01 | 0.000e+00 | 2.000e+00 | -4.958e-03 | 8.923e-05         | position
3.200e+01 | 0.000e+00 | 2.000e+00 | -5.432e-03 | 5.919e-05         | position
3.400e+01 | 0.000e+00 | 2.000e+00 | -4.509e-03 | 8.725e-05         | position
3.600e+01 | 0.000e+00 | 2.000e+00 | -3.677e-03 | 2.777e-05         | position
3.500e+01 | 0.000e+00 | 2.000e+00 | -4.082e-03 | 6.443e-05         | position
3.700e+01 | 0.000e+00 | 2.000e+00 | -3.300e-03 | 2.337e-05         | position
3.800e+01 | 0.000e+00 | 2.000e+00 | -2.947e-03 | 4.397e-05         | position
3.900e+01 | 0.000e+00 | 2.000e+00 | -2.615e-03 | 1.253e-04         | position
4.100e+01 | 0.000e+00 | 2.000e+00 | -2.001e-03 | 2.318e-04         | position
4.000e+01 | 0.000e+00 | 2.000e+00 | -2.301e-03 | 1.896e-04         | position
4.300e+01 | 0.000e+00 | 2.000e+00 | -1.443e-03 | 2.576e-04         | position
4.400e+01 | 0.000e+00 | 2.000e+00 | -1.181e-03 | 2.040e-04         | position
4.600e+01 | 0.000e+00 | 2.000e+00 | -6.877e-04 | 1.019e-04         | position
4.500e+01 | 0.000e+00 | 2.000e+00 | -9.302e-04 | 1.337e-04         | position
4.200e+01 | 0.000e+00 | 2.000e+00 | -1.715e-03 | 2.581e-04         | position
4.800e+01 | 0.000e+00 | 2.000e+00 | -2.342e-04 | 8.603e-04         | position
4.700e+01 | 0.000e+00 | 2.000e+00 | -4.556e-04 | 3.377e-04         | position
4.900e+01 | 0.000e+00 | 2.000e+00 | -2.230e-05 | 4.184e-04         | position
5.000e+01 | 0.000e+00 | 2.000e+00 | 1.801e-04  | 6.521e-04         | position
5.100e+01 | 0.000e+00 | 2.000e+00 | 3.733e-04  | 9.905e-04         | position
5.200e+01 | 0.000e+00 | 2.000e+00 | 5.577e-04  | 4.750e-04         | position
5.400e+01 | 0.000e+00 | 2.000e+00 | 9.025e-04  | 1.086e-03         | position
5.300e+01 | 0.000e+00 | 2.000e+00 | 7.340e-04  | 7.711e-05         | position

