JTD - momento alpha=0.500-cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 5.000e-01 | 1.457e-14 | 8.053e-14         | momentum
4.000e+00 | 1.000e+00 | 5.000e-01 | 1.453e+01 | 6.124e-07         | momentum
5.000e+00 | 1.000e+00 | 5.000e-01 | 4.137e+01 | 3.721e-06         | momentum
6.000e+00 | 1.000e+00 | 5.000e-01 | 7.049e+01 | 1.283e-07         | momentum
7.000e+00 | 1.000e+00 | 5.000e-01 | 1.051e+02 | 3.110e-07         | momentum
8.000e+00 | 1.000e+00 | 5.000e-01 | 1.445e+02 | 1.928e-05         | momentum
9.000e+00 | 1.000e+00 | 5.000e-01 | 1.890e+02 | 8.434e-06         | momentum
1.000e+01 | 1.000e+00 | 5.000e-01 | 2.377e+02 | 5.553e-06         | momentum
1.100e+01 | 1.000e+00 | 5.000e-01 | 2.906e+02 | 1.149e-05         | momentum
1.200e+01 | 1.000e+00 | 5.000e-01 | 3.520e+02 | 4.556e-07         | momentum
1.300e+01 | 1.000e+00 | 5.000e-01 | 4.201e+02 | 5.025e-06         | momentum
1.400e+01 | 1.000e+00 | 5.000e-01 | 4.922e+02 | 1.408e-05         | momentum
1.500e+01 | 1.000e+00 | 5.000e-01 | 5.694e+02 | 7.157e-05         | momentum
1.600e+01 | 1.000e+00 | 5.000e-01 | 6.516e+02 | 3.541e-05         | momentum
1.700e+01 | 1.000e+00 | 5.000e-01 | 7.390e+02 | 5.796e-05         | momentum
1.800e+01 | 1.000e+00 | 5.000e-01 | 8.311e+02 | 8.043e-05         | momentum
1.900e+01 | 1.000e+00 | 5.000e-01 | 9.280e+02 | 5.659e-05         | momentum
2.000e+01 | 1.000e+00 | 5.000e-01 | 1.033e+03 | 1.462e-05         | momentum
2.100e+01 | 1.000e+00 | 5.000e-01 | 1.142e+03 | 5.982e-05         | momentum
2.200e+01 | 1.000e+00 | 5.000e-01 | 1.258e+03 | 5.276e-05         | momentum
2.300e+01 | 1.000e+00 | 5.000e-01 | 1.378e+03 | 2.171e-05         | momentum
2.400e+01 | 1.000e+00 | 5.000e-01 | 1.505e+03 | 3.223e-06         | momentum
2.500e+01 | 1.000e+00 | 5.000e-01 | 1.637e+03 | 1.147e-04         | momentum
2.600e+01 | 1.000e+00 | 5.000e-01 | 1.775e+03 | 1.547e-04         | momentum
2.700e+01 | 1.000e+00 | 5.000e-01 | 1.917e+03 | 2.835e-06         | momentum
2.800e+01 | 1.000e+00 | 5.000e-01 | 2.065e+03 | 4.485e-06         | momentum
2.900e+01 | 1.000e+00 | 5.000e-01 | 2.219e+03 | 5.645e-06         | momentum
3.000e+01 | 1.000e+00 | 5.000e-01 | 2.380e+03 | 1.190e-04         | momentum
3.100e+01 | 1.000e+00 | 5.000e-01 | 2.546e+03 | 5.402e-05         | momentum
3.200e+01 | 1.000e+00 | 5.000e-01 | 2.716e+03 | 6.742e-05         | momentum
3.300e+01 | 1.000e+00 | 5.000e-01 | 2.891e+03 | 4.065e-06         | momentum
3.400e+01 | 1.000e+00 | 5.000e-01 | 3.071e+03 | 1.166e-05         | momentum
3.500e+01 | 1.000e+00 | 5.000e-01 | 3.256e+03 | 3.695e-05         | momentum
3.600e+01 | 1.000e+00 | 5.000e-01 | 3.446e+03 | 2.540e-05         | momentum
3.700e+01 | 1.000e+00 | 5.000e-01 | 3.641e+03 | 3.266e-05         | momentum
3.800e+01 | 1.000e+00 | 5.000e-01 | 3.843e+03 | 4.260e-04         | momentum
3.900e+01 | 1.000e+00 | 5.000e-01 | 4.051e+03 | 2.498e-05         | momentum
4.000e+01 | 1.000e+00 | 5.000e-01 | 4.263e+03 | 2.225e-04         | momentum
4.100e+01 | 1.000e+00 | 5.000e-01 | 4.479e+03 | 3.613e-05         | momentum
4.200e+01 | 1.000e+00 | 5.000e-01 | 4.702e+03 | 4.506e-05         | momentum
4.300e+01 | 1.000e+00 | 5.000e-01 | 4.932e+03 | 6.322e-05         | momentum
4.400e+01 | 1.000e+00 | 5.000e-01 | 5.164e+03 | 3.451e-05         | momentum
4.500e+01 | 1.000e+00 | 5.000e-01 | 5.404e+03 | 1.016e-04         | momentum
4.600e+01 | 1.000e+00 | 5.000e-01 | 5.648e+03 | 1.587e-04         | momentum
4.700e+01 | 1.000e+00 | 5.000e-01 | 5.898e+03 | 2.260e-04         | momentum
4.800e+01 | 1.000e+00 | 5.000e-01 | 6.154e+03 | 4.434e-04         | momentum
4.900e+01 | 1.000e+00 | 5.000e-01 | 6.417e+03 | 1.818e-04         | momentum
5.000e+01 | 1.000e+00 | 5.000e-01 | 6.682e+03 | 9.923e-05         | momentum
5.100e+01 | 1.000e+00 | 5.000e-01 | 6.953e+03 | 1.256e-04         | momentum
5.200e+01 | 1.000e+00 | 5.000e-01 | 7.229e+03 | 1.563e-04         | momentum
5.300e+01 | 1.000e+00 | 5.000e-01 | 7.510e+03 | 1.916e-04         | momentum
5.400e+01 | 1.000e+00 | 5.000e-01 | 7.796e+03 | 2.399e-04         | momentum
5.500e+01 | 1.000e+00 | 5.000e-01 | 8.087e+03 | 3.050e-04         | momentum

