JTD - momento alpha=1.250-cat
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD        | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 1.250e+00 | -5.164e-19 | 1.945e-17         | momentum
4.000e+00 | 1.000e+00 | 1.250e+00 | 9.354e-03  | 1.418e-07         | momentum
5.000e+00 | 1.000e+00 | 1.250e+00 | 1.998e-03  | 1.478e-07         | momentum
6.000e+00 | 1.000e+00 | 1.250e+00 | 5.855e-04  | 1.276e-07         | momentum
7.000e+00 | 1.000e+00 | 1.250e+00 | 2.271e-04  | 1.258e-07         | momentum
8.000e+00 | 1.000e+00 | 1.250e+00 | 1.035e-04  | 1.137e-07         | momentum
9.000e+00 | 1.000e+00 | 1.250e+00 | 5.042e-05  | 1.472e-07         | momentum
1.000e+01 | 1.000e+00 | 1.250e+00 | 2.707e-05  | 1.255e-07         | momentum
1.100e+01 | 1.000e+00 | 1.250e+00 | 1.563e-05  | 1.335e-07         | momentum
1.200e+01 | 1.000e+00 | 1.250e+00 | 4.244e-04  | 1.473e-07         | momentum
1.300e+01 | 1.000e+00 | 1.250e+00 | 2.820e-04  | 1.479e-07         | momentum
1.400e+01 | 1.000e+00 | 1.250e+00 | 1.584e-04  | 1.418e-07         | momentum
1.500e+01 | 1.000e+00 | 1.250e+00 | 9.931e-05  | 1.412e-07         | momentum
1.600e+01 | 1.000e+00 | 1.250e+00 | 6.622e-05  | 1.479e-07         | momentum
1.700e+01 | 1.000e+00 | 1.250e+00 | 4.612e-05  | 1.472e-07         | momentum
1.800e+01 | 1.000e+00 | 1.250e+00 | 3.317e-05  | 1.379e-07         | momentum
1.900e+01 | 1.000e+00 | 1.250e+00 | 2.449e-05  | 1.475e-07         | momentum
2.000e+01 | 1.000e+00 | 1.250e+00 | 1.416e-04  | 1.455e-07         | momentum
2.100e+01 | 1.000e+00 | 1.250e+00 | 1.118e-04  | 1.484e-07         | momentum
2.200e+01 | 1.000e+00 | 1.250e+00 | 9.193e-05  | 1.452e-07         | momentum
2.300e+01 | 1.000e+00 | 1.250e+00 | 7.341e-06  | 1.484e-07         | momentum
2.400e+01 | 1.000e+00 | 1.250e+00 | 5.664e-06  | 1.404e-07         | momentum
2.500e+01 | 1.000e+00 | 1.250e+00 | 5.574e-05  | 1.484e-07         | momentum
2.600e+01 | 1.000e+00 | 1.250e+00 | 4.890e-05  | 1.470e-07         | momentum
2.700e+01 | 1.000e+00 | 1.250e+00 | 2.792e-06  | 1.422e-07         | momentum
2.800e+01 | 1.000e+00 | 1.250e+00 | 2.255e-06  | 1.378e-07         | momentum
2.900e+01 | 1.000e+00 | 1.250e+00 | 1.840e-06  | 1.435e-07         | momentum
3.000e+01 | 1.000e+00 | 1.250e+00 | 3.142e-05  | 1.423e-07         | momentum
3.100e+01 | 1.000e+00 | 1.250e+00 | 2.916e-05  | 1.437e-07         | momentum
3.200e+01 | 1.000e+00 | 1.250e+00 | 2.156e-05  | 1.486e-07         | momentum
3.300e+01 | 1.000e+00 | 1.250e+00 | 1.704e-05  | 1.430e-07         | momentum
3.400e+01 | 1.000e+00 | 1.250e+00 | 1.389e-05  | 1.487e-07         | momentum
3.500e+01 | 1.000e+00 | 1.250e+00 | 1.163e-05  | 1.451e-07         | momentum
3.600e+01 | 1.000e+00 | 1.250e+00 | 9.847e-06  | 1.487e-07         | momentum
3.700e+01 | 1.000e+00 | 1.250e+00 | 8.412e-06  | 1.437e-07         | momentum
3.800e+01 | 1.000e+00 | 1.250e+00 | 3.135e-05  | 1.436e-07         | momentum
3.900e+01 | 1.000e+00 | 1.250e+00 | 3.157e-05  | 1.421e-07         | momentum
4.000e+01 | 1.000e+00 | 1.250e+00 | 2.193e-05  | 1.489e-07         | momentum
4.100e+01 | 1.000e+00 | 1.250e+00 | 4.366e-06  | 1.452e-07         | momentum
4.200e+01 | 1.000e+00 | 1.250e+00 | 3.735e-06  | 1.381e-07         | momentum
4.300e+01 | 1.000e+00 | 1.250e+00 | 1.521e-05  | 1.346e-07         | momentum
4.400e+01 | 1.000e+00 | 1.250e+00 | 2.796e-06  | 1.332e-07         | momentum
4.500e+01 | 1.000e+00 | 1.250e+00 | 2.437e-06  | 1.257e-07         | momentum
4.600e+01 | 1.000e+00 | 1.250e+00 | 2.136e-06  | 1.392e-07         | momentum
4.700e+01 | 1.000e+00 | 1.250e+00 | 1.881e-06  | 1.488e-07         | momentum
4.800e+01 | 1.000e+00 | 1.250e+00 | 1.083e-05  | 1.456e-07         | momentum
4.900e+01 | 1.000e+00 | 1.250e+00 | 1.132e-05  | 1.329e-07         | momentum
5.000e+01 | 1.000e+00 | 1.250e+00 | 9.065e-06  | 1.290e-07         | momentum
5.100e+01 | 1.000e+00 | 1.250e+00 | 7.678e-06  | 1.452e-07         | momentum
5.200e+01 | 1.000e+00 | 1.250e+00 | 6.668e-06  | 1.461e-07         | momentum
5.300e+01 | 1.000e+00 | 1.250e+00 | 5.919e-06  | 1.424e-07         | momentum
5.400e+01 | 1.000e+00 | 1.250e+00 | 5.291e-06  | 1.457e-07         | momentum
5.500e+01 | 1.000e+00 | 1.250e+00 | 4.758e-06  | 1.346e-07         | momentum

