JTD - momento alpha=1.500-ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JTD       | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 1.500e+00 | 4.555e-05 | 1.362e-07         | momentum
7.000e+00 | -1.000e+00 | 1.500e+00 | 1.411e-05 | 1.434e-07         | momentum
8.000e+00 | -1.000e+00 | 1.500e+00 | 5.307e-06 | 1.455e-07         | momentum
9.000e+00 | -1.000e+00 | 1.500e+00 | 2.289e-06 | 1.387e-07         | momentum
1.100e+01 | -1.000e+00 | 1.500e+00 | 2.068e-03 | 1.485e-07         | momentum
1.300e+01 | -1.000e+00 | 1.500e+00 | 1.174e-04 | 1.185e-07         | momentum
1.400e+01 | -1.000e+00 | 1.500e+00 | 4.573e-05 | 1.381e-07         | momentum
1.500e+01 | -1.000e+00 | 1.500e+00 | 2.290e-05 | 1.259e-07         | momentum
1.600e+01 | -1.000e+00 | 1.500e+00 | 1.234e-05 | 1.269e-07         | momentum
1.700e+01 | -1.000e+00 | 1.500e+00 | 7.082e-06 | 1.357e-07         | momentum
1.900e+01 | -1.000e+00 | 1.500e+00 | 8.273e-04 | 1.459e-07         | momentum
2.100e+01 | -1.000e+00 | 1.500e+00 | 3.118e-04 | 1.457e-07         | momentum
2.200e+01 | -1.000e+00 | 1.500e+00 | 2.621e-04 | 1.445e-07         | momentum
2.300e+01 | -1.000e+00 | 1.500e+00 | 2.153e-04 | 1.165e-07         | momentum
2.400e+01 | -1.000e+00 | 1.500e+00 | 1.809e-04 | 1.359e-07         | momentum
2.500e+01 | -1.000e+00 | 1.500e+00 | 1.413e-04 | 1.481e-07         | momentum
2.600e+01 | -1.000e+00 | 1.500e+00 | 1.148e-04 | 1.280e-07         | momentum
2.700e+01 | -1.000e+00 | 1.500e+00 | 9.473e-05 | 1.487e-07         | momentum
2.800e+01 | -1.000e+00 | 1.500e+00 | 7.911e-05 | 1.434e-07         | momentum
2.900e+01 | -1.000e+00 | 1.500e+00 | 6.740e-05 | 1.486e-07         | momentum
3.100e+01 | -1.000e+00 | 1.500e+00 | 1.247e-05 | 1.351e-07         | momentum
3.200e+01 | -1.000e+00 | 1.500e+00 | 6.565e-06 | 1.382e-07         | momentum
3.300e+01 | -1.000e+00 | 1.500e+00 | 4.377e-06 | 7.124e-08         | momentum
3.400e+01 | -1.000e+00 | 1.500e+00 | 3.024e-06 | 2.918e-08         | momentum
3.500e+01 | -1.000e+00 | 1.500e+00 | 2.163e-06 | 1.460e-07         | momentum
3.700e+01 | -1.000e+00 | 1.500e+00 | 1.508e-04 | 1.427e-07         | momentum
3.900e+01 | -1.000e+00 | 1.500e+00 | 3.018e-05 | 1.374e-07         | momentum
4.000e+01 | -1.000e+00 | 1.500e+00 | 4.684e-05 | 1.482e-07         | momentum
4.100e+01 | -1.000e+00 | 1.500e+00 | 4.159e-05 | 1.406e-07         | momentum
4.200e+01 | -1.000e+00 | 1.500e+00 | 3.777e-05 | 1.431e-07         | momentum
4.300e+01 | -1.000e+00 | 1.500e+00 | 3.169e-05 | 1.197e-07         | momentum
4.400e+01 | -1.000e+00 | 1.500e+00 | 2.773e-05 | 1.286e-07         | momentum
4.500e+01 | -1.000e+00 | 1.500e+00 | 2.465e-05 | 1.081e-07         | momentum
4.600e+01 | -1.000e+00 | 1.500e+00 | 2.215e-05 | 9.674e-08         | momentum
4.700e+01 | -1.000e+00 | 1.500e+00 | 2.025e-05 | 9.097e-08         | momentum
4.900e+01 | -1.000e+00 | 1.500e+00 | 4.529e-06 | 1.331e-07         | momentum
5.000e+01 | -1.000e+00 | 1.500e+00 | 2.751e-06 | 1.177e-07         | momentum
5.100e+01 | -1.000e+00 | 1.500e+00 | 2.026e-06 | 1.063e-07         | momentum
5.200e+01 | -1.000e+00 | 1.500e+00 | 1.532e-06 | 1.368e-07         | momentum
5.300e+01 | -1.000e+00 | 1.500e+00 | 1.190e-06 | 3.326e-08         | momentum

