JTD - momento alpha=2.750-neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.750e+00 | 3.101e-02 | 1.472e-07         | momentum
4.000e+00 | 0.000e+00 | 2.750e+00 | 1.056e-03 | 1.479e-07         | momentum
5.000e+00 | 0.000e+00 | 2.750e+00 | 1.768e-05 | 2.835e-08         | momentum
6.000e+00 | 0.000e+00 | 2.750e+00 | 7.823e-07 | 1.365e-09         | momentum
7.000e+00 | 0.000e+00 | 2.750e+00 | 6.131e-08 | 3.574e-11         | momentum
8.000e+00 | 0.000e+00 | 2.750e+00 | 6.789e-09 | 1.247e-09         | momentum
9.000e+00 | 0.000e+00 | 2.750e+00 | 1.022e-09 | 7.428e-10         | momentum
1.000e+01 | 0.000e+00 | 2.750e+00 | 1.929e-10 | 2.125e-12         | momentum
1.100e+01 | 0.000e+00 | 2.750e+00 | 5.187e-05 | 4.403e-08         | momentum
1.200e+01 | 0.000e+00 | 2.750e+00 | 2.807e-05 | 1.425e-07         | momentum
1.300e+01 | 0.000e+00 | 2.750e+00 | 2.528e-06 | 1.165e-07         | momentum
1.400e+01 | 0.000e+00 | 2.750e+00 | 3.641e-07 | 7.117e-09         | momentum
1.500e+01 | 0.000e+00 | 2.750e+00 | 7.065e-08 | 4.949e-08         | momentum
1.600e+01 | 0.000e+00 | 2.750e+00 | 1.845e-08 | 4.989e-09         | momentum
1.700e+01 | 0.000e+00 | 2.750e+00 | 5.395e-09 | 1.111e-11         | momentum
1.800e+01 | 0.000e+00 | 2.750e+00 | 1.737e-09 | 1.034e-09         | momentum
1.900e+01 | 0.000e+00 | 2.750e+00 | 1.963e-05 | 1.168e-07         | momentum
2.000e+01 | 0.000e+00 | 2.750e+00 | 1.942e-05 | 1.016e-07         | momentum
2.100e+01 | 0.000e+00 | 2.750e+00 | 8.059e-06 | 1.405e-07         | momentum
2.200e+01 | 0.000e+00 | 2.750e+00 | 4.027e-06 | 1.221e-07         | momentum
2.300e+01 | 0.000e+00 | 2.750e+00 | 2.148e-06 | 1.404e-07         | momentum
2.400e+01 | 0.000e+00 | 2.750e+00 | 1.633e-07 | 7.136e-08         | momentum
2.500e+01 | 0.000e+00 | 2.750e+00 | 7.130e-07 | 1.268e-07         | momentum
2.600e+01 | 0.000e+00 | 2.750e+00 | 4.042e-07 | 1.408e-07         | momentum
2.700e+01 | 0.000e+00 | 2.750e+00 | 2.417e-07 | 5.679e-08         | momentum
2.800e+01 | 0.000e+00 | 2.750e+00 | 1.490e-07 | 2.159e-08         | momentum
2.900e+01 | 0.000e+00 | 2.750e+00 | 2.455e-08 | 1.141e-08         | momentum
3.000e+01 | 0.000e+00 | 2.750e+00 | 6.164e-08 | 2.423e-09         | momentum
3.100e+01 | 0.000e+00 | 2.750e+00 | 1.701e-08 | 1.423e-09         | momentum
3.200e+01 | 0.000e+00 | 2.750e+00 | 5.475e-09 | 1.583e-10         | momentum
3.300e+01 | 0.000e+00 | 2.750e+00 | 2.047e-09 | 3.869e-09         | momentum
3.400e+01 | 0.000e+00 | 2.750e+00 | 9.653e-10 | 1.012e-09         | momentum
3.500e+01 | 0.000e+00 | 2.750e+00 | 4.689e-10 | 3.827e-12         | momentum
3.600e+01 | 0.000e+00 | 2.750e+00 | 2.360e-10 | 6.356e-13         | momentum
3.700e+01 | 0.000e+00 | 2.750e+00 | 9.880e-07 | 1.441e-07         | momentum
3.800e+01 | 0.000e+00 | 2.750e+00 | 1.398e-06 | 1.170e-07         | momentum
3.900e+01 | 0.000e+00 | 2.750e+00 | 5.689e-07 | 1.282e-07         | momentum
4.000e+01 | 0.000e+00 | 2.750e+00 | 3.056e-07 | 1.279e-07         | momentum
4.100e+01 | 0.000e+00 | 2.750e+00 | 1.638e-08 | 2.006e-09         | momentum
4.200e+01 | 0.000e+00 | 2.750e+00 | 1.014e-08 | 3.219e-09         | momentum
4.300e+01 | 0.000e+00 | 2.750e+00 | 7.645e-08 | 4.167e-08         | momentum
4.400e+01 | 0.000e+00 | 2.750e+00 | 6.389e-09 | 2.507e-09         | momentum
4.500e+01 | 0.000e+00 | 2.750e+00 | 5.357e-09 | 2.069e-09         | momentum
4.600e+01 | 0.000e+00 | 2.750e+00 | 6.933e-13 | 7.775e-14         | momentum
4.700e+01 | 0.000e+00 | 2.750e+00 | 3.953e-09 | 1.474e-09         | momentum
4.800e+01 | 0.000e+00 | 2.750e+00 | 1.246e-08 | 3.514e-09         | momentum
4.900e+01 | 0.000e+00 | 2.750e+00 | 4.374e-09 | 5.733e-09         | momentum
5.000e+01 | 0.000e+00 | 2.750e+00 | 1.786e-09 | 2.258e-11         | momentum
5.100e+01 | 0.000e+00 | 2.750e+00 | 8.276e-10 | 2.830e-11         | momentum
5.200e+01 | 0.000e+00 | 2.750e+00 | 4.719e-10 | 6.650e-11         | momentum
5.300e+01 | 0.000e+00 | 2.750e+00 | 2.737e-10 | 3.516e-11         | momentum
5.400e+01 | 0.000e+00 | 2.750e+00 | 1.624e-10 | 8.505e-12         | momentum

