JTD - posicion alpha=1.750-cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 1.750e+00 | 3.717e-18 | 1.624e-16         | position
4.000e+00 | 1.000e+00 | 1.750e+00 | 8.026e-03 | 1.345e-07         | position
5.000e+00 | 1.000e+00 | 1.750e+00 | 1.642e-02 | 1.460e-07         | position
6.000e+00 | 1.000e+00 | 1.750e+00 | 2.252e-02 | 1.454e-07         | position
7.000e+00 | 1.000e+00 | 1.750e+00 | 2.784e-02 | 1.405e-07         | position
8.000e+00 | 1.000e+00 | 1.750e+00 | 3.275e-02 | 1.456e-07         | position
9.000e+00 | 1.000e+00 | 1.750e+00 | 3.747e-02 | 1.253e-07         | position
1.000e+01 | 1.000e+00 | 1.750e+00 | 4.202e-02 | 1.201e-07         | position
1.100e+01 | 1.000e+00 | 1.750e+00 | 4.644e-02 | 1.135e-07         | position
1.200e+01 | 1.000e+00 | 1.750e+00 | 5.149e-02 | 1.267e-07         | position
1.300e+01 | 1.000e+00 | 1.750e+00 | 5.674e-02 | 1.453e-07         | position
1.400e+01 | 1.000e+00 | 1.750e+00 | 6.179e-02 | 1.225e-07         | position
1.500e+01 | 1.000e+00 | 1.750e+00 | 6.686e-02 | 1.472e-07         | position
1.600e+01 | 1.000e+00 | 1.750e+00 | 7.193e-02 | 1.469e-07         | position
1.700e+01 | 1.000e+00 | 1.750e+00 | 7.701e-02 | 1.407e-07         | position
1.800e+01 | 1.000e+00 | 1.750e+00 | 8.210e-02 | 1.358e-07         | position
1.900e+01 | 1.000e+00 | 1.750e+00 | 8.720e-02 | 1.375e-07         | position
2.000e+01 | 1.000e+00 | 1.750e+00 | 9.254e-02 | 1.401e-07         | position
2.100e+01 | 1.000e+00 | 1.750e+00 | 9.779e-02 | 1.489e-07         | position
2.200e+01 | 1.000e+00 | 1.750e+00 | 1.030e-01 | 1.473e-07         | position
2.300e+01 | 1.000e+00 | 1.750e+00 | 1.082e-01 | 1.907e-07         | position
2.400e+01 | 1.000e+00 | 1.750e+00 | 1.134e-01 | 1.531e-07         | position
2.500e+01 | 1.000e+00 | 1.750e+00 | 1.189e-01 | 1.472e-07         | position
2.600e+01 | 1.000e+00 | 1.750e+00 | 1.241e-01 | 1.486e-07         | position
2.700e+01 | 1.000e+00 | 1.750e+00 | 1.293e-01 | 1.475e-07         | position
2.800e+01 | 1.000e+00 | 1.750e+00 | 1.346e-01 | 1.140e-07         | position
2.900e+01 | 1.000e+00 | 1.750e+00 | 1.399e-01 | 1.793e-07         | position
3.000e+01 | 1.000e+00 | 1.750e+00 | 1.453e-01 | 4.564e-07         | position
3.100e+01 | 1.000e+00 | 1.750e+00 | 1.509e-01 | 5.274e-07         | position
3.200e+01 | 1.000e+00 | 1.750e+00 | 1.563e-01 | 1.483e-07         | position
3.300e+01 | 1.000e+00 | 1.750e+00 | 1.617e-01 | 1.477e-07         | position
3.400e+01 | 1.000e+00 | 1.750e+00 | 1.672e-01 | 2.552e-07         | position
3.500e+01 | 1.000e+00 | 1.750e+00 | 1.727e-01 | 1.369e-07         | position
3.600e+01 | 1.000e+00 | 1.750e+00 | 1.781e-01 | 1.280e-07         | position
3.700e+01 | 1.000e+00 | 1.750e+00 | 1.836e-01 | 1.469e-07         | position
3.800e+01 | 1.000e+00 | 1.750e+00 | 1.892e-01 | 1.420e-07         | position
3.900e+01 | 1.000e+00 | 1.750e+00 | 1.948e-01 | 1.459e-07         | position
4.000e+01 | 1.000e+00 | 1.750e+00 | 2.003e-01 | 1.425e-07         | position
4.100e+01 | 1.000e+00 | 1.750e+00 | 2.057e-01 | 8.257e-07         | position
4.200e+01 | 1.000e+00 | 1.750e+00 | 2.113e-01 | 2.462e-07         | position
4.300e+01 | 1.000e+00 | 1.750e+00 | 2.169e-01 | 4.037e-07         | position
4.400e+01 | 1.000e+00 | 1.750e+00 | 2.224e-01 | 3.741e-07         | position
4.500e+01 | 1.000e+00 | 1.750e+00 | 2.280e-01 | 5.079e-07         | position
4.600e+01 | 1.000e+00 | 1.750e+00 | 2.335e-01 | 5.113e-07         | position
4.700e+01 | 1.000e+00 | 1.750e+00 | 2.391e-01 | 4.083e-07         | position
4.800e+01 | 1.000e+00 | 1.750e+00 | 2.448e-01 | 3.687e-07         | position
4.900e+01 | 1.000e+00 | 1.750e+00 | 2.505e-01 | 3.127e-07         | position
5.000e+01 | 1.000e+00 | 1.750e+00 | 2.561e-01 | 1.737e-07         | position
5.100e+01 | 1.000e+00 | 1.750e+00 | 2.618e-01 | 1.679e-06         | position
5.200e+01 | 1.000e+00 | 1.750e+00 | 2.674e-01 | 4.015e-07         | position
5.300e+01 | 1.000e+00 | 1.750e+00 | 2.731e-01 | 5.899e-07         | position
5.400e+01 | 1.000e+00 | 1.750e+00 | 2.788e-01 | 1.441e-06         | position
5.500e+01 | 1.000e+00 | 1.750e+00 | 2.845e-01 | 9.345e-07         | position

