JTD - posicion alpha=2.250-neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD       | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.250e+00 | 2.127e-03 | 1.431e-07         | position
4.000e+00 | 0.000e+00 | 2.250e+00 | 1.173e-02 | 1.354e-07         | position
5.000e+00 | 0.000e+00 | 2.250e+00 | 3.310e-02 | 1.407e-07         | position
6.000e+00 | 0.000e+00 | 2.250e+00 | 7.073e-02 | 1.465e-07         | position
7.000e+00 | 0.000e+00 | 2.250e+00 | 1.291e-01 | 1.430e-07         | position
8.000e+00 | 0.000e+00 | 2.250e+00 | 2.133e-01 | 1.316e-07         | position
9.000e+00 | 0.000e+00 | 2.250e+00 | 3.275e-01 | 1.407e-07         | position
1.000e+01 | 0.000e+00 | 2.250e+00 | 4.763e-01 | 1.076e-07         | position
1.100e+01 | 0.000e+00 | 2.250e+00 | 6.744e-01 | 2.178e-07         | position
1.200e+01 | 0.000e+00 | 2.250e+00 | 9.273e-01 | 1.193e-07         | position
1.300e+01 | 0.000e+00 | 2.250e+00 | 1.237e+00 | 2.904e-06         | position
1.400e+01 | 0.000e+00 | 2.250e+00 | 1.611e+00 | 6.746e-07         | position
1.500e+01 | 0.000e+00 | 2.250e+00 | 2.056e+00 | 1.452e-07         | position
1.600e+01 | 0.000e+00 | 2.250e+00 | 2.577e+00 | 3.546e-06         | position
1.700e+01 | 0.000e+00 | 2.250e+00 | 3.181e+00 | 2.493e-06         | position
1.800e+01 | 0.000e+00 | 2.250e+00 | 3.874e+00 | 5.765e-06         | position
1.900e+01 | 0.000e+00 | 2.250e+00 | 4.675e+00 | 1.764e-06         | position
2.000e+01 | 0.000e+00 | 2.250e+00 | 5.587e+00 | 9.382e-06         | position
2.100e+01 | 0.000e+00 | 2.250e+00 | 6.600e+00 | 1.042e-05         | position
2.200e+01 | 0.000e+00 | 2.250e+00 | 7.728e+00 | 9.150e-06         | position
2.300e+01 | 0.000e+00 | 2.250e+00 | 8.978e+00 | 1.963e-05         | position
2.400e+01 | 0.000e+00 | 2.250e+00 | 1.034e+01 | 9.103e-07         | position
2.500e+01 | 0.000e+00 | 2.250e+00 | 1.187e+01 | 2.002e-06         | position
2.600e+01 | 0.000e+00 | 2.250e+00 | 1.353e+01 | 1.768e-06         | position
2.700e+01 | 0.000e+00 | 2.250e+00 | 1.533e+01 | 1.205e-06         | position
2.800e+01 | 0.000e+00 | 2.250e+00 | 1.729e+01 | 7.963e-07         | position
2.900e+01 | 0.000e+00 | 2.250e+00 | 1.938e+01 | 6.675e-07         | position
3.000e+01 | 0.000e+00 | 2.250e+00 | 2.170e+01 | 9.186e-07         | position
3.100e+01 | 0.000e+00 | 2.250e+00 | 2.419e+01 | 1.421e-06         | position
3.200e+01 | 0.000e+00 | 2.250e+00 | 2.687e+01 | 2.012e-06         | position
3.300e+01 | 0.000e+00 | 2.250e+00 | 2.975e+01 | 3.560e-06         | position
3.400e+01 | 0.000e+00 | 2.250e+00 | 3.282e+01 | 7.154e-06         | position
3.500e+01 | 0.000e+00 | 2.250e+00 | 3.611e+01 | 7.624e-06         | position
3.600e+01 | 0.000e+00 | 2.250e+00 | 3.962e+01 | 5.638e-06         | position
3.700e+01 | 0.000e+00 | 2.250e+00 | 4.336e+01 | 2.189e-05         | position
3.800e+01 | 0.000e+00 | 2.250e+00 | 4.736e+01 | 3.354e-05         | position
3.900e+01 | 0.000e+00 | 2.250e+00 | 5.157e+01 | 2.853e-05         | position
4.000e+01 | 0.000e+00 | 2.250e+00 | 5.603e+01 | 4.871e-05         | position
4.100e+01 | 0.000e+00 | 2.250e+00 | 6.072e+01 | 8.627e-05         | position
4.200e+01 | 0.000e+00 | 2.250e+00 | 6.569e+01 | 1.477e-04         | position
4.300e+01 | 0.000e+00 | 2.250e+00 | 7.095e+01 | 2.439e-04         | position
4.400e+01 | 0.000e+00 | 2.250e+00 | 7.642e+01 | 3.999e-04         | position
4.500e+01 | 0.000e+00 | 2.250e+00 | 8.221e+01 | 6.547e-04         | position
4.600e+01 | 0.000e+00 | 2.250e+00 | 8.824e+01 | 4.442e-06         | position
4.700e+01 | 0.000e+00 | 2.250e+00 | 9.464e+01 | 4.644e-06         | position
4.800e+01 | 0.000e+00 | 2.250e+00 | 1.014e+02 | 7.359e-06         | position
4.900e+01 | 0.000e+00 | 2.250e+00 | 1.084e+02 | 1.022e-05         | position
5.000e+01 | 0.000e+00 | 2.250e+00 | 1.157e+02 | 1.241e-05         | position
5.100e+01 | 0.000e+00 | 2.250e+00 | 1.234e+02 | 1.368e-05         | position
5.200e+01 | 0.000e+00 | 2.250e+00 | 1.314e+02 | 1.087e-05         | position
5.300e+01 | 0.000e+00 | 2.250e+00 | 1.398e+02 | 1.011e-05         | position
5.400e+01 | 0.000e+00 | 2.250e+00 | 1.485e+02 | 2.731e-05         | position

