JTD - posicion alpha=3.000-ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | JTD       | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 3.000e+00 | 5.713e-01 | 1.446e-07         | position
7.000e+00 | -1.000e+00 | 3.000e+00 | 1.895e+00 | 1.642e-07         | position
8.000e+00 | -1.000e+00 | 3.000e+00 | 5.176e+00 | 1.429e-07         | position
9.000e+00 | -1.000e+00 | 3.000e+00 | 1.229e+01 | 3.302e-06         | position
1.100e+01 | -1.000e+00 | 3.000e+00 | 5.335e+01 | 1.556e-06         | position
1.300e+01 | -1.000e+00 | 3.000e+00 | 1.790e+02 | 3.409e-06         | position
1.400e+01 | -1.000e+00 | 3.000e+00 | 3.034e+02 | 1.035e-05         | position
1.500e+01 | -1.000e+00 | 3.000e+00 | 4.940e+02 | 5.431e-05         | position
1.600e+01 | -1.000e+00 | 3.000e+00 | 7.764e+02 | 3.429e-04         | position
1.700e+01 | -1.000e+00 | 3.000e+00 | 1.183e+03 | 1.899e-03         | position
1.900e+01 | -1.000e+00 | 3.000e+00 | 2.559e+03 | 3.551e-04         | position
2.100e+01 | -1.000e+00 | 3.000e+00 | 5.078e+03 | 5.310e-04         | position
2.200e+01 | -1.000e+00 | 3.000e+00 | 6.959e+03 | 4.969e-04         | position
2.300e+01 | -1.000e+00 | 3.000e+00 | 9.391e+03 | 4.162e-04         | position
2.400e+01 | -1.000e+00 | 3.000e+00 | 1.249e+04 | 3.850e-04         | position
2.500e+01 | -1.000e+00 | 3.000e+00 | 1.642e+04 | 5.687e-04         | position
2.600e+01 | -1.000e+00 | 3.000e+00 | 2.132e+04 | 1.253e-03         | position
2.700e+01 | -1.000e+00 | 3.000e+00 | 2.738e+04 | 3.074e-03         | position
2.800e+01 | -1.000e+00 | 3.000e+00 | 3.483e+04 | 7.547e-03         | position
2.900e+01 | -1.000e+00 | 3.000e+00 | 4.389e+04 | 1.816e-02         | position
3.100e+01 | -1.000e+00 | 3.000e+00 | 6.824e+04 | 9.948e-02         | position
3.200e+01 | -1.000e+00 | 3.000e+00 | 8.414e+04 | 2.256e-01         | position
3.300e+01 | -1.000e+00 | 3.000e+00 | 1.030e+05 | 5.466e-01         | position
3.400e+01 | -1.000e+00 | 3.000e+00 | 1.254e+05 | 1.842e-03         | position
3.500e+01 | -1.000e+00 | 3.000e+00 | 1.516e+05 | 3.956e-03         | position
3.700e+01 | -1.000e+00 | 3.000e+00 | 2.184e+05 | 1.507e-02         | position
3.900e+01 | -1.000e+00 | 3.000e+00 | 3.083e+05 | 4.208e-02         | position
4.000e+01 | -1.000e+00 | 3.000e+00 | 3.635e+05 | 6.347e-02         | position
4.100e+01 | -1.000e+00 | 3.000e+00 | 4.268e+05 | 8.906e-02         | position
4.200e+01 | -1.000e+00 | 3.000e+00 | 4.992e+05 | 1.120e-01         | position
4.300e+01 | -1.000e+00 | 3.000e+00 | 5.815e+05 | 1.272e-01         | position
4.400e+01 | -1.000e+00 | 3.000e+00 | 6.748e+05 | 1.298e-01         | position
4.500e+01 | -1.000e+00 | 3.000e+00 | 7.804e+05 | 1.274e-01         | position
4.600e+01 | -1.000e+00 | 3.000e+00 | 8.994e+05 | 1.203e-01         | position
4.700e+01 | -1.000e+00 | 3.000e+00 | 1.033e+06 | 1.168e-01         | position
4.900e+01 | -1.000e+00 | 3.000e+00 | 1.353e+06 | 1.453e-01         | position
5.000e+01 | -1.000e+00 | 3.000e+00 | 1.541e+06 | 1.900e-01         | position
5.100e+01 | -1.000e+00 | 3.000e+00 | 1.751e+06 | 2.679e-01         | position
5.200e+01 | -1.000e+00 | 3.000e+00 | 1.984e+06 | 3.971e-01         | position
5.300e+01 | -1.000e+00 | 3.000e+00 | 2.243e+06 | 6.081e-01         | position

