JTD - posicion alpha=3.000-cat
--------------------------------------------------------------------------------
Z         | Q         | alpha     | JTD        | integration_error | space   
--------------------------------------------------------------------------------
3.000e+00 | 1.000e+00 | 3.000e+00 | -4.101e-17 | 8.606e-16         | position
4.000e+00 | 1.000e+00 | 3.000e+00 | 1.954e-01  | 1.355e-07         | position
5.000e+00 | 1.000e+00 | 3.000e+00 | 1.172e+00  | 5.931e-07         | position
6.000e+00 | 1.000e+00 | 3.000e+00 | 3.816e+00  | 1.295e-07         | position
7.000e+00 | 1.000e+00 | 3.000e+00 | 9.915e+00  | 7.220e-06         | position
8.000e+00 | 1.000e+00 | 3.000e+00 | 2.234e+01  | 1.545e-06         | position
9.000e+00 | 1.000e+00 | 3.000e+00 | 4.560e+01  | 1.594e-05         | position
1.000e+01 | 1.000e+00 | 3.000e+00 | 8.603e+01  | 6.914e-06         | position
1.100e+01 | 1.000e+00 | 3.000e+00 | 1.525e+02  | 5.003e-06         | position
1.200e+01 | 1.000e+00 | 3.000e+00 | 2.646e+02  | 8.251e-06         | position
1.300e+01 | 1.000e+00 | 3.000e+00 | 4.415e+02  | 6.923e-06         | position
1.400e+01 | 1.000e+00 | 3.000e+00 | 7.036e+02  | 2.629e-05         | position
1.500e+01 | 1.000e+00 | 3.000e+00 | 1.085e+03  | 1.226e-04         | position
1.600e+01 | 1.000e+00 | 3.000e+00 | 1.625e+03  | 7.535e-04         | position
1.700e+01 | 1.000e+00 | 3.000e+00 | 2.375e+03  | 3.838e-03         | position
1.800e+01 | 1.000e+00 | 3.000e+00 | 3.394e+03  | 2.587e-04         | position
1.900e+01 | 1.000e+00 | 3.000e+00 | 4.755e+03  | 6.514e-04         | position
2.000e+01 | 1.000e+00 | 3.000e+00 | 6.578e+03  | 7.834e-04         | position
2.100e+01 | 1.000e+00 | 3.000e+00 | 8.925e+03  | 8.802e-04         | position
2.200e+01 | 1.000e+00 | 3.000e+00 | 1.193e+04  | 8.231e-04         | position
2.300e+01 | 1.000e+00 | 3.000e+00 | 1.568e+04  | 6.534e-04         | position
2.400e+01 | 1.000e+00 | 3.000e+00 | 2.043e+04  | 5.900e-04         | position
2.500e+01 | 1.000e+00 | 3.000e+00 | 2.641e+04  | 8.881e-04         | position
2.600e+01 | 1.000e+00 | 3.000e+00 | 3.368e+04  | 1.920e-03         | position
2.700e+01 | 1.000e+00 | 3.000e+00 | 4.242e+04  | 4.415e-03         | position
2.800e+01 | 1.000e+00 | 3.000e+00 | 5.313e+04  | 1.074e-02         | position
2.900e+01 | 1.000e+00 | 3.000e+00 | 6.599e+04  | 2.571e-02         | position
3.000e+01 | 1.000e+00 | 3.000e+00 | 8.155e+04  | 6.201e-02         | position
3.100e+01 | 1.000e+00 | 3.000e+00 | 1.002e+05  | 1.439e-01         | position
3.200e+01 | 1.000e+00 | 3.000e+00 | 1.221e+05  | 3.263e-01         | position
3.300e+01 | 1.000e+00 | 3.000e+00 | 1.478e+05  | 7.208e-01         | position
3.400e+01 | 1.000e+00 | 3.000e+00 | 1.780e+05  | 2.623e-03         | position
3.500e+01 | 1.000e+00 | 3.000e+00 | 2.132e+05  | 5.671e-03         | position
3.600e+01 | 1.000e+00 | 3.000e+00 | 2.540e+05  | 1.145e-02         | position
3.700e+01 | 1.000e+00 | 3.000e+00 | 3.011e+05  | 2.120e-02         | position
3.800e+01 | 1.000e+00 | 3.000e+00 | 3.558e+05  | 3.669e-02         | position
3.900e+01 | 1.000e+00 | 3.000e+00 | 4.187e+05  | 5.875e-02         | position
4.000e+01 | 1.000e+00 | 3.000e+00 | 4.896e+05  | 8.846e-02         | position
4.100e+01 | 1.000e+00 | 3.000e+00 | 5.704e+05  | 1.204e-01         | position
4.200e+01 | 1.000e+00 | 3.000e+00 | 6.625e+05  | 1.487e-01         | position
4.300e+01 | 1.000e+00 | 3.000e+00 | 7.674e+05  | 1.632e-01         | position
4.400e+01 | 1.000e+00 | 3.000e+00 | 8.842e+05  | 1.650e-01         | position
4.500e+01 | 1.000e+00 | 3.000e+00 | 1.016e+06  | 1.595e-01         | position
4.600e+01 | 1.000e+00 | 3.000e+00 | 1.165e+06  | 1.492e-01         | position
4.700e+01 | 1.000e+00 | 3.000e+00 | 1.331e+06  | 1.445e-01         | position
4.800e+01 | 1.000e+00 | 3.000e+00 | 1.517e+06  | 1.533e-01         | position
4.900e+01 | 1.000e+00 | 3.000e+00 | 1.726e+06  | 1.830e-01         | position
5.000e+01 | 1.000e+00 | 3.000e+00 | 1.956e+06  | 2.396e-01         | position
5.100e+01 | 1.000e+00 | 3.000e+00 | 2.213e+06  | 3.382e-01         | position
5.200e+01 | 1.000e+00 | 3.000e+00 | 2.496e+06  | 5.009e-01         | position
5.300e+01 | 1.000e+00 | 3.000e+00 | 2.810e+06  | 7.631e-01         | position
5.400e+01 | 1.000e+00 | 3.000e+00 | 3.155e+06  | 1.186e+00         | position
5.500e+01 | 1.000e+00 | 3.000e+00 | 3.536e+06  | 1.844e+00         | position

