QSIa momento - alpha=2.500 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.500e+00 | 2.695e-01 | 1.352e-07         | momentum
4.000e+00 | 0.000e+00 | 2.500e+00 | 9.994e-01 | 1.462e-07         | momentum
5.000e+00 | 0.000e+00 | 2.500e+00 | 9.970e-01 | 1.489e-07         | momentum
6.000e+00 | 0.000e+00 | 2.500e+00 | 9.964e-01 | 1.092e-07         | momentum
7.000e+00 | 0.000e+00 | 2.500e+00 | 9.968e-01 | 8.374e-08         | momentum
8.000e+00 | 0.000e+00 | 2.500e+00 | 9.982e-01 | 9.446e-09         | momentum
9.000e+00 | 0.000e+00 | 2.500e+00 | 9.988e-01 | 5.095e-09         | momentum
1.000e+01 | 0.000e+00 | 2.500e+00 | 9.992e-01 | 1.190e-07         | momentum
1.100e+01 | 0.000e+00 | 2.500e+00 | 2.889e-01 | 1.486e-07         | momentum
1.200e+01 | 0.000e+00 | 2.500e+00 | 9.909e-01 | 1.482e-07         | momentum
1.300e+01 | 0.000e+00 | 2.500e+00 | 9.962e-01 | 1.475e-07         | momentum
1.400e+01 | 0.000e+00 | 2.500e+00 | 9.972e-01 | 1.346e-07         | momentum
1.500e+01 | 0.000e+00 | 2.500e+00 | 9.978e-01 | 1.190e-07         | momentum
1.600e+01 | 0.000e+00 | 2.500e+00 | 9.987e-01 | 3.991e-08         | momentum
1.700e+01 | 0.000e+00 | 2.500e+00 | 9.992e-01 | 1.194e-08         | momentum
1.800e+01 | 0.000e+00 | 2.500e+00 | 9.994e-01 | 2.516e-09         | momentum
1.900e+01 | 0.000e+00 | 2.500e+00 | 4.662e-01 | 1.461e-07         | momentum
2.000e+01 | 0.000e+00 | 2.500e+00 | 9.722e-01 | 1.439e-07         | momentum
2.100e+01 | 0.000e+00 | 2.500e+00 | 9.686e-01 | 1.421e-07         | momentum
2.200e+01 | 0.000e+00 | 2.500e+00 | 9.671e-01 | 1.420e-07         | momentum
2.300e+01 | 0.000e+00 | 2.500e+00 | 9.660e-01 | 1.484e-07         | momentum
2.400e+01 | 0.000e+00 | 2.500e+00 | 5.752e-01 | 1.355e-07         | momentum
2.500e+01 | 0.000e+00 | 2.500e+00 | 9.649e-01 | 1.420e-07         | momentum
2.600e+01 | 0.000e+00 | 2.500e+00 | 9.633e-01 | 1.462e-07         | momentum
2.700e+01 | 0.000e+00 | 2.500e+00 | 9.623e-01 | 1.441e-07         | momentum
2.800e+01 | 0.000e+00 | 2.500e+00 | 9.614e-01 | 1.475e-07         | momentum
2.900e+01 | 0.000e+00 | 2.500e+00 | 5.122e-01 | 1.314e-07         | momentum
3.000e+01 | 0.000e+00 | 2.500e+00 | 9.602e-01 | 7.418e-09         | momentum
3.100e+01 | 0.000e+00 | 2.500e+00 | 9.894e-01 | 9.268e-08         | momentum
3.200e+01 | 0.000e+00 | 2.500e+00 | 9.947e-01 | 8.739e-08         | momentum
3.300e+01 | 0.000e+00 | 2.500e+00 | 9.967e-01 | 4.899e-08         | momentum
3.400e+01 | 0.000e+00 | 2.500e+00 | 9.982e-01 | 2.874e-08         | momentum
3.500e+01 | 0.000e+00 | 2.500e+00 | 9.989e-01 | 4.289e-09         | momentum
3.600e+01 | 0.000e+00 | 2.500e+00 | 9.992e-01 | 1.114e-09         | momentum
3.700e+01 | 0.000e+00 | 2.500e+00 | 5.414e-01 | 1.346e-07         | momentum
3.800e+01 | 0.000e+00 | 2.500e+00 | 9.619e-01 | 1.484e-07         | momentum
3.900e+01 | 0.000e+00 | 2.500e+00 | 9.536e-01 | 1.379e-07         | momentum
4.000e+01 | 0.000e+00 | 2.500e+00 | 9.488e-01 | 1.477e-07         | momentum
4.100e+01 | 0.000e+00 | 2.500e+00 | 7.612e-01 | 1.040e-07         | momentum
4.200e+01 | 0.000e+00 | 2.500e+00 | 7.634e-01 | 7.225e-08         | momentum
4.300e+01 | 0.000e+00 | 2.500e+00 | 9.412e-01 | 1.483e-07         | momentum
4.400e+01 | 0.000e+00 | 2.500e+00 | 7.397e-01 | 8.124e-08         | momentum
4.500e+01 | 0.000e+00 | 2.500e+00 | 7.240e-01 | 7.313e-08         | momentum
4.600e+01 | 0.000e+00 | 2.500e+00 | 9.999e-01 | 1.754e-09         | momentum
4.700e+01 | 0.000e+00 | 2.500e+00 | 6.906e-01 | 3.580e-08         | momentum
4.800e+01 | 0.000e+00 | 2.500e+00 | 9.337e-01 | 8.275e-08         | momentum
4.900e+01 | 0.000e+00 | 2.500e+00 | 9.793e-01 | 1.466e-07         | momentum
5.000e+01 | 0.000e+00 | 2.500e+00 | 9.900e-01 | 6.103e-08         | momentum
5.100e+01 | 0.000e+00 | 2.500e+00 | 9.943e-01 | 3.763e-08         | momentum
5.200e+01 | 0.000e+00 | 2.500e+00 | 9.969e-01 | 9.312e-08         | momentum
5.300e+01 | 0.000e+00 | 2.500e+00 | 9.981e-01 | 6.163e-09         | momentum
5.400e+01 | 0.000e+00 | 2.500e+00 | 9.987e-01 | 2.989e-08         | momentum

