QSIa momento - alpha=3.000 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 3.000e+00 | 9.947e-01 | 9.834e-09         | momentum
7.000e+00 | 1.000e+00 | 3.000e+00 | 9.920e-01 | 1.418e-07         | momentum
8.000e+00 | 1.000e+00 | 3.000e+00 | 9.923e-01 | 6.133e-10         | momentum
9.000e+00 | 1.000e+00 | 3.000e+00 | 9.949e-01 | 3.147e-10         | momentum
1.000e+01 | 1.000e+00 | 3.000e+00 | 9.966e-01 | 6.981e-09         | momentum
1.100e+01 | 1.000e+00 | 3.000e+00 | 9.976e-01 | 1.140e-10         | momentum
1.200e+01 | 1.000e+00 | 3.000e+00 | 3.120e-01 | 6.165e-08         | momentum
1.300e+01 | 1.000e+00 | 3.000e+00 | 9.940e-01 | 1.452e-07         | momentum
1.400e+01 | 1.000e+00 | 3.000e+00 | 9.934e-01 | 1.385e-08         | momentum
1.500e+01 | 1.000e+00 | 3.000e+00 | 9.938e-01 | 1.640e-09         | momentum
1.600e+01 | 1.000e+00 | 3.000e+00 | 9.951e-01 | 1.976e-10         | momentum
1.700e+01 | 1.000e+00 | 3.000e+00 | 9.970e-01 | 1.843e-08         | momentum
1.800e+01 | 1.000e+00 | 3.000e+00 | 9.980e-01 | 6.906e-10         | momentum
1.900e+01 | 1.000e+00 | 3.000e+00 | 9.986e-01 | 1.838e-11         | momentum
2.000e+01 | 1.000e+00 | 3.000e+00 | 4.953e-01 | 1.352e-07         | momentum
2.100e+01 | 1.000e+00 | 3.000e+00 | 5.060e-01 | 1.209e-07         | momentum
2.200e+01 | 1.000e+00 | 3.000e+00 | 5.056e-01 | 1.705e-08         | momentum
2.300e+01 | 1.000e+00 | 3.000e+00 | 9.995e-01 | 3.201e-11         | momentum
2.400e+01 | 1.000e+00 | 3.000e+00 | 9.995e-01 | 4.914e-11         | momentum
2.500e+01 | 1.000e+00 | 3.000e+00 | 4.999e-01 | 1.347e-09         | momentum
2.600e+01 | 1.000e+00 | 3.000e+00 | 4.929e-01 | 5.320e-10         | momentum
2.700e+01 | 1.000e+00 | 3.000e+00 | 9.997e-01 | 7.689e-13         | momentum
2.800e+01 | 1.000e+00 | 3.000e+00 | 9.997e-01 | 4.996e-12         | momentum
2.900e+01 | 1.000e+00 | 3.000e+00 | 9.998e-01 | 6.505e-12         | momentum
3.000e+01 | 1.000e+00 | 3.000e+00 | 4.564e-01 | 2.357e-10         | momentum
3.100e+01 | 1.000e+00 | 3.000e+00 | 9.664e-01 | 4.810e-10         | momentum
3.200e+01 | 1.000e+00 | 3.000e+00 | 9.869e-01 | 1.062e-10         | momentum
3.300e+01 | 1.000e+00 | 3.000e+00 | 9.921e-01 | 2.339e-10         | momentum
3.400e+01 | 1.000e+00 | 3.000e+00 | 9.948e-01 | 1.573e-10         | momentum
3.500e+01 | 1.000e+00 | 3.000e+00 | 9.970e-01 | 5.084e-11         | momentum
3.600e+01 | 1.000e+00 | 3.000e+00 | 9.981e-01 | 1.039e-10         | momentum
3.700e+01 | 1.000e+00 | 3.000e+00 | 9.987e-01 | 3.520e-11         | momentum
3.800e+01 | 1.000e+00 | 3.000e+00 | 5.787e-01 | 3.191e-08         | momentum
3.900e+01 | 1.000e+00 | 3.000e+00 | 9.613e-01 | 1.407e-07         | momentum
4.000e+01 | 1.000e+00 | 3.000e+00 | 6.532e-01 | 3.861e-09         | momentum
4.100e+01 | 1.000e+00 | 3.000e+00 | 9.997e-01 | 4.142e-11         | momentum
4.200e+01 | 1.000e+00 | 3.000e+00 | 9.997e-01 | 3.033e-11         | momentum
4.300e+01 | 1.000e+00 | 3.000e+00 | 6.913e-01 | 7.582e-11         | momentum
4.400e+01 | 1.000e+00 | 3.000e+00 | 9.998e-01 | 2.794e-12         | momentum
4.500e+01 | 1.000e+00 | 3.000e+00 | 9.998e-01 | 1.313e-11         | momentum
4.600e+01 | 1.000e+00 | 3.000e+00 | 9.998e-01 | 1.789e-11         | momentum
4.700e+01 | 1.000e+00 | 3.000e+00 | 9.998e-01 | 1.506e-11         | momentum
4.800e+01 | 1.000e+00 | 3.000e+00 | 6.588e-01 | 7.686e-11         | momentum
4.900e+01 | 1.000e+00 | 3.000e+00 | 9.271e-01 | 2.665e-10         | momentum
5.000e+01 | 1.000e+00 | 3.000e+00 | 9.732e-01 | 3.484e-10         | momentum
5.100e+01 | 1.000e+00 | 3.000e+00 | 9.866e-01 | 1.902e-10         | momentum
5.200e+01 | 1.000e+00 | 3.000e+00 | 9.922e-01 | 1.719e-10         | momentum
5.300e+01 | 1.000e+00 | 3.000e+00 | 9.958e-01 | 1.768e-10         | momentum
5.400e+01 | 1.000e+00 | 3.000e+00 | 9.974e-01 | 6.372e-12         | momentum
5.500e+01 | 1.000e+00 | 3.000e+00 | 9.983e-01 | 6.549e-11         | momentum

