QSIa posicion - alpha=1.000 -ani
--------------------------------------------------------------------------------
Z         | Q          | alpha     | QSI_alpha | integration_error | space   
--------------------------------------------------------------------------------
6.000e+00 | -1.000e+00 | 1.000e+00 | 9.970e-01 | 1.409e-07         | position
7.000e+00 | -1.000e+00 | 1.000e+00 | 9.979e-01 | 1.479e-07         | position
8.000e+00 | -1.000e+00 | 1.000e+00 | 9.984e-01 | 1.486e-07         | position
9.000e+00 | -1.000e+00 | 1.000e+00 | 9.988e-01 | 1.389e-07         | position
1.100e+01 | -1.000e+00 | 1.000e+00 | 9.982e-01 | 1.456e-07         | position
1.300e+01 | -1.000e+00 | 1.000e+00 | 9.988e-01 | 1.483e-07         | position
1.400e+01 | -1.000e+00 | 1.000e+00 | 9.990e-01 | 1.450e-07         | position
1.500e+01 | -1.000e+00 | 1.000e+00 | 9.991e-01 | 1.483e-07         | position
1.600e+01 | -1.000e+00 | 1.000e+00 | 9.993e-01 | 1.525e-07         | position
1.700e+01 | -1.000e+00 | 1.000e+00 | 9.994e-01 | 1.489e-07         | position
1.900e+01 | -1.000e+00 | 1.000e+00 | 9.991e-01 | 1.653e-07         | position
2.100e+01 | -1.000e+00 | 1.000e+00 | 9.994e-01 | 1.492e-07         | position
2.200e+01 | -1.000e+00 | 1.000e+00 | 9.994e-01 | 1.786e-07         | position
2.300e+01 | -1.000e+00 | 1.000e+00 | 9.995e-01 | 1.483e-07         | position
2.400e+01 | -1.000e+00 | 1.000e+00 | 9.995e-01 | 1.475e-07         | position
2.500e+01 | -1.000e+00 | 1.000e+00 | 9.996e-01 | 1.540e-07         | position
2.600e+01 | -1.000e+00 | 1.000e+00 | 9.996e-01 | 1.489e-07         | position
2.700e+01 | -1.000e+00 | 1.000e+00 | 9.997e-01 | 1.672e-07         | position
2.800e+01 | -1.000e+00 | 1.000e+00 | 9.997e-01 | 1.482e-07         | position
2.900e+01 | -1.000e+00 | 1.000e+00 | 9.997e-01 | 1.538e-07         | position
3.100e+01 | -1.000e+00 | 1.000e+00 | 9.997e-01 | 1.489e-07         | position
3.200e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.477e-07         | position
3.300e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.745e-07         | position
3.400e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.572e-07         | position
3.500e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.484e-07         | position
3.700e+01 | -1.000e+00 | 1.000e+00 | 9.997e-01 | 1.478e-07         | position
3.900e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.479e-07         | position
4.000e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.480e-07         | position
4.100e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.488e-07         | position
4.200e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.487e-07         | position
4.300e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.803e-07         | position
4.400e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.481e-07         | position
4.500e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.487e-07         | position
4.600e+01 | -1.000e+00 | 1.000e+00 | 9.998e-01 | 1.489e-07         | position
4.700e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 1.482e-07         | position
4.900e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 1.631e-07         | position
5.000e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 2.324e-07         | position
5.100e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 1.404e-07         | position
5.200e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 1.661e-07         | position
5.300e+01 | -1.000e+00 | 1.000e+00 | 9.999e-01 | 1.796e-07         | position

