QSIa posicion - alpha=2.750 -cat
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
6.000e+00 | 1.000e+00 | 2.750e+00 | 9.996e-01 | 1.412e-07         | position
7.000e+00 | 1.000e+00 | 2.750e+00 | 9.990e-01 | 1.716e-05         | position
8.000e+00 | 1.000e+00 | 2.750e+00 | 9.981e-01 | 1.171e-04         | position
9.000e+00 | 1.000e+00 | 2.750e+00 | 9.969e-01 | 6.814e-06         | position
1.000e+01 | 1.000e+00 | 2.750e+00 | 9.953e-01 | 5.637e-04         | position
1.100e+01 | 1.000e+00 | 2.750e+00 | 9.933e-01 | 2.769e-05         | position
1.200e+01 | 1.000e+00 | 2.750e+00 | 9.919e-01 | 1.508e-03         | position
1.300e+01 | 1.000e+00 | 2.750e+00 | 9.904e-01 | 2.941e-04         | position
1.400e+01 | 1.000e+00 | 2.750e+00 | 9.891e-01 | 3.203e-03         | position
1.500e+01 | 1.000e+00 | 2.750e+00 | 9.877e-01 | 2.031e-03         | position
1.600e+01 | 1.000e+00 | 2.750e+00 | 9.864e-01 | 1.987e-04         | position
1.700e+01 | 1.000e+00 | 2.750e+00 | 9.852e-01 | 1.125e-03         | position
1.800e+01 | 1.000e+00 | 2.750e+00 | 9.839e-01 | 7.060e-03         | position
1.900e+01 | 1.000e+00 | 2.750e+00 | 9.828e-01 | 2.198e-02         | position
2.000e+01 | 1.000e+00 | 2.750e+00 | 9.817e-01 | 4.057e-02         | position
2.100e+01 | 1.000e+00 | 2.750e+00 | 9.809e-01 | 6.343e-03         | position
2.200e+01 | 1.000e+00 | 2.750e+00 | 9.801e-01 | 5.034e-02         | position
2.300e+01 | 1.000e+00 | 2.750e+00 | 9.794e-01 | 4.766e-02         | position
2.400e+01 | 1.000e+00 | 2.750e+00 | 9.788e-01 | 3.559e-02         | position
2.500e+01 | 1.000e+00 | 2.750e+00 | 9.781e-01 | 3.330e-02         | position
2.600e+01 | 1.000e+00 | 2.750e+00 | 9.775e-01 | 3.178e-02         | position
2.700e+01 | 1.000e+00 | 2.750e+00 | 9.769e-01 | 2.400e-02         | position
2.800e+01 | 1.000e+00 | 2.750e+00 | 9.764e-01 | 2.343e-02         | position
2.900e+01 | 1.000e+00 | 2.750e+00 | 9.759e-01 | 4.288e-02         | position
3.000e+01 | 1.000e+00 | 2.750e+00 | 9.753e-01 | 5.724e-02         | position
3.100e+01 | 1.000e+00 | 2.750e+00 | 9.748e-01 | 5.799e-02         | position
3.200e+01 | 1.000e+00 | 2.750e+00 | 9.742e-01 | 8.539e-02         | position
3.300e+01 | 1.000e+00 | 2.750e+00 | 9.737e-01 | 1.566e-01         | position
3.400e+01 | 1.000e+00 | 2.750e+00 | 9.731e-01 | 3.028e-01         | position
3.500e+01 | 1.000e+00 | 2.750e+00 | 9.726e-01 | 6.229e-01         | position
3.600e+01 | 1.000e+00 | 2.750e+00 | 9.721e-01 | 1.312e+00         | position
3.700e+01 | 1.000e+00 | 2.750e+00 | 9.715e-01 | 4.027e-01         | position
3.800e+01 | 1.000e+00 | 2.750e+00 | 9.711e-01 | 1.867e-01         | position
3.900e+01 | 1.000e+00 | 2.750e+00 | 9.706e-01 | 7.085e-01         | position
4.000e+01 | 1.000e+00 | 2.750e+00 | 9.702e-01 | 7.238e-01         | position
4.100e+01 | 1.000e+00 | 2.750e+00 | 9.697e-01 | 6.115e-01         | position
4.200e+01 | 1.000e+00 | 2.750e+00 | 9.693e-01 | 4.918e-01         | position
4.300e+01 | 1.000e+00 | 2.750e+00 | 9.689e-01 | 4.436e-01         | position
4.400e+01 | 1.000e+00 | 2.750e+00 | 9.685e-01 | 7.593e-01         | position
4.500e+01 | 1.000e+00 | 2.750e+00 | 9.681e-01 | 1.330e+00         | position
4.600e+01 | 1.000e+00 | 2.750e+00 | 9.678e-01 | 1.656e+00         | position
4.700e+01 | 1.000e+00 | 2.750e+00 | 9.674e-01 | 1.500e+00         | position
4.800e+01 | 1.000e+00 | 2.750e+00 | 9.670e-01 | 9.241e-01         | position
4.900e+01 | 1.000e+00 | 2.750e+00 | 9.667e-01 | 1.105e+00         | position
5.000e+01 | 1.000e+00 | 2.750e+00 | 9.663e-01 | 2.502e+00         | position
5.100e+01 | 1.000e+00 | 2.750e+00 | 9.660e-01 | 4.470e+00         | position
5.200e+01 | 1.000e+00 | 2.750e+00 | 9.656e-01 | 5.899e+00         | position
5.300e+01 | 1.000e+00 | 2.750e+00 | 9.653e-01 | 5.137e+00         | position
5.400e+01 | 1.000e+00 | 2.750e+00 | 9.650e-01 | 2.653e+00         | position
5.500e+01 | 1.000e+00 | 2.750e+00 | 9.647e-01 | 2.112e+00         | position

