QSIa posicion - alpha=2.750 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 2.750e+00 | 1.000e+00 | 1.475e-07         | position
4.000e+00 | 0.000e+00 | 2.750e+00 | 9.999e-01 | 1.487e-07         | position
5.000e+00 | 0.000e+00 | 2.750e+00 | 9.998e-01 | 3.084e-07         | position
6.000e+00 | 0.000e+00 | 2.750e+00 | 9.994e-01 | 1.471e-07         | position
7.000e+00 | 0.000e+00 | 2.750e+00 | 9.987e-01 | 7.917e-06         | position
8.000e+00 | 0.000e+00 | 2.750e+00 | 9.978e-01 | 8.518e-05         | position
9.000e+00 | 0.000e+00 | 2.750e+00 | 9.965e-01 | 3.906e-05         | position
1.000e+01 | 0.000e+00 | 2.750e+00 | 9.949e-01 | 1.929e-04         | position
1.100e+01 | 0.000e+00 | 2.750e+00 | 9.933e-01 | 1.026e-05         | position
1.200e+01 | 0.000e+00 | 2.750e+00 | 9.918e-01 | 9.894e-04         | position
1.300e+01 | 0.000e+00 | 2.750e+00 | 9.904e-01 | 1.676e-04         | position
1.400e+01 | 0.000e+00 | 2.750e+00 | 9.890e-01 | 1.073e-03         | position
1.500e+01 | 0.000e+00 | 2.750e+00 | 9.877e-01 | 5.071e-03         | position
1.600e+01 | 0.000e+00 | 2.750e+00 | 9.864e-01 | 7.329e-03         | position
1.700e+01 | 0.000e+00 | 2.750e+00 | 9.851e-01 | 8.159e-04         | position
1.800e+01 | 0.000e+00 | 2.750e+00 | 9.839e-01 | 5.056e-03         | position
1.900e+01 | 0.000e+00 | 2.750e+00 | 9.828e-01 | 1.893e-02         | position
2.000e+01 | 0.000e+00 | 2.750e+00 | 9.817e-01 | 2.977e-02         | position
2.100e+01 | 0.000e+00 | 2.750e+00 | 9.809e-01 | 5.890e-03         | position
2.200e+01 | 0.000e+00 | 2.750e+00 | 9.801e-01 | 4.075e-02         | position
2.300e+01 | 0.000e+00 | 2.750e+00 | 9.794e-01 | 5.189e-02         | position
2.400e+01 | 0.000e+00 | 2.750e+00 | 9.787e-01 | 2.884e-02         | position
2.500e+01 | 0.000e+00 | 2.750e+00 | 9.781e-01 | 2.643e-02         | position
2.600e+01 | 0.000e+00 | 2.750e+00 | 9.775e-01 | 2.615e-02         | position
2.700e+01 | 0.000e+00 | 2.750e+00 | 9.769e-01 | 2.751e-02         | position
2.800e+01 | 0.000e+00 | 2.750e+00 | 9.763e-01 | 3.050e-02         | position
2.900e+01 | 0.000e+00 | 2.750e+00 | 9.759e-01 | 3.751e-02         | position
3.000e+01 | 0.000e+00 | 2.750e+00 | 9.753e-01 | 4.854e-02         | position
3.100e+01 | 0.000e+00 | 2.750e+00 | 9.748e-01 | 4.915e-02         | position
3.200e+01 | 0.000e+00 | 2.750e+00 | 9.742e-01 | 7.316e-02         | position
3.300e+01 | 0.000e+00 | 2.750e+00 | 9.737e-01 | 1.441e-01         | position
3.400e+01 | 0.000e+00 | 2.750e+00 | 9.731e-01 | 2.747e-01         | position
3.500e+01 | 0.000e+00 | 2.750e+00 | 9.726e-01 | 5.479e-01         | position
3.600e+01 | 0.000e+00 | 2.750e+00 | 9.721e-01 | 1.165e+00         | position
3.700e+01 | 0.000e+00 | 2.750e+00 | 9.716e-01 | 3.486e-01         | position
3.800e+01 | 0.000e+00 | 2.750e+00 | 9.711e-01 | 1.555e-01         | position
3.900e+01 | 0.000e+00 | 2.750e+00 | 9.706e-01 | 4.574e-01         | position
4.000e+01 | 0.000e+00 | 2.750e+00 | 9.702e-01 | 6.403e-01         | position
4.100e+01 | 0.000e+00 | 2.750e+00 | 9.697e-01 | 5.315e-01         | position
4.200e+01 | 0.000e+00 | 2.750e+00 | 9.693e-01 | 3.888e-01         | position
4.300e+01 | 0.000e+00 | 2.750e+00 | 9.689e-01 | 3.808e-01         | position
4.400e+01 | 0.000e+00 | 2.750e+00 | 9.685e-01 | 6.944e-01         | position
4.500e+01 | 0.000e+00 | 2.750e+00 | 9.681e-01 | 1.217e+00         | position
4.600e+01 | 0.000e+00 | 2.750e+00 | 9.678e-01 | 1.407e+00         | position
4.700e+01 | 0.000e+00 | 2.750e+00 | 9.674e-01 | 1.349e+00         | position
4.800e+01 | 0.000e+00 | 2.750e+00 | 9.670e-01 | 8.091e-01         | position
4.900e+01 | 0.000e+00 | 2.750e+00 | 9.667e-01 | 9.933e-01         | position
5.000e+01 | 0.000e+00 | 2.750e+00 | 9.663e-01 | 2.241e+00         | position
5.100e+01 | 0.000e+00 | 2.750e+00 | 9.660e-01 | 4.010e+00         | position
5.200e+01 | 0.000e+00 | 2.750e+00 | 9.656e-01 | 5.283e+00         | position
5.300e+01 | 0.000e+00 | 2.750e+00 | 9.653e-01 | 4.604e+00         | position
5.400e+01 | 0.000e+00 | 2.750e+00 | 9.650e-01 | 2.440e+00         | position

